main_id,ra,dec,otype,framework_id
[RRB2014] RM J002837.9-104559.4,7.157916666666666,-10.766388888888889,ClG,850105287087936487
[RRB2014] RM J084427.2-001059.2,131.11333333333332,-0.1830555555555555,ClG,7604911008708887352
[RRB2014] RM J005310.2+290031.4,13.2925,29.00861111111111,ClG,640163928774857076
NSC J124653+072710,191.7225833333333,7.452666666666667,ClG,1229415892918381845
[RRB2014] RM J233418.3-104838.9,353.5758333333333,-10.810555555555556,ClG,-3505547017430570765
[RRB2014] RM J010910.6+265715.9,17.29375,26.954166666666666,ClG,-3395231848818098082
[RRB2014] RM J120414.0+122028.9,181.0583333333333,12.341111111111111,ClG,-5197314098398396766
[RRB2014] RM J085739.3+425251.0,134.41375,42.880833333333335,ClG,-4778478006178371122
[RRB2014] RM J152005.5+120154.3,230.02291666666667,12.031666666666668,ClG,-2880279286074611319
[RRB2014] RM J094204.7+033157.0,145.51916666666665,3.5325,ClG,1794471475941692957
[RRB2014] RM J231546.8+292920.3,348.94500000000005,29.48888888888889,ClG,-1298362057304105241
[RRB2014] RM J103237.0+325624.5,158.15374999999997,32.94,ClG,-2328679715599263445
[RRB2014] RM J113719.1+092136.0,174.32958333333335,9.36,ClG,-2455702339313535109
[RRB2014] RM J232322.6+314013.1,350.84416666666664,31.67027777777778,ClG,5153361285211677887
[RRB2014] RM J133254.1+253906.2,203.225,25.651666666666664,ClG,-7274690166547922761
SWXCS J222437-0222.5,336.15738,-2.37527,ClG,5934784203053158477
[RRB2014] RM J100854.1+190149.0,152.22541666666666,19.030277777777776,ClG,-1746664582880114404
[KMA2007] 250.05349+21.56031,250.05333333333337,21.560277777777777,ClG,-5258829353217869118
[RRB2014] RM J134642.2+494410.7,206.67541666666665,49.73611111111112,ClG,-6683143521406756104
[RRB2014] RM J011740.9+130737.2,19.420416666666664,13.126944444444446,ClG,6274813113056036611
GHO 215130+015306,328.50625,2.118611111111111,ClG,4340796359347125732
[RRB2014] RM J125221.1+033352.3,193.08791666666667,3.5644444444444443,ClG,3857814685033372249
[RRB2014] RM J222104.5+084806.4,335.2683333333333,8.801666666666668,ClG,7148933818902002898
[RRB2014] RM J105356.6+590915.9,163.48541666666668,59.15416666666667,ClG,1022754416103469318
[RRB2014] RM J124850.2+055642.8,192.20916666666668,5.945,ClG,-1295064622279220815
[RRB2014] RM J124532.0+105910.1,191.38333333333333,10.98611111111111,ClG,-7512554851130632480
[RRB2014] RM J223241.5+140707.4,338.1725,14.118611111111113,ClG,-4136599395998075784
[KMA2007] 174.05767+11.56443,174.05749999999998,11.564166666666669,ClG,-8893126695889307886
[RRB2014] RM J072924.8+335704.5,112.35291666666669,33.95111111111111,ClG,4796107978668052305
[RRB2014] RM J135514.1+025505.1,208.8087674,2.9180708,ClG,-5947338855274641811
[RRB2014] RM J000938.6+302019.5,2.410416666666667,30.33861111111111,ClG,-3509258010875795145
[RRB2014] RM J224714.4+113953.8,341.8095833333333,11.664722222222222,ClG,-1883308250683877985
[RRB2014] RM J144930.5+520725.0,222.3766666666667,52.12361111111111,ClG,3893775170485645103
[RRB2014] RM J132043.2+124044.1,200.18,12.678888888888888,ClG,-1490643169929079167
[RRB2014] RM J073158.9+271030.3,112.995,27.175,ClG,-5071743038159653288
[RRB2014] RM J004721.4+293554.5,11.83875,29.598333333333333,ClG,6195593611113175201
[RRB2014] RM J120900.2+452336.3,182.25083333333333,45.39333333333333,ClG,6847096884454869330
[RRB2014] RM J224524.2-093501.4,341.35083333333336,-9.58361111111111,ClG,3262073312483235306
[RRB2014] RM J232353.2+222824.7,350.97166666666664,22.473333333333333,ClG,154754309565574995
[RRB2014] RM J020258.8+040807.1,30.745,4.1352777777777785,ClG,3428730077752401869
[RRB2014] RM J122022.3+132538.0,185.09291666666664,13.427222222222222,ClG,5805039294449468699
[RRB2014] RM J002800.9-054144.6,7.003333333333334,-5.695555555555556,ClG,-1518589414191961043
[KMA2007] 146.13013+44.88413,146.13,44.88388888888889,ClG,8070148127388978414
[B2017] 2394,250.445,16.95777777777778,ClG,-8762833932525440887
[RRB2014] RM J114930.7+243907.0,177.3775,24.65194444444444,ClG,-6262677578366893626
[RRB2014] RM J231225.1-064227.4,348.10458333333327,-6.7075000000000005,ClG,7525332876523132434
[RRB2014] RM J093057.6+065501.2,142.73958333333334,6.916944444444445,ClG,5629999810056565959
[RRB2014] RM J095016.5+123017.2,147.56833333333336,12.504722222222222,ClG,-325735601053966309
[RRB2014] RM J223332.0+210115.5,338.3829166666667,21.02083333333333,ClG,-2738531659879875192
[RRB2014] RM J143322.5+112224.7,218.34333333333333,11.373333333333331,ClG,1085083496536129304
[RRB2014] RM J124203.2+272635.6,190.5133333333333,27.44305555555556,ClG,-1153978434891460822
[RRB2014] RM J231321.0+042130.8,348.3375,4.358333333333333,ClG,-7240549279162358920
[KMA2007] 010.72323+14.98587,10.722499999999998,14.974444444444444,ClG,-1548204568319148344
