WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,ra,dec,_RA.icrs,_DE.icrs,framework_id,frame_hash
00131+4059,COU1201,0,1975,2016,170,171,1.6,1.9,10.76,12.0,+40   24,T,0,00 13 07.39,+40 59 45.8,00 13 07.39,+40 59 45.8,-5996733278485302107,921750970593955586
00131+3521,BU  864,0,1880,2016,139,141,1.6,2.4,9.38,12.8,+34   12,0,0,00 13 03.92,+35 20 31.1,00 13 03.92,+35 20 31.1,-6384060179961942582,2838375850918729210
00131-4128,WIS   4,0,1999,2015,209,208,144.6,144.7,15.3,16.2,0,V R,0,00 13 03.04,-41 27 35.5,00 13 03.04,-41 27 35.5,-1315050065522183651,-5932565846235324526
00131-7950,UC  335,0,1998,2016,305,304,10.7,10.6,12.4,16.0,0,V R,0,00 13 04.17,-79 50 26.9,00 13 04.17,-79 50 26.9,7759838586291775988,-1515590493946344772
00132+5716,STI1302,AB,1911,2015,85,62,9.0,10.3,13.3,13.3,0,0,0,00 13 13.53,+57 16 09.5,00 13 13.53,+57 16 09.5,-7318489720241135817,9075025775002980012
00132+5716,BKO   2,AC,1998,2015,153,153,17.7,17.6,13.3,12.0,0,0,0,00 13 13.53,+57 16 09.5,00 13 13.53,+57 16 09.5,-7284368212640796505,409888119848725492
00132+4723,TDS1345,0,1991,2021,295,294,5.5,6.0,11.38,12.25,0,0,0,00 13 10.80,+47 23 07.2,00 13 10.80,+47 23 07.2,-4913197317162233887,4234970184230588678
00132+3714,TDS1346,0,1991,2019,171,170,1.6,1.6,12.19,12.83,0,0,0,00 13 12.08,+37 13 45.1,00 13 12.08,+37 13 45.1,-6045305582403443496,8305741257097319353
00132+2402,POU   9,0,1898,2021,61,59,5.8,6.1,13.7,13.8,0,0,0,00 13 10.35,+24 02 30.1,00 13 10.35,+24 02 30.1,426508157573441489,3777865469844688071
00132+2023,HDS  29,0,1991,2016,181,163,0.4,0.8,10.76,12.24,+19   20,O,0,00 13 09.03,+20 22 56.7,00 13 09.03,+20 22 56.7,-1626624030108020063,2637357662979766061
00132+2002,UC  336,0,1998,2015,106,106,19.8,19.8,15.2,15.3,0,V R,0,00 13 09.92,+20 01 36.2,00 13 09.92,+20 01 36.2,-4291813125097895948,2353988478430650582
00132+1511,BUP   3,AB,1835,2013,300,286,181.0,164.1,2.8,12.66,+14   14,N,0,00 13 14.15,+15 11 01.0,00 13 14.15,+15 11 01.0,-1462602663880138493,6499227915466060481
00132+1511,BUP   3,BC,1879,2015,199,195,21.0,20.1,12.66,13.3,0,N,0,00 13 03.23,+15 11 43.6,00 13 03.23,+15 11 43.6,-3356968911675769160,-8984820734802578755
00132+1144,HDS  30,0,1991,2012,252,261,0.3,0.3,10.48,11.68,+10   16,0,0,00 13 11.70,+11 43 34.9,00 13 11.70,+11 43 34.9,-733562860161408829,-4008542029507969927
00132+0823,PLQ   4,0,1891,2016,156,159,10.4,10.5,10.12,13.5,+07   17,0,0,00 13 14.36,+08 22 43.3,00 13 14.36,+08 22 43.3,2166510071851957666,4250561602685548372
00132+0608,CVR1030,0,2000,2016,139,138,3.4,3.4,18.0,18.5,0,R,0,00 13 14.72,+06 08 29.7,00 13 14.72,+06 08 29.7,-3333520182431803065,-1953412637297683188
00132+0536,PLQ   3,AB,1910,2015,202,202,48.2,47.0,13.69,14.57,0,N,0,00 13 12.35,+05 36 23.7,00 13 12.35,+05 36 23.7,7088225108024534131,4484262654101480974
00132+0536,SKF 211,AC,1998,2015,229,228,62.0,65.4,13.69,10.87,0,N,0,00 13 12.35,+05 36 23.7,00 13 12.35,+05 36 23.7,4685602228216154793,4014860275638439050
00132+0536,SKF 211,CD,1998,2015,49,47,5.1,5.3,10.6,15.5,0,N,0,00 13 09.20,+05 35 43.0,00 13 09.20,+05 35 43.0,-7750016719168152944,-6070283757216398050
00132-1711,HJ 1944,0,1830,2015,346,335,60.0,66.4,7.69,9.03,-17   17,N,0,00 13 13.66,-17 11 04.9,00 13 13.66,-17 11 04.9,8088894739575397846,-419121998019221902
00132-2134,LDS2103,0,1952,2015,95,96,14.0,14.5,17.6,20.5,0,0,0,00 13 05.36,-21 33 20.4,00 13 05.36,-21 33 20.4,2726329837726155161,-2628383062113410336
00132-3021,HDS  31,0,1977,2015,213,220,12.0,11.9,10.6,13.65,-31   59,0,0,00 13 11.97,-30 20 59.5,00 13 11.97,-30 20 59.5,6244119671421598631,4864014963129660756
00132-3942,RST1181,0,1931,2016,221,216,0.7,0.8,11.36,11.62,-40   32,0,0,00 13 11.67,-39 42 21.6,00 13 11.67,-39 42 21.6,5880791223536221331,-7184214768432475034
00132-5219,LDS   3,0,1975,2015,165,165,269.9,269.1,11.75,13.64,0,0,0,00 13 12.32,-52 18 11.0,00 13 12.32,-52 18 11.0,4202800012229838217,-7573695195910053760
00132-6356,UC  337,0,1998,2015,42,43,51.3,50.8,13.6,16.5,0,V,0,00 13 13.70,-63 56 02.3,00 13 13.70,-63 56 02.3,5620061437924527537,4176358140583511459
00133+6919,KUI   1,AB,1935,2016,319,278,0.7,0.7,13.31,13.36,0,N,0,00 13 14.64,+69 19 39.3,00 13 14.64,+69 19 39.3,584479018195923677,1735947145756522338
00133+6919,JNN 248,BC,2012,2012,89,89,0.9,0.8,12.6,14.0,0,N,0,00 13 15.85,+69 19 37.6,00 13 15.85,+69 19 37.6,7027391673019243748,-1343358371387201866
00133+5150,ES  748,0,1909,2021,359,359,10.5,10.0,8.05,12.2,+51   23,0,0,00 13 15.85,+51 49 58.8,00 13 15.85,+51 49 58.8,6510412329745384663,-4874778966698854704
00133+4636,ES 1194,0,1902,2020,290,293,3.7,5.2,10.7,11.4,+45   28,0,0,00 13 22.22,+46 36 57.0,00 13 22.22,+46 36 57.0,-606840194103056984,-9113628391606126234
00133+4013,ES  152,0,1892,2021,103,106,6.9,7.5,8.98,12.5,+39   27,0,0,00 13 18.96,+40 13 14.0,00 13 18.96,+40 13 14.0,3083803270741350861,2839178709250541163
00133+0610,OCC 867,0,1992,1992,-1,-1,0.1,0.1,9.6,9.6,+05   14,0,0,00 13 20.71,+06 09 42.1,00 13 20.71,+06 09 42.1,6032350403191081296,-3119672094884349421
00133-1055,BRT2622,0,1900,2016,53,55,4.0,3.8,11.6,12.9,-11   26,0,0,00 13 18.99,-10 54 31.3,00 13 18.99,-10 54 31.3,8034289197621467640,-8120121320370383642
00133-2037,B  1905,0,1930,2016,110,110,3.1,3.1,7.51,12.0,-21   15,0,0,00 13 18.28,-20 37 07.7,00 13 18.28,-20 37 07.7,8368839556680685065,-6917129377690860974
00133-3242,TDS1347,0,1991,1991,2,2,0.7,0.7,11.55,11.68,-33   46,X,0,00 13 18.35,-32 41 38.6,00 13 18.35,-32 41 38.6,7611337834263429868,-8568738346185581702
00134+5716,STI1303,0,1911,2015,210,211,12.0,11.3,11.95,12.6,0,0,0,00 13 21.99,+57 15 56.5,00 13 21.99,+57 15 56.5,-6898275011026537859,5594074757161971553
00134+5342,TDS1348,0,1991,1991,34,34,0.6,0.6,11.31,11.42,0,X,0,00 13 21.31,+53 42 21.8,00 13 21.31,+53 42 21.8,-1730281713138146512,-4995874288952578723
00134+3859,BRT2196,0,1928,2020,0,358,5.1,5.2,10.97,11.4,0,N,0,00 13 23.17,+38 59 37.9,00 13 23.17,+38 59 37.9,-278524632376203714,-4495990640958618599
00134+3801,ES 2445,0,1929,2016,78,80,8.9,9.0,11.1,11.3,0,N,0,00 13 26.42,+38 02 36.9,00 13 26.42,+38 02 36.9,8926448586592512030,6279864128948503804
00134+2659,STT   2,AB,1843,2021,42,154,0.6,0.5,6.77,7.67,+26   13,NO,0,00 13 23.93,+26 59 15.4,00 13 23.93,+26 59 15.4,7132483766396265663,29324886830406294
00134+2659,STT   2,"AB,C",1828,2016,222,224,18.0,18.0,6.3,10.37,0,NV,0,00 13 23.93,+26 59 15.4,00 13 23.93,+26 59 15.4,4691953994469704827,7381588113607451617
00134+0604,CVR 308,0,2000,2016,212,213,8.9,8.9,15.7,18.7,0,V R,0,00 13 25.22,+06 04 06.1,00 13 25.22,+06 04 06.1,-5851942658324610424,450665644883540114
00134+0226,TDS   7,0,1991,2016,27,37,1.5,1.7,11.24,11.92,+01   19,0,0,00 13 24.98,+02 26 18.9,00 13 24.98,+02 26 18.9,5314914386407155029,-989911175365498549
00134-2039,SKF2138,0,1998,2016,93,94,3.0,3.1,17.6,18.1,0,V,0,00 13 24.10,-20 38 56.3,00 13 24.10,-20 38 56.3,5680482401608388983,-2658346174406257664
00134-2717,LDS2104,0,1954,2015,347,339,68.0,75.3,15.5,20.8,0,I,0,00 13 19.20,-27 17 40.9,00 13 19.20,-27 17 40.9,-6534465905876410542,-305269936183287809
00135+6247,STI  23,0,1908,2015,153,152,12.4,12.7,12.1,12.7,0,0,0,00 13 31.29,+62 47 12.3,00 13 31.29,+62 47 12.3,988524514411118103,9097950620357942223
00135+6020,TDS1349,0,1991,1991,110,110,1.1,1.1,11.73,12.02,0,X,0,00 13 31.66,+60 19 41.2,00 13 31.66,+60 19 41.2,717360502539270560,-1619770311643943448
00135+5633,STI1304,0,1911,2015,103,109,12.0,12.8,11.83,12.8,0,0,0,00 13 26.89,+56 33 50.2,00 13 26.89,+56 33 50.2,-2769432355197329541,7154758407705925943
00135+3808,CBL 566,0,1998,2016,79,79,10.3,10.3,13.7,16.3,0,V,0,00 13 29.57,+38 07 30.9,00 13 29.57,+38 07 30.9,1552527900608978497,2769596131224031190
00135+0628,OCC 875,0,1993,1993,-1,-1,0.1,0.1,9.6,9.6,+05   15,0,0,00 13 28.27,+06 27 33.8,00 13 28.27,+06 27 33.8,-526195507969477660,523957690951010095
00135+0508,CVR 309,0,1998,2015,182,182,21.1,21.1,15.3,17.3,0,V R,0,00 13 29.64,+05 08 32.3,00 13 29.64,+05 08 32.3,-8134682544048738682,-531609172559719201
00135-0009,HJ  618,0,1827,2015,245,251,2.0,5.3,11.87,11.94,-00   17,NV,0,00 13 28.39,-00 08 53.8,00 13 28.39,-00 08 53.8,6159159696624858080,2983737543784700246
00135-1155,KPP2679,0,2015,2016,331,330,1.2,1.2,14.41,16.49,0,T,0,00 13 29.99,-11 54 39.1,00 13 29.99,-11 54 39.1,-7009944676920382390,-224587434970070420
00135-3650,HDS  32,0,1991,2023,282,233,0.2,0.2,11.35,11.93,-37   34,O,0,00 13 29.10,-36 49 43.0,00 13 29.10,-36 49 43.0,2630665081529755982,-5914865617305339901
00135-5924,UC  338,0,1998,2016,228,228,102.6,102.6,12.3,15.7,0,V R,0,00 13 28.36,-59 23 43.2,00 13 28.36,-59 23 43.2,738214432896227058,-61049597928933745
00136+6113,STI  24,0,1903,2015,96,109,4.5,3.5,13.7,13.7,0,0,0,00 13 37.09,+61 13 44.0,00 13 37.09,+61 13 44.0,454488477948210636,-2927752425134168813
00136+5245,RAO 523,AB,2014,2014,94,94,0.9,0.9,11.7,15.1,0,WR,0,00 13 38.41,+52 45 05.0,00 13 38.41,+52 45 05.0,6362640745541588824,2273654557231370659
00136+4412,A  1254,0,1906,2021,272,272,1.4,1.3,9.48,10.2,+43   24,0,0,00 13 36.51,+44 11 43.0,00 13 36.51,+44 11 43.0,-2986362905905835832,4285059825764541713
00136+2828,MLB 553,0,1898,2015,43,44,7.9,7.9,11.04,11.3,+27   18,0,0,00 13 33.55,+28 27 33.9,00 13 33.55,+28 27 33.9,-1533110337616833900,162527971222245985
00136+2803,SKF1599,0,2008,2015,159,159,3.3,3.4,17.6,18.7,0,0,0,00 13 30.05,+28 09 46.3,00 13 30.05,+28 09 46.3,8739169186235531396,4291561208416792320
00136+1356,LDS1073,AB,1961,2016,288,252,21.0,21.5,10.56,17.5,+13   18,N,0,00 13 40.32,+13 56 55.5,00 13 40.32,+13 56 55.5,-2897660669790500441,5885309471157129945
00136+1356,LDS1073,AC,1962,2015,21,6,25.0,25.2,10.56,17.8,0,N,0,00 13 40.32,+13 56 55.5,00 13 40.32,+13 56 55.5,8837810487799182910,6063338921555803173
00136+0640,OCC 870,0,1992,1992,-1,-1,0.1,0.1,9.7,9.7,+05   17,0,0,00 13 37.24,+06 40 22.6,00 13 37.24,+06 40 22.6,-5340748856435921710,-6630876581348144764
00136-2202,ARA1599,0,1921,2016,120,118,6.2,6.3,10.92,12.5,-22   27,0,0,00 13 34.34,-22 01 32.8,00 13 34.34,-22 01 32.8,1655627823226742373,-8078023451779595978
00136-4340,DON   1,0,1929,2016,250,249,1.5,2.1,10.42,14.6,-44   37,S,0,00 13 34.05,-43 39 35.4,00 13 34.05,-43 39 35.4,3829251273526875353,9189247601813463729
00137+8038,LDS1503,0,1965,2016,127,126,13.0,12.8,11.15,16.88,0,V,0,00 13 38.69,+80 39 56.9,00 13 38.69,+80 39 56.9,-5631013781518097745,6934759156596285191
00137+7702,MLR 283,0,1971,2016,229,227,0.9,1.4,9.84,12.06,0,N,0,00 13 40.58,+77 02 10.9,00 13 40.58,+77 02 10.9,-2785448615746874292,7270550121819105918
00137+5558,STI1305,0,1917,2015,131,129,10.2,10.4,12.5,12.5,0,0,0,00 13 40.95,+55 58 04.4,00 13 40.95,+55 58 04.4,1811840568742351853,4029388159028415523
00137+4934,STF   9,0,1830,2020,166,165,20.0,20.0,9.34,9.25,+48   41,N,0,00 13 44.16,+49 33 32.0,00 13 44.16,+49 33 32.0,-258712842383360386,-3919019991023251668
00137+4656,BRT  63,0,1903,2016,311,309,4.6,5.6,10.4,10.6,0,0,0,00 13 47.05,+46 55 39.3,00 13 47.05,+46 55 39.3,-8984757056826910184,3471407412855853639
00137+4207,TDS1351,0,1991,1991,172,172,0.6,0.6,11.71,11.72,+41   21,X,0,00 13 44.08,+42 06 40.6,00 13 44.08,+42 06 40.6,1924715306069404581,-6722211835549558298
00137+1838,A  2201,AB,1910,2016,196,199,1.1,1.2,8.26,11.33,+17   17,0,0,00 13 43.02,+18 38 08.6,00 13 43.02,+18 38 08.6,567925777520475794,-282032848976035695
00137+1838,STE   3,"AB,C",1983,2016,137,146,21.9,21.3,8.26,13.0,0,U,0,00 13 43.02,+18 38 08.6,00 13 43.02,+18 38 08.6,8981777935508885162,-5709370519460507501
00137+1537,BPM   5,0,1949,2015,115,115,97.1,97.0,14.71,16.18,0,NV,0,00 13 41.29,+15 37 01.4,00 13 41.29,+15 37 01.4,-5339562398600057834,-5615497389082440388
00137+1120,LDS 862,0,1936,2015,271,269,90.0,93.0,11.3,13.93,0,0,0,00 13 38.99,+11 20 51.1,00 13 38.99,+11 20 51.1,7938518380831288373,7741575890106403613
00137+0750,GRV  15,0,1919,2015,220,220,53.7,54.0,11.91,12.04,0,0,0,00 13 46.27,+07 50 25.0,00 13 46.27,+07 50 25.0,-5516799347115524602,-5346401769113920884
00137+0635,BU  998,0,1881,2017,115,108,1.0,1.3,9.3,9.54,+05   18,0,0,00 13 40.52,+06 34 49.2,00 13 40.52,+06 34 49.2,-6731918215564197917,8421470481597301979
00137-3224,LDS5265,0,1960,1960,111,111,3.0,3.0,15.2,15.3,0,0,0,00 13 34.16,-32 24 03.2,00 13 34.16,-32 24 03.2,73817627501022011,788701375109197254
00138+7243,KPP4411,0,1897,2015,222,223,17.9,17.8,10.1,12.6,0,T,0,00 13 45.43,+72 43 09.6,00 13 45.43,+72 43 09.6,5606704738532445550,4936322383163238009
00138+7233,MLR 282,AB,1971,2012,165,167,0.4,0.4,9.82,9.97,+71    8,N,0,00 13 45.73,+72 33 10.3,00 13 45.73,+72 33 10.3,-6154554358457438759,6894414959798113098
00138+7233,MLR 282,"AB,C",1897,2021,328,330,34.8,33.3,9.25,12.8,0,NU,0,00 13 45.73,+72 33 10.3,00 13 45.73,+72 33 10.3,6235532893123415447,-60355833996164750
00138+7233,BUP   2,"AB,D",1879,2016,241,241,230.3,230.0,9.25,11.49,0,NU,0,00 13 45.73,+72 33 10.3,00 13 45.73,+72 33 10.3,-273897777119608782,6448719232529183397
00138+7233,SKF2748,"AB,G",1954,2015,198,194,8.4,8.7,9.25,13.5,0,N,0,00 13 45.73,+72 33 10.3,00 13 45.73,+72 33 10.3,7508024446992362983,-6518576060855849887
00138+7233,BUP   2,DE,1879,2015,239,238,62.7,57.5,11.49,12.61,0,N,0,00 13 01.02,+72 31 19.0,00 13 01.02,+72 31 19.0,-3000728236024518779,-2872681760959027112
00138+7233,BUP   2,DF,1910,2015,195,195,213.8,212.6,11.49,9.75,+71    6,N,0,00 13 01.02,+72 31 19.0,00 13 01.02,+72 31 19.0,-106892521174442998,-813158936614872564
00138+4801,TDS1352,0,1991,2019,292,291,2.3,2.3,10.58,13.04,+47   30,0,0,00 13 45.50,+48 00 36.2,00 13 45.50,+48 00 36.2,-3740527250407830367,4967763709905477056
00138+4648,ROE  59,AB,1903,2015,212,214,12.5,12.2,10.78,11.4,+45   33,0,0,00 13 51.86,+46 47 54.2,00 13 51.86,+46 47 54.2,5660371951345484232,-903916191323529989
00138+4648,ROE  59,AC,1902,2015,13,15,105.0,104.7,10.78,10.43,0,0,0,00 13 51.86,+46 47 54.2,00 13 51.86,+46 47 54.2,-2970140269705035671,2855740808945674445
00138+3612,BU 1341,AB,1903,2018,318,319,20.9,20.5,10.39,11.63,+35   28,N,0,00 13 47.30,+36 12 16.2,00 13 47.30,+36 12 16.2,9177568380562526327,3727614014527126138
00138+3612,BU 1341,AC,1903,2016,227,228,177.7,181.8,10.39,8.21,0,N,0,00 13 47.30,+36 12 16.2,00 13 47.30,+36 12 16.2,6524740881727797227,-5726530286503683819
00138+0812,TOK 360,0,2000,2015,304,303,6.2,6.2,7.4,12.0,+07   18,NV,0,00 13 45.70,+08 11 36.6,00 13 45.70,+08 11 36.6,-3778234592785934301,8086262640326107728
00138-7442,HJ 3353,0,1835,2015,286,299,12.0,31.7,9.41,12.15,-75   15,NL U,0,00 13 53.01,-74 41 17.8,00 13 53.01,-74 41 17.8,-1972131369723748364,2580039910179136433
00139+6323,BU 1309,AB,1903,2016,170,170,1.7,2.0,11.28,11.97,0,N,0,00 13 59.71,+63 24 19.1,00 13 59.71,+63 24 19.1,-3506508679211441279,6531605824028522800
00139+6323,HJ 1006,AC,1828,2015,270,259,3.5,9.3,11.28,12.1,0,N,0,00 13 59.71,+63 24 19.1,00 13 59.71,+63 24 19.1,-6894890745159170834,5370267589985676360
00139+6323,BU 1309,AD,1903,2015,130,130,74.0,74.1,11.28,10.69,0,N,0,00 13 59.71,+63 24 19.1,00 13 59.71,+63 24 19.1,1137980833497788606,-7870211134365153113
00139+6023,STI  25,0,1903,2015,224,219,2.5,3.5,10.6,12.3,0,0,0,00 13 54.81,+60 23 19.6,00 13 54.81,+60 23 19.6,-7292798667874375345,5007310908061600569
00139+1938,J   216,0,1894,2016,167,166,3.0,3.7,10.3,10.8,0,0,0,00 13 48.20,+19 38 04.3,00 13 48.20,+19 38 04.3,-8732861043359550286,4398769343864789412
00139+1518,GII 113,"Aa,Ab",2013,2013,203,203,0.8,0.8,14.9,14.9,0,N,0,00 13 41.62,+15 20 39.7,00 13 41.62,+15 20 39.7,401578105390249292,-3157923773433183052
00139+1518,LDS1074,AB,1962,2016,243,237,5.0,4.9,14.14,15.88,0,N,0,00 13 41.62,+15 20 39.7,00 13 41.62,+15 20 39.7,4405938769244576297,1418575541708962875
00139+0402,UC  339,0,1998,2015,208,208,47.6,47.7,10.28,15.77,0,V,0,00 13 53.11,+04 01 53.8,00 13 53.11,+04 01 53.8,6991447818125768620,-7679886957949842946
00139-0429,LDS9087,0,1999,2015,29,45,4.1,4.0,17.9,18.3,0,N,0,00 13 59.08,-04 29 09.8,00 13 59.08,-04 29 09.8,-634190818315634593,5754818555182274238
00139-1130,HJ 1945,0,1831,2016,323,298,15.0,19.8,11.4,12.9,-12   22,U,0,00 14 04.42,-11 28 56.7,00 14 04.42,-11 28 56.7,-8106068640916423437,2712767044863062992
00140+4401,BRT  64,0,1893,2017,131,132,4.9,4.8,12.52,13.4,0,B,0,00 14 06.78,+44 00 36.4,00 14 06.78,+44 00 36.4,-5895601849714741795,-5398892439811459070
00140+2837,BRT 117,AB,1898,2015,73,68,4.1,5.5,10.85,11.8,+27   20,N,0,00 13 57.86,+28 37 06.1,00 13 57.86,+28 37 06.1,-8989633116119816993,7027646873948982314
00140+2837,MLB 554,AC,1928,2015,48,49,24.0,29.3,10.85,13.29,0,N,0,00 13 57.86,+28 37 06.1,00 13 57.86,+28 37 06.1,-2390960675274763065,-8628024182060332367
00140+2822,LDS3139,0,1960,2016,310,310,2.0,2.0,16.9,16.3,0,0,0,00 14 01.49,+28 22 51.8,00 14 01.49,+28 22 51.8,-7688202559572700569,-9209650363217552584
00140+2527,POU  11,0,1898,2021,316,305,3.8,6.1,13.09,13.5,0,0,0,00 13 56.40,+25 27 14.6,00 13 56.40,+25 27 14.6,5221990327644777959,-2007673976680500966
00140+2507,POU  10,AB,1898,2015,176,185,6.9,6.7,13.5,15.2,0,0,0,00 13 55.47,+25 06 55.7,00 13 55.47,+25 06 55.7,3856402547204956423,4792663601902161528
00140+2507,POU  10,AB,2013,2013,269,269,17.4,17.4,13.5,18.8,0,0,0,00 13 55.47,+25 06 55.7,00 13 55.47,+25 06 55.7,-2843228510079631883,7097412120695069417
00140+1539,ITF  22,0,1949,2015,291,292,20.5,20.2,13.3,14.2,0,U,0,00 14 00.44,+15 39 07.2,00 14 00.44,+15 39 07.2,-2312480165659950271,3557866797275807391
00140+1401,BRT1165,0,1906,2016,143,140,3.1,3.7,10.3,10.3,+13   22,0,0,00 13 57.64,+14 01 35.0,00 13 57.64,+14 01 35.0,3315482180083000468,-8030557877059292504
00140-1109,SKF1657,0,1994,2016,89,77,1.4,1.5,18.2,16.5,0,0,0,00 13 59.40,-11 08 38.6,00 13 59.40,-11 08 38.6,-188544153586586385,5620244501003076594
00140-1815,BFR   2,0,1998,2013,203,203,118.1,118.1,9.57,15.04,0,NU K,0,00 14 02.10,-18 14 58.0,00 14 02.10,-18 14 58.0,-1667286404092900270,-2186956885912680489
00141+7601,STTA  1,0,1875,2018,102,103,77.1,73.2,7.39,7.81,+75    4,N,0,00 14 02.61,+76 01 37.2,00 14 02.61,+76 01 37.2,7105335013857402245,-3636642993494200369
00141+4919,HU  504,0,1902,2021,261,261,2.2,2.2,10.19,11.02,+48   44,Y,0,00 14 01.53,+49 18 59.0,00 14 01.53,+49 18 59.0,-2382018749711121959,-1401852831273652675
00141+3957,ES 2544,0,1928,2015,90,93,6.5,4.6,11.57,13.4,0,N,0,00 14 09.37,+39 57 16.9,00 14 09.37,+39 57 16.9,3307824555401992791,8281410959751532525
00141+1207,A  1802,0,1908,2016,148,148,1.8,2.0,10.5,13.2,+11   19,0,0,00 14 06.84,+12 07 19.0,00 14 06.84,+12 07 19.0,5145230720658143813,8241279606164859794
00141-0002,BAG  35,0,2009,2009,198,198,0.2,0.2,8.6,12.3,-00   21,0,0,00 14 04.06,-00 02 00.1,00 14 04.06,-00 02 00.1,-3954597333949146645,8646832548507958308
00141-0602,KPP  52,0,1999,2016,197,197,3.5,3.5,12.9,13.1,0,V,0,00 14 08.92,-06 01 34.3,00 14 08.92,-06 01 34.3,8791509763652715721,-2595171110540058292
00141-2157,ARA1600,0,1923,2015,269,273,10.2,11.2,13.3,13.3,0,0,0,00 14 02.17,-21 56 30.7,00 14 02.17,-21 56 30.7,-285072405794292802,623144050217344987
00141-6318,UC  340,0,1998,2015,331,331,19.4,19.4,14.9,15.6,0,V R,0,00 14 04.80,-63 17 53.9,00 14 04.80,-63 17 53.9,-2080076216116258750,1573865761497741493
00142+5405,TDS1353,0,1991,1991,177,177,0.7,0.7,11.34,11.36,0,X,0,00 14 10.61,+54 04 36.2,00 14 10.61,+54 04 36.2,-2585765246475251466,1549701299701110952
00142+4612,ES 1195,0,1893,2017,14,15,6.9,6.7,10.84,11.35,+45   36,0,0,00 14 14.19,+46 12 19.3,00 14 14.19,+46 12 19.3,-5462700212075294030,9172565716028637844
00142+4339,BRT  65,0,1893,2020,288,293,1.7,2.7,10.0,10.2,0,0,0,00 14 13.76,+43 38 48.3,00 14 13.76,+43 38 48.3,5139680928820065738,-4489444508927127451
00142-0712,MSH   1,0,2012,2020,109,52,0.2,0.2,6.07,12.19,0,NO K,0,00 14 10.25,-07 11 56.8,00 14 10.25,-07 11 56.8,7650386125031821363,-8189102466202157994
00142-0720,KPP2681,0,2012,2016,41,41,4.8,4.9,14.5,16.62,0,T,0,00 14 13.60,-07 20 16.7,00 14 13.60,-07 20 16.7,-1687475300868066612,-5757114065378570821
00142-3259,UC  341,0,1998,2015,132,132,49.9,49.9,11.0,13.09,0,V,0,00 14 14.43,-32 58 47.0,00 14 14.43,-32 58 47.0,2214122566140933744,151953542945552718
00143-0535,OSO   2,0,1954,2015,146,176,19.6,12.9,10.92,18.6,-06   27,NU,0,00 14 15.35,-05 34 54.0,00 14 15.35,-05 34 54.0,3756938926743310522,8340425668725752904
00143-2134,ARA1601,0,1921,2015,172,175,11.8,11.5,9.28,12.6,-22   29,0,0,00 14 20.24,-21 34 15.6,00 14 20.24,-21 34 15.6,-6741362643826664833,6114789960014900042
00143-2732,HDS  33,0,1991,2023,328,167,0.1,0.1,7.93,8.88,-28   47,O,0,00 14 20.22,-27 31 51.9,00 14 20.22,-27 31 51.9,4837708479864091350,2687969824722935818
00143-4757,KPP2850,0,2015,2016,260,260,4.7,4.7,19.12,20.96,0,T,0,00 14 19.17,-47 57 19.6,00 14 19.17,-47 57 19.6,791054028204521995,4819612644775456669
00144+7608,LOC 121,0,2015,2016,34,34,2.1,2.1,17.1,18.0,0,T,0,00 14 22.22,+76 08 05.0,00 14 22.22,+76 08 05.0,5947748097108062814,-4058702199739949716
00144+6020,A   902,0,1905,2012,327,140,1.2,0.2,8.73,11.13,+59   17,0,0,00 14 21.33,+60 20 29.9,00 14 21.33,+60 20 29.9,6040238065157118835,2226509894952437946
00144+5938,STI  28,0,1903,2015,161,156,9.1,9.3,13.6,13.8,0,0,0,00 14 25.25,+59 38 05.1,00 14 25.25,+59 38 05.1,-8561980707803755676,374103298826634613
00144+4351,A  1255,0,1893,2016,348,350,3.8,4.3,8.37,10.49,+43   31,0,0,00 14 23.61,+43 50 45.3,00 14 23.61,+43 50 45.3,8214976994211585262,-737397379537728397
00144+3609,LDS3140,0,1960,2016,169,171,10.0,10.3,16.6,17.6,0,N,0,00 14 25.30,+36 09 26.6,00 14 25.30,+36 09 26.6,9075678222913918684,-1243004889199678394
00144+1643,BPM   6,0,1954,2015,13,13,95.2,95.3,15.67,16.08,0,NV,0,00 14 23.00,+16 42 59.1,00 14 23.00,+16 42 59.1,5688525102946140098,4703965257491692271
00144+0424,CVR 310,0,1998,2016,269,269,25.7,25.7,15.4,16.9,0,V R,0,00 14 22.89,+04 24 01.9,00 14 22.89,+04 24 01.9,102252560897547972,7365204227032379650
00144-0212,OCC 593,0,1979,1979,-1,-1,0.1,0.1,8.2,8.2,-03   18,0,0,00 14 24.47,-02 11 52.5,00 14 24.47,-02 11 52.5,3573066703944617319,-754273784180510502
00144-1424,GAL 296,0,1901,2015,152,101,23.4,24.0,7.0,11.0,-15   30,N,0,00 14 28.07,-14 25 53.3,00 14 28.07,-14 25 53.3,5278796799652298488,-6180552603794117776
00144-1429,DAM 623,0,1951,2015,338,338,313.3,314.8,16.2,16.7,0,U R,0,00 14 21.65,-14 28 49.3,00 14 21.65,-14 28 49.3,8099417880555231763,5916264869724953700
00144-3314,KPP2668,0,1998,2016,286,286,4.0,4.0,12.18,12.23,0,T,0,00 14 25.94,-33 13 32.3,00 14 25.94,-33 13 32.3,8639435356039320452,1080671012544586849
