WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,ra,dec,_RA.icrs,_DE.icrs,framework_id,frame_hash
00445-2953,SKF1789,0,1954,2015,342,342,40.0,39.9,11.33,14.87,-30  216,V,0,00 44 31.88,-29 52 30.3,00 44 31.88,-29 52 30.3,-2187424829448657617,6757489502361909756
00445-3505,HDS  98,0,1991,2020,214,300,0.2,0.2,11.01,11.26,-35  230,0,0,00 44 29.82,-35 05 08.4,00 44 29.82,-35 05 08.4,-8575834252809679523,6975287829046987223
00445-3607,B   640,0,1927,2016,230,233,3.2,3.8,9.76,12.7,-36  249,N,0,00 44 30.17,-36 06 29.1,00 44 30.17,-36 06 29.1,-8814241884666903611,-8722388377053621943
00445-3750,GKM9012,AB,2016,2023,14,13,1.7,1.7,10.5,15.6,0,V,0,00 44 31.70,-37 49 47.9,00 44 31.70,-37 49 47.9,729796126164347237,-1607011902779785737
00445-4418,UC  429,0,1996,2016,122,122,7.5,7.6,13.4,16.3,0,V,0,00 44 31.69,-44 17 58.5,00 44 31.69,-44 17 58.5,6092600629066241184,8674488011664712455
00445-6230,COO   3,0,1894,2016,90,73,3.0,2.4,6.31,8.01,-63   72,0,0,00 44 31.68,-62 29 51.2,00 44 31.68,-62 29 51.2,-1531953301094884221,-3450479617116804131
00446+4341,LDS5177,0,1960,2016,327,325,4.0,4.7,15.99,18.53,0,NV,0,00 44 36.13,+43 39 51.3,00 44 36.13,+43 39 51.3,-1078086595477760545,4463110238643212630
00446+3208,KPP4429,0,2009,2016,354,356,2.0,1.9,14.4,14.1,0,T,0,00 44 35.19,+32 07 33.9,00 44 35.19,+32 07 33.9,-4819730327785633665,-8749319097623808603
00446+2402,CVR1052,0,1997,2016,339,337,4.0,3.9,18.0,18.5,0,R,0,00 44 38.43,+24 01 35.1,00 44 38.43,+24 01 35.1,4887907252502460515,6849505988995972324
00446+2007,GWP  84,0,1987,2016,141,141,18.6,18.8,10.5,15.9,+19  115,N,0,00 44 33.17,+20 06 40.8,00 44 33.17,+20 06 40.8,-4352853478190821959,503375112545483499
00446+1749,LDS3194,0,1960,2015,160,162,151.0,151.6,13.5,18.0,0,0,0,00 44 30.75,+17 48 15.7,00 44 30.75,+17 48 15.7,-3154725566648152305,4240943484197952762
00446+0219,BAL1252,0,1995,2016,202,198,2.9,2.8,12.0,13.1,0,0,0,00 44 40.40,+02 18 21.6,00 44 40.40,+02 18 21.6,8086116832186668788,722135335792771216
00446-0653,GWP  85,0,1995,2016,147,147,38.8,38.3,11.58,16.04,0,V R,0,00 44 35.46,-06 52 54.4,00 44 35.46,-06 52 54.4,-944440417848234922,2949635051936912078
00446-1149,KPP2675,0,2012,2016,346,346,4.3,4.3,14.71,17.52,0,T,0,00 44 34.85,-11 48 40.2,00 44 34.85,-11 48 40.2,-4408463553716485662,-9096020480910839886
00446-1856,HDS  99,"Aa,Ab",1991,2023,13,262,0.2,0.2,11.46,11.74,-19  111,NO,0,00 44 37.15,-18 56 48.2,00 44 37.15,-18 56 48.2,-4253713959570330391,-1041091379268913179
00446-1856,LDS3195,AB,1960,2016,216,242,90.0,149.4,10.93,10.42,-19  111,NS,0,00 44 37.15,-18 56 48.2,00 44 37.15,-18 56 48.2,-205910671146383461,-3853600979729946760
00446-1856,LDS3195,AC,1960,2016,239,240,34.0,35.4,10.74,15.9,0,NT,0,00 44 37.15,-18 56 48.2,00 44 37.15,-18 56 48.2,3218349717274639182,-2154315328939999340
00446-3917,CLZ   4,0,1981,2015,153,153,92.3,92.4,12.3,17.6,0,0,0,00 44 36.89,-39 17 13.1,00 44 36.89,-39 17 13.1,-7266233812752258877,-2712405525450295129
00446-7845,KPP2786,0,2015,2016,283,284,1.3,1.3,17.38,19.54,0,T,0,00 44 38.17,-78 45 09.2,00 44 38.17,-78 45 09.2,-5252324852370304227,-3727467388200325678
00447+4817,NOI   3,"Aa,Ab",2005,2018,134,267,0.0,0.0,4.6,7.5,0,NO,0,00 44 43.50,+48 17 03.8,00 44 43.50,+48 17 03.8,-5619578501239475333,-3080696951007405977
00447+4817,BU  231,AB,1876,2023,304,303,32.8,34.4,4.54,11.2,+47  183,N,0,00 44 43.50,+48 17 03.8,00 44 43.50,+48 17 03.8,-774298152925864488,-6496530799806863305
00447+4518,ES 1359,AB,1893,2015,270,269,39.8,39.5,10.13,11.64,+44  154,U,0,00 44 41.73,+45 17 53.0,00 44 41.73,+45 17 53.0,-1268588827703509815,-1518642506218895722
00447+4518,ES 1359,BC,1915,2016,331,331,2.5,2.9,11.64,11.8,0,U,0,00 44 38.02,+45 17 51.7,00 44 38.02,+45 17 51.7,-628797127288816435,-6531828048292000695
00447+4503,HJ 1050,0,1828,2015,187,189,8.0,13.9,10.46,11.5,0,0,0,00 44 46.34,+45 03 25.6,00 44 46.34,+45 03 25.6,-2616943860284365113,-4001291167310778089
00447+2451,SLW  41,0,1997,2015,141,141,105.0,105.2,17.6,18.4,0,V R,0,00 44 43.59,+24 50 48.8,00 44 43.59,+24 50 48.8,6081583001070687655,-7605878446996462015
00447+2346,CVR1053,0,1997,2016,319,318,4.8,4.8,17.6,18.1,0,R,0,00 44 43.37,+23 46 23.9,00 44 43.37,+23 46 23.9,-5372931989428822949,1786394179186478937
00447-0006,LDS3196,0,1960,2016,307,306,13.5,13.9,12.97,17.7,0,0,0,00 44 49.18,-00 06 41.6,00 44 49.18,-00 06 41.6,1952992930377273799,2799528421750379790
