toi,ra,dec,st_dist,sky_coord.ra,sky_coord.dec,frame_hash
1040.01,128.61421,-61.488262,732.432,128.61421,-61.488262,2746123587208581135
1041.01,138.402252,-55.19791,305.034,138.402252,-55.19791,-73305539878771760
1042.01,141.975215,-61.33004,792.633,141.975215,-61.33004,-884020303674886036
1043.01,128.302319,-52.714202,208.055,128.302319,-52.714202,-8784569139825859989
1044.01,153.811023,-58.766393,494.689,153.811023,-58.766393,6903983767106954636
1045.01,159.887704,-32.51188,300.696,159.887704,-32.51188,-1850000969972082740
1046.01,126.419468,-60.907514,301.298,126.419468,-60.907514,-8154921295563289783
1047.01,144.581535,-67.505097,134.926,144.581535,-67.505097,393859196246339463
1093.01,215.805264,-63.045983,1710.22,215.805264,-63.045983,7370125203106873675
1094.01,230.498827,-53.819601,426.003,230.498827,-53.819601,8678424516587967612
1095.01,133.968965,-75.926187,582.521,133.968965,-75.926187,8682059550867141280
1096.01,133.826684,-73.173308,490.288,133.826684,-73.173308,-4193933455962052402
1097.01,189.775859,-74.57402,79.5561,189.775859,-74.57402,7301858746920354769
1097.02,189.775859,-74.57402,79.5561,189.775859,-74.57402,-2762022618386282495
1098.01,192.589285,-88.121111,105.096,192.589285,-88.121111,-1933782520714237614
1099.01,328.718171,-77.338802,23.606,328.718171,-77.338802,-5971842265261258034
110.01,5.618525,-59.942589,342.14,5.618525,-59.942589,-7047799036971501633
1100.01,9.126138,-83.567067,205.43,9.126138,-83.567067,-851746025701616271
1101.01,319.551469,-77.529113,262.794,319.551469,-77.529113,-7987778754350127182
1102.01,263.003209,-76.858265,58.0624,263.003209,-76.858265,-2698655913932467968
1103.01,310.086743,-63.789963,320.212,310.086743,-63.789963,6545471700490007670
1104.01,279.721286,-85.709137,70.0154,279.721286,-85.709137,-1935823091089370992
1105.01,146.053969,-89.471513,79.5225,146.053969,-89.471513,-3422029041643063334
1106.01,253.110033,-79.135182,523.425,253.110033,-79.135182,-6937813810056534854
1107.01,155.607863,-82.218869,281.314,155.607863,-82.218869,766346865619591132
1108.01,274.221618,-68.197779,417.08,274.221618,-68.197779,-788265821892303345
1109.01,30.198486,-77.610376,102.238,30.198486,-77.610376,-71569050104092349
111.01,0.774487,-62.469317,508.842,0.774487,-62.469317,-7612369154658172394
1110.01,286.791829,-58.697242,243.838,286.791829,-58.697242,-5396709262935432457
1111.01,291.373783,-60.941042,312.461,291.373783,-60.941042,-940855960790460674
1112.01,163.628917,-87.269735,292.085,163.628917,-87.269735,-1328077610228632626
1113.01,328.710839,-77.337433,23.8853,328.710839,-77.337433,-8010230519780825718
1114.01,302.147728,-71.552443,174.475,302.147728,-71.552443,4941440132343851144
1115.01,283.301843,-54.910806,359.215,283.301843,-54.910806,7695309416236713276
1116.01,27.699972,-75.848774,94.4178,27.699972,-75.848774,5402064394761904337
1117.01,273.602061,-66.419974,167.598,273.602061,-66.419974,2188880893177675467
1118.01,277.432937,-44.625506,,277.432937,-44.625506,-2356526628453808181
1119.01,292.604815,-46.278074,421.518,292.604815,-46.278074,-9033411095584617418
112.01,55.933639,-65.19378,302.448,55.933639,-65.19378,-3212613805223283701
1120.01,293.389272,-45.892667,386.323,293.389272,-45.892667,-9202868778988268728
1121.01,269.648642,-46.065523,338.644,269.648642,-46.065523,-129147749847570623
1122.01,281.369481,-52.262928,249.826,281.369481,-52.262928,-8357017354812695928
1123.01,292.391505,-37.304009,161.932,292.391505,-37.304009,-3719404174163086894
1124.01,300.212928,-43.982529,75.7145,300.212928,-43.982529,7554815558000900360
1125.01,298.287708,-46.369991,237.593,298.287708,-46.369991,5504149532043093644
1126.01,279.062469,-43.620606,97.8115,279.062469,-43.620606,2913022190281401824
1127.01,292.195297,-36.00026,177.741,292.195297,-36.00026,-6551542627670283494
1128.01,289.761799,-43.074223,222.529,289.761799,-43.074223,-4907685035695719308
1129.01,284.157959,-29.398357,247.414,284.157959,-29.398357,-5303743076487180090
113.01,332.714337,-30.749719,448.637,332.714337,-30.749719,-1339226237427014155
1130.01,286.376004,-41.43764,58.2609,286.376004,-41.43764,-2298611136479923826
1130.02,286.376004,-41.43764,58.2609,286.376004,-41.43764,1853958192027542295
1131.01,248.433545,61.718334,222.74,248.433545,61.718334,5580807130686750644
1132.01,298.781281,54.781445,286.668,298.781281,54.781445,5679029101054381767
1133.01,294.824079,31.958037,233.369,294.824079,31.958037,-5063861876964049478
1134.01,290.02096,36.637774,170.732,290.02096,36.637774,5127534145678445189
1135.01,193.39637,85.129495,114.048,193.39637,85.129495,1252244461325724290
1136.01,192.184898,64.855276,84.5362,192.184898,64.855276,-6830256802794813878
1136.02,192.184898,64.855276,84.5362,192.184898,64.855276,8283597012621215337
1136.03,192.184898,64.855276,84.5362,192.184898,64.855276,1524479774653010989
1136.04,192.184898,64.855276,84.5362,192.184898,64.855276,7519809487188921505
1137.01,301.17768,30.409951,419.435,301.17768,30.409951,-5838529150790641695
1078.01,306.928646,-56.462287,20.373,306.928646,-56.462287,3813949005336038350
1079.01,283.119492,-55.387928,1179.27,283.119492,-55.387928,-8056846934661105107
108.01,316.96148,-26.09672,421.855,316.96148,-26.09672,8464799888098446513
1080.01,276.368325,-52.214573,25.559,276.368325,-52.214573,8106192570662529878
1081.01,282.140409,-40.11177,354.05,282.140409,-40.11177,6480204749128568289
1082.01,83.275809,-80.815478,100.248,83.275809,-80.815478,-6857518359080058254
1083.01,296.822194,-87.32281,68.9109,296.822194,-87.32281,3684907708984530419
1084.01,268.890707,-61.7474,494.182,268.890707,-61.7474,5723221764017247725
1085.01,77.605399,-59.535664,444.066,77.605399,-59.535664,-72270840252580153
1086.01,305.56982,-88.568495,736.397,305.56982,-88.568495,-1704002169552197813
1087.01,238.001011,-76.49349,416.25,238.001011,-76.49349,5575757149291813473
1088.01,272.311383,-76.300955,240.901,272.311383,-76.300955,4134755827545111460
1089.01,228.84306,-52.885989,778.127,228.84306,-52.885989,-2438806867843831643
109.01,313.215475,-25.687376,513.011,313.215475,-25.687376,6096140048595597330
1090.01,242.016315,-68.588832,566.502,242.016315,-68.588832,-6132487817395059276
1091.01,222.101134,-56.025931,321.671,222.101134,-56.025931,3128955382503836336
1092.01,217.022882,-64.634285,209.919,217.022882,-64.634285,-6265917620943251042
1154.01,254.924043,64.699214,93.8819,254.924043,64.699214,5010194772941245146
1155.01,309.275852,32.471019,,309.275852,32.471019,-8789990224948086847
1156.01,300.419309,26.971662,6079.49,300.419309,26.971662,-1462629671710708579
1157.01,144.341393,68.458705,432.113,144.341393,68.458705,8489465471464494618
1158.01,293.427359,29.596296,,293.427359,29.596296,1030295274925706230
1159.01,282.42081,48.098942,292.83,282.42081,48.098942,-3724231515438722372
116.01,357.846434,-70.152862,149.942,357.846434,-70.152862,8687535809622103340
1160.01,301.317709,30.67067,2320.13,301.317709,30.67067,-513757140058602929
1161.01,286.971388,46.868246,519.096,286.971388,46.868246,-9005228651943554561
1162.01,305.289344,41.462366,348.481,305.289344,41.462366,8715935728024161757
1163.01,294.091757,19.639255,148.342,294.091757,19.639255,-4538195947412206469
1164.01,307.336613,37.508561,827.868,307.336613,37.508561,5418991831031143515
1165.01,232.146641,66.35871,126.261,232.146641,66.35871,2756831349739968113
1166.01,293.764981,37.53859,153.743,293.764981,37.53859,-3405514890091598215
1167.01,198.152378,71.618139,209.618,198.152378,71.618139,-8641101929916402358
1168.01,301.710466,38.431023,274.162,301.710466,38.431023,-3221002987486201742
1169.01,134.120039,72.533276,259.0,134.120039,72.533276,6695879725142051205
117.01,15.006077,-58.904724,603.955,15.006077,-58.904724,202324077830342110
1170.01,300.805115,52.040842,880.107,300.805115,52.040842,-5109413824317511301
1171.01,299.273862,35.988359,482.763,299.273862,35.988359,3459468337640445092
1172.01,282.474539,55.26639,875.061,282.474539,55.26639,3172062483494681398
1173.01,197.683097,70.768012,132.353,197.683097,70.768012,5894361401675002132
1174.01,209.217175,68.618211,94.6375,209.217175,68.618211,3515405073173741062
1175.01,289.238688,31.323574,216.517,289.238688,31.323574,2851744789483982963
1176.01,247.35668,71.505873,295.561,247.35668,71.505873,-1073046478635388796
1177.01,297.30004,41.326844,602.899,297.30004,41.326844,-7416882853108973189
1178.01,279.101036,55.391781,36.7224,279.101036,55.391781,-5155891342492130593
1179.01,187.055897,67.240043,86.444,187.055897,67.240043,-4034683486327654180
118.01,349.559266,-56.903986,94.1719,349.559266,-56.903986,-1209447211949530969
1180.01,214.555774,82.193764,72.0238,214.555774,82.193764,7037635256396794907
1181.01,297.215817,64.354351,302.819,297.215817,64.354351,-2295469827465875922
1182.01,201.614657,65.306346,,201.614657,65.306346,2085490242430620825
1183.01,286.74712,71.712377,112.868,286.74712,71.712377,-3422108030700158731
1184.01,272.20452,60.678785,58.5946,272.20452,60.678785,-3104655696811725071
1185.01,297.459433,34.829667,246.798,297.459433,34.829667,4292682613980047509
1186.01,251.633465,65.715035,294.85,251.633465,65.715035,7911412675175771463
1187.01,162.893176,81.322174,221.071,162.893176,81.322174,-5714084078049751864
1188.01,306.730853,38.93227,347.452,306.730853,38.93227,-6429506106882858419
1189.01,292.223229,24.20119,,292.223229,24.20119,1097867902959162371
119.01,99.238421,-58.016153,66.6187,99.238421,-58.016153,-85507496490285414
119.02,99.238421,-58.016153,66.6187,99.238421,-58.016153,6119631392599124478
1190.01,292.734132,59.403853,280.948,292.734132,59.403853,-9076800824019276614
1191.01,283.526697,37.720014,355.809,283.526697,37.720014,8103374001657463457
1192.01,286.550056,44.0808,283.025,286.550056,44.0808,-4854853718313861735
1193.01,301.41088,33.049205,501.963,301.41088,33.049205,3653617618765472249
1194.01,167.821481,69.964775,149.667,167.821481,69.964775,-3017883143041978208
1195.01,291.12047,33.273702,500.014,291.12047,33.273702,-8767997976819005589
1196.01,291.707693,17.808736,424.442,291.707693,17.808736,-3240961889788281200
1197.01,293.26832,15.736136,405.634,293.26832,15.736136,4054896359510349012
1198.01,304.800032,32.581045,470.878,304.800032,32.581045,1747330553984224293
1199.01,166.880658,61.352572,248.427,166.880658,61.352572,-6397839503015088299
120.01,4.447163,-66.358928,79.5702,4.447163,-66.358928,-7279348050352201209
1200.01,222.841424,82.952258,224.444,222.841424,82.952258,1798600593829763854
1201.01,42.2477,-14.537283,37.8871,42.2477,-14.537283,-3556183744095532484
1202.01,210.427355,-63.852645,818.829,210.427355,-63.852645,2920169482924513447
1203.01,168.226736,-34.406937,64.9943,168.226736,-34.406937,-7762104362598089997
1204.01,169.119109,-60.567675,106.505,169.119109,-60.567675,6498437721049636460
1138.01,291.463084,25.189437,395.12,291.463084,25.189437,-2718596894235107053
1139.01,304.034336,31.925687,238.726,304.034336,31.925687,1589476256925958810
114.01,63.374706,-69.226593,216.526,63.374706,-69.226593,1921311674863289408
1140.01,264.961539,56.078974,121.182,264.961539,56.078974,-3655863302345204904
1141.01,247.534722,80.307766,97.3391,247.534722,80.307766,8581207667442010086
1142.01,290.708965,56.615386,299.294,290.708965,56.615386,2126747094439369052
1143.01,182.538652,77.352264,191.984,182.538652,77.352264,8624372429886989666
1144.01,297.710176,48.081864,37.7647,297.710176,48.081864,-4861706864220629240
1145.01,291.92142,36.529898,438.395,291.92142,36.529898,7588093456084160051
1146.01,292.286802,30.297329,411.307,292.286802,30.297329,-5954731022362668116
