RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,FG,e_FG,Gmag,FBP,e_FBP,BPmag,FRP,e_FRP,RPmag,BP-RP,RV,e_RV,Vbroad,GRVSmag,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,And,Teff,logg,[Fe/H],Dist,A0,HIP,PS1,SDSS13,SKYM2,TYC2,URAT1,AllWISE,APASS9,GSC23,RAVE5,2MASS,RAVE6,ra,dec,framework_id
49.40952056118,5.69236548771,3357942871348736,0.5513,0.5197,1.0827,0.5915,27.868,26.076,0.725,9.83,0.703,0.948,148.90778,1.1812,20.255074,34.549,7.6023,21.492445,193.65,10.236,19.030365,2.46208,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.148304940944314e+17,1.2376700162006062e+18,0.0,0,0,0,0.0,N9VS006441,0.0,0,0.0,49.40940409211,5.69232179808,7770468853135853963
49.38491125031,5.69657719062,3357977231087488,0.8256,0.6935,-0.9853,0.9146,3.925,3.549,1.182,1.678,0.875,1.053,122.30661,1.4795,20.468742,65.526,11.832,20.797506,158.31,11.442,19.249104,1.548403,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1483049384915635e+17,1.2376700162006062e+18,0.0,0,0,0,0.0,N9VS006444,0.0,0,0.0,49.38489539996,5.6965697345,1457317819568984040
49.42820821497,5.71133156372,3358084605485184,0.0134,0.0122,4.837,0.015,34.602,2.757,0.017,-34.492,0.015,1.1,216486.55665,148.58,12.348789,101450.0,240.05,12.82295,164060.0,288.93,11.710413,1.112537,-12.74,1.11,7.3031,11.492498,0,0,0,1,1,0,1,0,1,1,0,5045.9,4.5072,0.0798,206.0215,0.1468,0.0,0.0,1.2376700162006057e+18,0.0,62-1029-1,URAT1-479012324,J031742.77+054240.9,15258.0,N9VS000198,0.0,03174277+0542413,0.0,49.4281959014,5.7114848594,6936115864188305689
49.43421733148,5.71552621678,3358084605484800,0.0213,0.0194,2.9476,0.0247,22.246,22.239,0.027,0.554,0.024,1.035,26319.85965,8.0273,14.636658,9779.3,21.517,15.362778,23558.0,16.734,13.817534,1.545243,20.43,3.71,0.0,13.459287,0,0,0,1,1,0,0,0,1,1,0,4596.2,4.647,0.4982,322.9943,0.6078,0.0,1.1485049434226914e+17,1.2376700162006057e+18,0.0,0,URAT1-479012330,J031744.20+054255.8,15261.0,N9X0000097,0.0,03174419+0542559,0.0,49.43411799758,5.7155237547,-5200676874232088406
49.4283288343,5.72272706493,3358080309923456,0.0155,0.0144,1.7961,0.0173,20.665,9.529,0.019,-18.337,0.018,1.159,154511.14286,106.86,12.714968,97056.0,1446.0,12.87099,147200.0,2100.4,11.828091,1.042899,-3.27,2.18,0.0,0.0,0,0,0,1,1,0,0,0,1,1,0,5820.2,3.7923,-1.2836,552.2325,0.7076,0.0,1.1486049428416771e+17,1.2376700162006057e+18,0.0,0,URAT1-479012325,J031742.81+054321.5,15259.0,N9VS000197,0.0,03174280+0543218,0.0,49.42828627281,5.72280856299,6075810683000011091
49.42851626339,5.72244720796,3358084605668224,0.0274,0.0317,1.7059,0.0239,20.632,9.822,0.026,-18.144,0.028,1.198,71695.92462,64.251,13.548631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.04,5.87,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.148604942865075e+17,1.2376700162006057e+18,0.0,0,URAT1-479012325,J031742.81+054321.5,15259.0,N9VS000197,0.0,03174280+0543218,0.0,49.42847239121,5.72252784667,-2222774304584852387
49.40613392645,5.7103433552,3358118965012736,2.125,1.6664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.96876,1.732,20.754908,51.819,11.629,21.052322,54.556,8.8076,20.405787,0.646536,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1485049406192296e+17,1.237670016200606e+18,0.0,0,0,J031737.45+054236.6,0.0,N9VS003010,0.0,0,0.0,49.40613392645,5.7103433552,-4256624730353555823
49.4004093214,5.72053293677,3358114671609600,0.4439,0.392,1.1897,0.5137,18.456,10.622,0.57,-15.093,0.517,0.964,185.48679,1.0455,20.016584,61.742,9.7537,20.862099,237.04,12.837,18.810827,2.051271,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1486049400406517e+17,1.2376700162006057e+18,0.0,0,0,0,15260.0,0,0.0,0,0.0,49.40036187665,5.72060001681,-3454041279274609001
49.4001004467,5.71938173819,3358118965223680,0.0481,0.0448,0.4645,0.0585,10.434,10.241,0.064,1.999,0.059,0.991,5282.90561,3.6818,16.380184,2490.8,10.253,16.847683,3987.5,21.595,15.746153,1.10153,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,4912.2,4.3528,-1.561,1331.3767,0.1336,0.0,1.1486049400089376e+17,1.2376700162006057e+18,0.0,0,URAT1-479012316,0,15260.0,N9VS003019,0.0,03173601+0543098,0.0,49.40005470526,5.71937285365,-3624488364668537698
49.37033807066,5.72174582502,3358290763916800,0.0492,0.0452,3.0616,0.0556,62.73,61.538,0.064,-12.168,0.056,1.143,5782.69705,4.2968,16.282042,1532.0,10.126,17.375372,6320.0,15.548,15.2461,2.129272,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,3745.6,4.5836,-0.5291,325.4716,0.6501,0.0,1.1486049370239662e+17,1.237670016200606e+18,0.0,0,URAT1-479012312,J031728.85+054318.3,0.0,N9VS003021,0.0,03172881+0543185,0.0,49.37006319684,5.72179990644,-3720374083066101657
49.37573741692,5.72584723781,3358286468531840,0.1295,0.1198,0.3529,0.1477,2.605,0.371,0.169,-2.578,0.154,0.978,889.76868,1.6037,18.314175,385.59,11.51,18.873238,699.64,12.862,17.635714,1.237524,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,4542.5,4.8919,-1.6343,1240.0055,0.0135,0.0,1.1487049375741152e+17,1.237670016200606e+18,0.0,0,URAT1-479012314,J031730.18+054333.1,0.0,N9VS003023,0.0,03173017+0543329,0.0,49.37573575798,5.72585869662,2565679082606011196
49.42334996294,5.73412999467,3358531281585152,0.3742,0.345,-0.027,0.3998,1.497,0.595,0.47,-1.373,0.432,1.005,226.89666,1.159,19.797796,107.44,13.67,20.26058,180.24,11.329,19.108246,1.152334,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1488049423317149e+17,1.2376700162006062e+18,0.0,0,0,0,0.0,N9VS003027,0.0,0,0.0,49.42334730351,5.73413609901,-2616178748520683688
49.46544959443,5.75354372826,3358630066192640,0.1179,0.0853,1.814,0.1305,26.434,24.36,0.124,-10.263,0.111,1.134,1743.68308,2.6888,17.583698,443.26,10.613,18.721886,1953.6,15.98,16.520815,2.201071,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,3805.1,4.3604,-0.391,837.6476,0.9451,0.0,1.1490049465419469e+17,1.237670016200606e+18,0.0,0,URAT1-479012337,J031751.69+054512.7,0.0,N9X0001826,0.0,03175168+0545130,0.0,49.46534077839,5.75358933965,4613247709630302550
49.44162089825,5.75211763339,3358664425930752,0.0796,0.0648,2.6713,0.0941,6.118,6.11,0.085,-0.328,0.078,1.021,3087.57001,3.2859,16.963326,776.92,10.893,18.112595,3368.4,12.917,15.929335,2.18326,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,3674.9,4.432,-1.2629,325.2566,0.8027,0.0,1.1490049441625304e+17,1.237670016200606e+18,0.0,0,URAT1-479012331,J031745.98+054507.6,0.0,N9X0001820,0.0,03174598+0545077,0.0,49.44159360688,5.75211908965,-3172580280825010295
