objID,ra,dec,mode,class,clean,e_RA_ICRS,e_DE_ICRS,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,zsp,e_zsp,f_zsp,zph,e_zph,<zph>,Q,SDSS16,Sp-ID,MJD,framework_id
1237646380984107522,45.102699,0.147137,2,3,0,0.119,0.094,25.839,23.262,21.06,20.258,19.944,0.979,0.386,0.088,0.069,0.22,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.64+000849.6,0,51115.3153,-1985528238696902572
1237646509832929767,45.102742,0.147115,2,3,0,0.264,0.141,25.563,22.698,20.876,20.115,19.441,1.239,0.286,0.103,0.086,0.204,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.65+000849.6,0,51132.2692,5395503127766124364
1237646647285711408,45.102668,0.147111,2,3,0,0.125,0.08,22.862,22.525,20.518,19.74,19.352,0.754,0.268,0.079,0.064,0.196,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.64+000849.5,0,51136.2585,3028358093434846999
1237646707404309025,45.102628,0.147175,2,3,0,0.16,0.123,26.729,23.199,20.85,20.033,19.287,0.563,0.426,0.092,0.074,0.167,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.63+000849.8,0,51138.2529,8941636500976030507
1237653012456210990,45.102554,0.147202,2,3,0,0.186,0.1,22.781,22.367,20.613,20.047,19.327,0.905,0.259,0.081,0.07,0.16,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.61+000849.9,0,51819.4795,-1217625154851806074
1237653609418457571,45.102686,0.147089,2,3,0,0.152,0.079,25.667,22.1,20.527,19.644,19.152,1.702,0.221,0.087,0.057,0.166,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.64+000849.5,0,51875.2236,3617081327223868988
1237656551468958215,45.102627,0.147137,3,3,0,0.085,0.103,23.886,21.868,20.338,19.6,18.763,2.372,0.2,0.08,0.058,0.118,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.63+000849.6,0,52171.456,-8159753601794023633
1237656551468958216,45.102627,0.147137,2,3,0,0.085,0.103,23.947,21.761,20.338,19.6,18.763,2.443,0.183,0.08,0.058,0.118,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.63+000849.6,0,52171.456,3650181470330095364
1237656603006468464,45.102678,0.147137,2,3,0,0.172,0.087,24.504,22.67,20.718,19.915,19.285,2.229,0.353,0.085,0.065,0.158,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.64+000849.6,0,52173.4303,-7377228509473259513
1237657109821719161,45.102671,0.147138,2,3,0,0.057,0.061,24.029,23.207,21.202,20.363,19.897,1.255,0.307,0.085,0.057,0.153,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.64+000849.6,0,52225.3044,7395446869357461764
1237657870033617307,45.102651,0.147193,2,3,0,0.11,0.108,26.666,22.353,20.883,20.027,19.398,0.5,0.185,0.08,0.053,0.121,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.63+000849.8,0,52288.1387,-8019619618762491914
1237659755537302195,45.102616,0.147106,2,3,0,0.123,0.093,27.328,22.129,20.347,19.58,19.156,0.495,0.253,0.076,0.058,0.175,0.0,0.0,0.0,0.0,0.0,0.0,1,SDSS J030024.62+000849.5,0,52522.4409,826504426444075446
1237659884371050981,45.102589,0.147181,2,3,0,0.143,0.078,24.15,22.899,20.879,20.127,19.476,1.713,0.314,0.081,0.061,0.139,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.62+000849.8,0,52551.4109,6281575070577456333
1237660026134135376,45.102569,0.147088,2,3,0,0.169,0.049,23.655,22.848,20.87,20.003,19.29,1.489,0.305,0.096,0.066,0.152,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.61+000849.5,0,52558.4439,-1242259465647813666
1237660240848421469,45.102631,0.147161,2,3,0,0.096,0.062,26.561,22.097,20.482,19.718,19.054,0.827,0.192,0.073,0.055,0.129,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.63+000849.7,0,52578.3155,-7277602183864726274
1237660335342551753,45.102651,0.14722,4,0,0,0.135,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.63+000849.9,0,52585.2781,1218813322852909893
