pl_name,hostname,pl_orbper,framework_id,frame_hash
HD 114783 c,HD 114783,4319.0,-1295064622279220815,7370125203106873675
NN Ser d,NN Ser,2880.0,-7512554851130632480,8678424516587967612
TOI-1710 b,TOI-1710,24.283382,-4136599395998075784,8682059550867141280
Kepler-19 b,Kepler-19,0.0,-8893126695889307886,-4193933455962052402
TOI-2427 b,TOI-2427,1.30613,4796107978668052305,7301858746920354769
KELT-23 A b,KELT-23 A,2.2552845,-5947338855274641811,-2762022618386282495
K2-132 b,K2-132,9.173866,-3509258010875795145,-1933782520714237614
Qatar-9 b,Qatar-9,1.540776,-1883308250683877985,-5971842265261258034
Kepler-25 b,Kepler-25,0.0,3893775170485645103,-7047799036971501633
HATS-14 b,HATS-14,2.76675696,-1490643169929079167,-851746025701616271
TOI-3894 b,TOI-3894,4.3345401,-5071743038159653288,-7987778754350127182
K2-199 b,K2-199,3.225423,6195593611113175201,-2698655913932467968
HD 181234 b,HD 181234,7462.0575,6847096884454869330,6545471700490007670
HD 221420 b,HD 221420,22482.0,3262073312483235306,-1935823091089370992
HD 66428 b,HD 66428,2263.12,3428730077752401869,-3422029041643063334
51 Eri b,51 Eri,11688.0,5805039294449468699,-6937813810056534854
HD 3167 b,HD 3167,0.96,-1518589414191961043,766346865619591132
HD 3167 c,HD 3167,0.0,8070148127388978414,-788265821892303345
NGTS-10 b,NGTS-10,0.7668944,-8762833932525440887,-71569050104092349
HD 11506 b,HD 11506,1270.2,-6262677578366893626,-7612369154658172394
HD 11506 c,HD 11506,223.95986,7525332876523132434,-5396709262935432457
HD 11506 b,HD 11506,1613.74017,5629999810056565959,-940855960790460674
HD 11506 d,HD 11506,14723.57452,-325735601053966309,-1328077610228632626
HD 156279 c,HD 156279,4818.25358,-2738531659879875192,-8010230519780825718
HD 168443 b,HD 168443,58.11187,1085083496536129304,4941440132343851144
HD 66428 b,HD 66428,2288.9,-1153978434891460822,7695309416236713276
HD 68988 b,HD 68988,6.2764187,-7240549279162358920,5402064394761904337
HD 183263 b,HD 183263,625.09,-1548204568319148344,2188880893177675467
HD 183263 c,HD 183263,5010.0,2634435825976081479,-2356526628453808181
