pl_name,hostname,pl_orbper,frame_hash
HD 183263 b,HD 183263,625.09,7554815558000900360
HD 183263 c,HD 183263,5010.0,5504149532043093644
HD 3167 b,HD 3167,0.959632,2913022190281401824
HD 3167 c,HD 3167,29.84622,-6551542627670283494
COCONUTS-2 b,COCONUTS-2 A,402000000.0,-4907685035695719308
GJ 1214 b,GJ 1214,1.58040454,-5303743076487180090
HD 72659 c,HD 72659,35500.0,-1339226237427014155
HD 72659 b,HD 72659,3658.0,-2298611136479923826
HD 72659 b,HD 72659,3549.0,1853958192027542295
GJ 1214 b,GJ 1214,1.580404938,5679029101054381767
HR 8799 c,HR 8799,69000.0,-5063861876964049478
HD 183263 c,HD 183263,3070.0,5127534145678445189
HD 24040 c,HD 24040,515.4,1252244461325724290
HD 68988 c,HD 68988,16000.0,-6830256802794813878
HD 114783 b,HD 114783,492.56,8283597012621215337
HD 12661 b,HD 12661,262.36,1524479774653010989
HD 12661 c,HD 12661,1696.7,7519809487188921505
HD 156279 b,HD 156279,133.4031,-5838529150790641695
HD 156279 c,HD 156279,4758.0,3813949005336038350
HD 168443 b,HD 168443,58.11159,-8056846934661105107
HD 181234 b,HD 181234,7504.0,8464799888098446513
HD 62364 b,HD 62364,27399.80247,8106192570662529878
HD 62364 c,HD 62364,74839.94555,6480204749128568289
HD 168443 c,HD 168443,1753.1096,-6857518359080058254
HD 168863 b,HD 168863,14773.93272,3684907708984530419
HD 16905 b,HD 16905,6707.49126,5723221764017247725
HD 181234 b,HD 181234,7593.40512,-72270840252580153
HD 183263 b,HD 183263,624.87404,-1704002169552197813
HD 183263 c,HD 183263,4667.97841,5575757149291813473
HD 221420 b,HD 221420,8615.41549,4134755827545111460
HD 66428 b,HD 66428,2269.81726,-2438806867843831643
HD 3167 b,HD 3167,0.95965428,6096140048595597330
HD 3167 c,HD 3167,29.8464948,-6132487817395059276
HD 3167 d,HD 3167,8.4783,3128955382503836336
HD 3167 d,HD 3167,8.4112,-6265917620943251042
HD 3167 e,HD 3167,96.63,5010194772941245146
HD 89839 b,HD 89839,3441.0,-1462629671710708579
HD 181234 b,HD 181234,7450.0,8489465471464494618
BD-210397 b,BD-210397,1891.0,1030295274925706230
HD 108202 b,HD 108202,2990.0,-3724231515438722372
BD-210397 c,BD-210397,6240.0,8687535809622103340
HD 16905 b,HD 16905,10256.0,-513757140058602929
HD 62364 b,HD 62364,5172.0,-9005228651943554561
HD 89839 b,HD 89839,3448.0,8715935728024161757
HD 114783 c,HD 114783,4352.0,-4538195947412206469
GJ 832 b,GJ 832,3853.0,5418991831031143515
HD 221420 b,HD 221420,10066.0,2756831349739968113
HIP 70849 b,HIP 70849,3649.0,-3405514890091598215
HD 27894 b,HD 27894,18.01939,-8641101929916402358
HD 27894 d,HD 27894,5019.54244,-3221002987486201742
HD 29985 b,HD 29985,20608.14049,6695879725142051205
Kepler-293 b,Kepler-293,19.25405306,202324077830342110
Kepler-549 d,Kepler-549,24.61482073,-5109413824317511301
Kepler-395 b,Kepler-395,7.05427318,3459468337640445092
Kepler-172 d,Kepler-172,,3172062483494681398
Kepler-109 c,Kepler-109,21.2226460262,5894361401675002132
Kepler-549 b,Kepler-549,42.94957774,3515405073173741062
Kepler-1515 b,Kepler-1515,214.3114164,2851744789483982963
Kepler-359 c,Kepler-359,57.6895695163,-1073046478635388796
Kepler-1834 b,Kepler-1834,4.602996,-7416882853108973189
Kepler-1162 b,Kepler-1162,,-5155891342492130593
