main_id,ra,dec,otype,framework_id
[JPB2009] 187.4490244+7.9954387,187.4490244,7.9954387,GlC,5483370411004738685
[JPB2009] 187.7085337+12.3904466,187.7085337,12.3904466,GlC,4008447136637101114
[JPB2009] 187.4683105+7.9997802,187.4683105,7.9997802,GlC,-5025226676460543662
[JPB2009] 187.7192086+12.3951473,187.7192086,12.3951473,GlC,6141154503833430413
[JPB2009] 187.6985035+12.4070140,187.6985035,12.407014,GlC,-9208478573443394108
[JPB2009] 188.4895059+7.7199036,188.4895059,7.7199036,GlC,-812865393024760691
[JPB2009] 187.1707355+11.7429289,187.1707355,11.7429289,GlC,-232192463413684512
[JPB2009] 185.5822970+14.7625573,185.582297,14.7625573,GlC,-911847905487854704
[JPB2009] 185.2066776+17.4913566,185.2066776,17.4913566,GlC,4780520549768988179
[AFF2015] NGC4473 GC93,187.52188553682,13.46907781431,GlC,1952766082151420199
[BAL2007] gc401.6,54.39125,-35.546586111111104,GlC,-2885944490334889520
[MKZ2003] OID  115,187.42541666666665,7.963611111111114,GlC,-3126636789324870161
[MKZ2003] OID   39,187.421375,7.950027777777778,GlC,-3532677309189857571
[MKZ2003] OID    1,187.41670833333333,8.058277777777779,GlC,9141482334713728624
[MKZ2003] OID  268,187.4320833333333,8.017666666666667,GlC,-8560441323351095101
[BAL2007] gc114.7,54.04515000000001,-35.40623888888888,GlC,1155608550757853229
[JPB2009] 187.7034479+12.3970658,187.7034479,12.3970658,GlC,7314001515539636934
[JPB2009] 187.7051152+12.4024046,187.70525735453,12.40220991759,GlC,1460806640886045113
[JPB2009] 187.7029312+12.3828592,187.7029312,12.3828592,GlC,3865881202240509989
[JPB2009] 187.6982021+12.3866665,187.6982021,12.3866665,GlC,3551449884337173917
[JPB2009] 190.9073793+11.5665140,190.9067916666667,11.566416666666669,GlC,663928216349174157
[JPB2009] 187.3825735+8.0136194,187.3825735,8.0136194,GlC,8180441815937918229
[JPB2009] 188.1408903+15.4196463,188.1408903,15.4196463,GlC,-4749696347113616186
[JPB2009] 189.2191636+7.2582547,189.2191636,7.2582547,GlC,-2037934264045422718
[JPB2015] 054.1114029-34.9738484,54.1114029,-34.9738484,GlC,-6617587604141011379
DSH J0933.7-5705,143.44958333333332,-57.09944444444445,GlC,-5419650324207852911
CWNU 4193,121.17375,-38.92111111111111,GlC,-3162790402587365595
[JPB2009] 186.2953476+14.7636041,186.2953476,14.7636041,GlC,2384887413870919105
[JPB2015] 052.0659346-31.0426074,52.0659346,-31.0426074,GlC,-5685702162376003358
[SCD99]  2,237.74383333333336,-56.48241666666667,GlC,-7258685225055764045
[AFR2020] NGC5907 GC1,228.9333,56.330723000000006,GlC,-5098152552555930331
[AFR2020] NGC5907 GC2,229.01321,56.25453,GlC,-9103806241134330113
[AFR2020] NGC5907 GC3,229.17627,56.411514,GlC,7776822288094437384
[AFR2020] NGC5907 GC4,229.04755,56.29377399999999,GlC,801780207350016201
[AFR2020] NGC5907 GC5,229.28502,56.374107,GlC,-1822342910404344718
[AFR2020] NGC5907 GC6,228.8717,56.389336,GlC,-2117500249296385588
[AFR2020] NGC5907 GC7,229.26894,56.344845,GlC,3749857543360061768
[AFR2020] NGC5907 GC8,228.91808,56.36979,GlC,4144869486449732048
[AFR2020] NGC5907 GC9,228.95012,56.11405,GlC,-8837279651049696877
[AFR2020] NGC5907 GC10,229.00363,56.119396,GlC,-7041799445617651247
[AFR2020] NGC5907 GC11,228.97736,56.12487,GlC,6561939142300504330
[AFR2020] NGC5907 GC12,229.04742,56.12839,GlC,-3991312087280716928
[AFR2020] NGC5907 GC13,228.94493,56.12755,GlC,2008302843385040821
M31GC J004247+411740,10.695708333333332,41.29438888888888,GlC,5956548570007280771
[AFR2020] NGC5907 GC14,228.84106,56.12865,GlC,4222779772082188826
[AFR2020] NGC5907 GC15,228.96431,56.130363,GlC,-8421324136620876664
