main_id,ra,dec,otype,frame_hash
NAME Cl Dol Dzim 5,246.85,38.06666666666667,OpC,6001020532547805202
[HS66] 137,77.50416666666668,-65.31,OpC,2746123587208581135
[HS66] 188,78.69166666666668,-69.20666666666666,OpC,-73305539878771760
KMHK  895,81.52916666666667,-68.63333333333334,OpC,-884020303674886036
[HS66] 300,81.65416666666667,-69.46666666666667,OpC,-8784569139825859989
[HS66] 308,81.99166666666667,-69.53666666666666,OpC,6903983767106954636
BMG  70,86.625,-67.565,OpC,-1850000969972082740
BMG  81,86.86666666666667,-67.69833333333334,OpC,-8154921295563289783
BMG 183,89.4125,-67.90166666666667,OpC,393859196246339463
BMG 186,89.54166666666667,-67.455,OpC,7370125203106873675
BMG 199,90.12083333333334,-68.24833333333333,OpC,8678424516587967612
PHOC 1,126.99174,-42.77215,OpC,8682059550867141280
PHOC 16,111.04577,-20.222770000000004,OpC,-4193933455962052402
PHOC 17,261.17394,-34.68741000000001,OpC,7301858746920354769
PHOC 20,276.99875,-15.421410000000003,OpC,-2762022618386282495
[MCM2005b] 83,253.36666666666667,-43.395,OpC,-1933782520714237614
PHOC 21,121.78182000000002,-21.08485,OpC,-5971842265261258034
PHOC 23,62.37496000000001,51.84933,OpC,-7047799036971501633
PHOC 24,97.3599,8.060610000000002,OpC,-851746025701616271
PHOC 28,137.95288,-52.24265,OpC,-7987778754350127182
PHOC 29,120.70215,-28.53293,OpC,-2698655913932467968
PHOC 30,144.70835,-51.26348,OpC,6545471700490007670
PHOC 32,171.65135,-63.83995999999999,OpC,-1935823091089370992
PHOC 33,301.61194,36.2993,OpC,-3422029041643063334
PHOC 37,300.92929,34.73621,OpC,-6937813810056534854
KMHK  177,73.03333333333335,-68.45,OpC,766346865619591132
[SL63] 439,80.99583333333332,-70.17500000000001,OpC,-788265821892303345
[GKK2003] O015,80.52499999999999,-71.31666666666666,OpC,-71569050104092349
[GKK2003] O131,87.675,-69.96666666666667,OpC,-7612369154658172394
[GKK2003] O009,82.775,-72.15,OpC,-5396709262935432457
BMG  61,86.55416666666666,-67.39166666666668,OpC,-940855960790460674
[GKK2003] O003,85.75,-71.95,OpC,-1328077610228632626
C 1232+365,188.75416666666663,36.37166666666667,OpC,-8010230519780825718
BMG  74,86.67916666666667,-67.58,OpC,4941440132343851144
BMG 148,88.27916666666667,-68.11,OpC,7695309416236713276
PHOC 12,151.67666,-59.75702,OpC,5402064394761904337
[KPS2012] MWSC 1871,164.134,-63.018,OpC,2188880893177675467
PHOC 13,295.69928,23.667140000000003,OpC,-2356526628453808181
PHOC 15,112.08045,-19.98267,OpC,-9033411095584617418
[HXH2021] 66,273.1124394446306,-15.381727368594587,OpC,-3212613805223283701
[BDS2003] 156,292.9291666666667,18.69833333333333,OpC,-9202868778988268728
IC 1893,47.56875,19.616666666666664,OpC,-129147749847570623
