obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row,framework_id,frame_hash
23738,archived,Sgr A*,266.41683,-29.00783,59422.9906018519,ACIS-S,NONE,21700.0,GO,Ponti,59788,6519,-1858785332282547690,870370846639159918
23739,archived,Sgr A*,266.41683,-29.00783,59424.9844444444,ACIS-S,NONE,21700.0,GO,Ponti,59790,6520,-6919960713513720745,-2355574353460974990
25297,archived,Sgr A*,266.41683,-29.00783,59658.2110069444,ACIS-S,NONE,25910.0,GO,Neilsen,60024,6521,-4667848678426058282,5326204220156940026
25298,archived,Sgr A*,266.41683,-29.00783,59660.2633680556,ACIS-S,NONE,25090.0,GO,Neilsen,60027,6522,7416458412175654531,4531193185161796509
25299,archived,Sgr A*,266.41683,-29.00783,59661.3095949074,ACIS-S,NONE,23090.0,GO,Neilsen,60027,6523,5593160490791364340,-2106970681709991708
25300,archived,Sgr A*,266.41683,-29.00783,59663.3065509259,ACIS-S,NONE,25090.0,GO,Neilsen,60030,6524,-5990804189445710704,5420706881762344594
26757,archived,Sgr A*,266.41683,-29.00783,60047.2546875,ACIS-S,NONE,24590.0,GO,Neilsen,60230,6525,-5426198556258017315,135218119663081058
26758,archived,Sgr A*,266.41683,-29.00783,60050.2363078704,ACIS-S,NONE,25090.0,GO,Neilsen,60234,6526,4649752654783367061,4067156425758601538
26759,archived,Sgr A*,266.41683,-29.00783,60052.2571643519,ACIS-S,NONE,25390.0,GO,Neilsen,60235,6527,4771229490310293584,5644235097869483746
26760,archived,Sgr A*,266.41683,-29.00783,60054.1922685185,ACIS-S,NONE,25490.0,GO,Neilsen,60237,6528,-8790341665338598016,6128869923697268486
28230,archived,Sgr A*,266.41683,-29.00783,60406.3019328704,ACIS-S,NONE,25090.0,GO,Haggard,60590,6529,8517518592402122755,3031576281370949570
28231,archived,Sgr A*,266.41683,-29.00783,60408.3082407407,ACIS-S,NONE,22890.0,GO,Haggard,60591,6530,-6756894077166255915,-5820630874854939396
28232,archived,Sgr A*,266.41683,-29.00783,60409.3109490741,ACIS-S,NONE,25090.0,GO,Haggard,60593,6531,5596289571869655254,-1409983044247213016
29496,archived,Sgr A*,266.41683,-29.00783,60559.830787037,ACIS-S,NONE,27290.0,GO,Haggard,60743,6532,-7677740530111880652,-2700796402559593717
31019,observed,Sgr A*,266.41683,-29.00783,60892.2543865741,ACIS-S,NONE,25090.0,GO,Hora,61077,6533,-8714925080684733893,-7981887879222043270
31020,observed,Sgr A*,266.41683,-29.00783,60894.8825462963,ACIS-S,NONE,25090.0,GO,Hora,61079,6534,4820617712066960416,-2909451492998721204
31021,observed,Sgr A*,266.41683,-29.00783,60896.7755902778,ACIS-S,NONE,26930.0,GO,Hora,61081,6535,3781094334402409682,-8559601854394658230
31022,observed,Sgr A*,266.41683,-29.00783,60898.8443287037,ACIS-S,NONE,26890.0,GO,Hora,61083,6536,-8168230765100161653,9209850650705960727
9169,archived,Sgr A*,266.41667,-29.00781,54591.1612384259,ACIS-I,NONE,27960.0,GO,Zadeh,54957,6537,-2797534874142117321,-5273526047647090508
9170,archived,Sgr A*,266.41667,-29.00781,54592.1245949074,ACIS-I,NONE,27150.0,GO,Zadeh,54958,6538,-764223720808507218,-3540310236399612360
9171,archived,Sgr A*,266.41667,-29.00781,54596.1367824074,ACIS-I,NONE,28040.0,GO,Zadeh,54962,6539,115244536614942146,-4500410105486589742
9172,archived,Sgr A*,266.41667,-29.00781,54597.1497800926,ACIS-I,NONE,27790.0,GO,Zadeh,54964,6540,850105287087936487,-2760162366138400856
