main_id,ra,dec,otype,framework_id,frame_hash
[AFR2020] NGC5907 GC31,229.01259,56.1671,GlC,-7677740530111880652,-2700796402559593717
[AFR2020] NGC5907 GC32,228.82053,56.168205,GlC,-8714925080684733893,-7981887879222043270
[AFR2020] NGC5907 GC33,228.94669,56.167957,GlC,4820617712066960416,-2909451492998721204
[AFR2020] NGC5907 GC34,229.00253,56.168003,GlC,3781094334402409682,-8559601854394658230
[AFR2020] NGC5907 GC35,228.84753,56.168575,GlC,-8168230765100161653,9209850650705960727
[JPB2015] 054.5933319-35.4713861,54.5933319,-35.4713861,GlC,-2797534874142117321,-5273526047647090508
[AFR2020] NGC5907 GC36,228.94023,56.16992,GlC,-764223720808507218,-3540310236399612360
[AFR2020] NGC5907 GC37,228.76503,56.170555,GlC,115244536614942146,-4500410105486589742
[AFR2020] NGC5907 GC38,229.02481,56.174824,GlC,850105287087936487,-2760162366138400856
[GSB2003] 4517-49,188.19,0.109,GlC,7604911008708887352,-3652176704800124490
[UFS2013] acs 2238,185.0490242255,29.25408504799,GlC,640163928774857076,-9216321066058082969
[AFR2020] NGC5907 GC39,228.89047,56.174595,GlC,1229415892918381845,2257844451248490849
[AFR2020] NGC5907 GC40,228.86206,56.176643,GlC,-3505547017430570765,4346350388083611331
[AFR2020] NGC5907 GC41,228.89107,56.18078,GlC,-3395231848818098082,4191300837151574492
[AFR2020] NGC5907 GC42,228.93068,56.184063,GlC,-5197314098398396766,8379537106459046635
[AFR2020] NGC5907 GC43,228.93472,56.185925,GlC,-4778478006178371122,5139117079198819703
[AFR2020] NGC5907 GC44,229.21375,56.18793000000001,GlC,-2880279286074611319,6001020532547805202
[AFR2020] NGC5907 GC45,228.71706,56.187912,GlC,1794471475941692957,2746123587208581135
[AFR2020] NGC5907 GC46,228.95055,56.193672,GlC,-1298362057304105241,-73305539878771760
[AFR2020] NGC5907 GC47,228.85446,56.194103,GlC,-2328679715599263445,-884020303674886036
[AFR2020] NGC5907 GC48,228.70023,56.195698,GlC,-2455702339313535109,-8784569139825859989
[AFR2020] NGC5907 GC49,229.22115,56.197002,GlC,5153361285211677887,6903983767106954636
[AFR2020] NGC5907 GC50,229.04248,56.19773,GlC,-7274690166547922761,-1850000969972082740
[AFR2020] NGC5907 GC51,229.01817,56.199276,GlC,5934784203053158477,-8154921295563289783
[AFR2020] NGC5907 GC52,228.85616,56.199547,GlC,-1746664582880114404,393859196246339463
[AFR2020] NGC5907 GC53,228.70335,56.199036,GlC,-5258829353217869118,7370125203106873675
[AFR2020] NGC5907 GC54,229.20093,56.200657,GlC,-6683143521406756104,8678424516587967612
[AFR2020] NGC5907 GC55,229.19014000000004,56.203224,GlC,6274813113056036611,8682059550867141280
M31GC J004516+414450,11.31583,41.747088,GlC,4340796359347125732,-4193933455962052402
[AFR2020] NGC5907 GC56,228.71936,56.203712,GlC,3857814685033372249,7301858746920354769
[AFR2020] NGC5907 GC57,229.11751,56.20447000000001,GlC,7148933818902002898,-2762022618386282495
[AFR2020] NGC5907 GC58,228.85886,56.20572,GlC,1022754416103469318,-1933782520714237614
[AFR2020] NGC5907 GC59,229.21288,56.20525,GlC,-1295064622279220815,-5971842265261258034
[AFR2020] NGC5907 GC60,229.18152,56.20558,GlC,-7512554851130632480,-7047799036971501633
[AFR2020] NGC5907 GC61,228.83899,56.20773,GlC,-4136599395998075784,-851746025701616271
[AFR2020] NGC5907 GC62,228.71011,56.207905,GlC,-8893126695889307886,-7987778754350127182
[AFR2020] NGC5907 GC63,229.1922,56.208904,GlC,4796107978668052305,-2698655913932467968
[AFR2020] NGC5907 GC64,228.73457,56.208866,GlC,-5947338855274641811,6545471700490007670
[AFR2020] NGC5907 GC65,229.17488,56.21039600000001,GlC,-3509258010875795145,-1935823091089370992
[AFR2020] NGC5907 GC66,229.17184,56.210346,GlC,-1883308250683877985,-3422029041643063334
[AFR2020] NGC5907 GC67,229.10382,56.212963,GlC,3893775170485645103,-6937813810056534854
[AFR2020] NGC5907 GC68,229.22034,56.21531699999999,GlC,-1490643169929079167,766346865619591132
[AFR2020] NGC5907 GC69,229.04439,56.21597,GlC,-5071743038159653288,-788265821892303345
[AFR2020] NGC5907 GC70,228.84415,56.21998,GlC,6195593611113175201,-71569050104092349
[AFR2020] NGC5907 GC71,228.93742,56.222065,GlC,6847096884454869330,-7612369154658172394
[AFR2020] NGC5907 GC72,228.85849,56.222443,GlC,3262073312483235306,-5396709262935432457
[JSR2014] A77,151.338123,-7.7147,GlC,154754309565574995,-940855960790460674
[AFR2020] NGC5907 GC73,228.94354,56.223717,GlC,3428730077752401869,-1328077610228632626
[PFR2013] NGC5846 GC83,226.6142,1.55641,GlC,5805039294449468699,-8010230519780825718
[AFR2020] NGC5907 GC74,229.16165,56.223670000000006,GlC,-1518589414191961043,4941440132343851144
[AFR2020] NGC5907 GC75,229.06561,56.22691699999999,GlC,8070148127388978414,7695309416236713276
[AFR2020] NGC5907 GC76,228.9461,56.22608,GlC,-8762833932525440887,5402064394761904337
[AFR2020] NGC5907 GC77,229.0198,56.227486,GlC,-6262677578366893626,2188880893177675467
[AFR2020] NGC5907 GC78,228.84558,56.228256,GlC,7525332876523132434,-2356526628453808181
[AFR2020] NGC5907 GC79,229.18498,56.23057,GlC,5629999810056565959,-9033411095584617418
[AFR2020] NGC5907 GC80,229.2372,56.23,GlC,-325735601053966309,-3212613805223283701
[AFR2020] NGC5907 GC81,229.14796,56.230846,GlC,-2738531659879875192,-9202868778988268728
[AFR2020] NGC5907 GC82,228.86212,56.23269700000001,GlC,1085083496536129304,-129147749847570623
[AFR2020] NGC5907 GC83,228.703,56.23309,GlC,-1153978434891460822,-8357017354812695928
[AFR2020] NGC5907 GC84,228.65688,56.2335,GlC,-7240549279162358920,-3719404174163086894
[AFR2020] NGC5907 GC85,228.84694,56.234234,GlC,-1548204568319148344,7554815558000900360
[AFR2020] NGC5907 GC86,228.85072,56.235912,GlC,2634435825976081479,5504149532043093644
[AFR2020] NGC5907 GC87,229.09035,56.237213,GlC,-5676074305547817882,2913022190281401824
[AFR2020] NGC5907 GC88,229.20537,56.239857,GlC,1697259622772359587,-6551542627670283494
[AFR2020] NGC5907 GC89,228.79778,56.238976,GlC,3313669216630717016,-4907685035695719308
[AFR2020] NGC5907 GC90,228.85924,56.239520000000006,GlC,-2292595557667260020,-5303743076487180090
[AFR2020] NGC5907 GC91,229.09941,56.241814,GlC,1793620924950855128,-1339226237427014155
[AFR2020] NGC5907 GC92,229.11455,56.243965,GlC,-7061389909883260600,-2298611136479923826
[AFR2020] NGC5907 GC93,229.13736,56.244595,GlC,8599730344002507269,1853958192027542295
[AFR2020] NGC5907 GC94,228.69348,56.24499,GlC,917154547981634143,5580807130686750644
[AFR2020] NGC5907 GC95,228.73088,56.246185,GlC,-3035916913485269669,5679029101054381767
[DRG2004] 78:13,54.742083333333326,-35.43941666666667,GlC,-443138440232906772,-5063861876964049478
[AFR2020] NGC5907 GC96,228.84006,56.246487,GlC,-3624596979981105600,5127534145678445189
[AFR2020] NGC5907 GC97,228.76915,56.24827,GlC,1852986868519418670,1252244461325724290
[AFR2020] NGC5907 GC98,229.29135,56.24905,GlC,7472366398816248827,-6830256802794813878
[AFR2020] NGC5907 GC99,228.6382,56.25028,GlC,7369823319525226404,8283597012621215337
[AFR2020] NGC5907 GC100,228.84203,56.249928,GlC,-5485155105599217863,1524479774653010989
[AFR2020] NGC5907 GC101,228.85042,56.249950000000005,GlC,-5347766383371790607,7519809487188921505
[AFR2020] NGC5907 GC102,228.67162,56.25056,GlC,3874792994608346678,-5838529150790641695
[AFR2020] NGC5907 GC103,229.27292,56.251415,GlC,3475814770495497835,3813949005336038350
[AFR2020] NGC5907 GC104,228.89912,56.253025,GlC,3855957791510847828,-8056846934661105107
[AFR2020] NGC5907 GC105,229.17404,56.256935,GlC,6987063521125832968,8464799888098446513
[AFR2020] NGC5907 GC106,228.83025,56.25694,GlC,3767516471298797054,8106192570662529878
[AFR2020] NGC5907 GC107,229.03252,56.25819400000001,GlC,5254105512626855693,6480204749128568289
[AFR2020] NGC5907 GC108,229.02275,56.26319,GlC,6594583731429573822,-6857518359080058254
[AFR2020] NGC5907 GC109,229.05875,56.264446,GlC,-1637271819676811280,3684907708984530419
[AFR2020] NGC5907 GC110,229.27072000000004,56.26424800000001,GlC,-9133661843302099663,5723221764017247725
[AFR2020] NGC5907 GC111,229.03117,56.267216,GlC,1371418763117939474,-72270840252580153
[AFR2020] NGC5907 GC112,229.03073,56.26801,GlC,4277975969782051320,-1704002169552197813
[AFR2020] NGC5907 GC113,229.05388,56.268948,GlC,3222666654028412217,5575757149291813473
[AFR2020] NGC5907 GC114,229.04993,56.26943,GlC,-9085422939454977659,4134755827545111460
[AFR2020] NGC5907 GC115,229.03633,56.269398,GlC,-3590922892712520931,-2438806867843831643
[AFR2020] NGC5907 GC116,228.80182,56.26977,GlC,-3745285908053612160,6096140048595597330
[AFR2020] NGC5907 GC117,229.20241,56.27208,GlC,8508567771703184121,-6132487817395059276
[AFR2020] NGC5907 GC118,229.30965000000003,56.272186,GlC,831361808408273585,3128955382503836336
[AFR2020] NGC5907 GC119,229.29129,56.27221,GlC,8342293515601211899,-6265917620943251042
[AFR2020] NGC5907 GC120,229.05481,56.273907,GlC,8828546198484848045,5010194772941245146
[AFR2020] NGC5907 GC121,228.8578,56.274666,GlC,-5261745797665595187,-8789990224948086847
[AFR2020] NGC5907 GC122,229.27391,56.27586399999999,GlC,-5517066202208462805,-1462629671710708579
[AFR2020] NGC5907 GC123,229.3308,56.277374,GlC,4548925158930415387,8489465471464494618
[AFR2020] NGC5907 GC124,229.14624,56.283337,GlC,4131610566461753116,1030295274925706230
[AFR2020] NGC5907 GC125,228.77257,56.283978,GlC,-706466828703371860,-3724231515438722372
[AFR2020] NGC5907 GC126,229.06325,56.284317,GlC,6186633442088029442,8687535809622103340
[AFR2020] NGC5907 GC127,229.1233,56.284477,GlC,-646609469048008393,-513757140058602929
[AFR2020] NGC5907 GC128,229.30646,56.284744,GlC,-3674311860503000939,-9005228651943554561
[AFR2020] NGC5907 GC129,229.00676,56.277454,GlC,-5269465173915591815,8715935728024161757
[AFR2020] NGC5907 GC130,229.00424,56.28761999999999,GlC,3888354684538188545,-4538195947412206469
[AFR2020] NGC5907 GC131,228.94215,56.288334,GlC,-8356038795056392455,5418991831031143515
[AFR2020] NGC5907 GC132,228.65363,56.288593,GlC,-1090851544628366933,2756831349739968113
[AFR2020] NGC5907 GC133,228.73526,56.28946,GlC,-5145638763695321497,-3405514890091598215
[AFR2020] NGC5907 GC134,229.09277,56.289448,GlC,-6543146776439354053,-8641101929916402358
[AFR2020] NGC5907 GC135,228.94965,56.290382,GlC,2458859011384121698,-3221002987486201742
[AFR2020] NGC5907 GC136,229.14424,56.29131000000001,GlC,-7488980723711487425,6695879725142051205
[AFR2020] NGC5907 GC137,228.98737,56.29162,GlC,-3660457274030075473,202324077830342110
[AFR2020] NGC5907 GC138,228.71487,56.29178,GlC,8593625671578424373,-5109413824317511301
