main_id,ra,dec,otype
PHOC 15,112.08045000000001,-19.982670000000002,OpC
[HXH2021] 66,273.1124394446306,-15.381727368594587,OpC
[BDS2003] 156,292.9291666666667,18.698333333333334,OpC
IC 1893,47.56875,19.616666666666664,OpC
Cl Ruprecht   32  A,,,OpC
KMHK 1254,85.559,-68.18055833333334,OpC
CWNU 1146,252.93725833333332,-38.10092222222222,OpC
KMHK  885,81.50537500000002,-67.25654722222222,OpC
[RGM2023] SigMA 10,249.708,-39.823800000000006,OpC
Cl Loden  894,204.82511389408876,-64.30374753437324,OpC
[KPR2005]  49,131.975,-37.983333333333334,OpC
[KPS2012] MWSC 0036,5.745,51.883,OpC
[KPS2012] MWSC 1139,107.79,-7.117,OpC
NGC  3909,177.45416,-48.25167,OpC
NGC  6682,279.9124999999999,-4.799999999999999,OpC
[RGM2023] SigMA 26,257.8655,-27.4234,OpC
[RGM2023] SigMA 28,259.5818,-25.338,OpC
DSH J1054.2-6144,163.55666666666667,-61.73777777777778,OpC
IC 1660,18.155708333333337,-71.76161111111111,OpC
UPK 369,83.565,30.475,OpC
Cl Alicante    1,59.785,57.24,OpC
C 1652-407,253.87498,-40.83333,OpC
[RGM2023] SigMA 18,217.05619999999996,-45.9197,OpC
[RGM2023] SigMA 19,212.24749999999997,-51.197199999999995,OpC
[RGM2023] SigMA 17,227.66649999999998,-44.6764,OpC
[RZ2005]  24,10.139124999999998,-72.74005555555556,OpC
KMHK 1443,87.580125,-70.617125,OpC
[RGM2023] SigMA  3,240.43,-22.740599999999997,OpC
[RGM2023] SigMA 29,285.211,-36.9364,OpC
NAME Cep III,344.5,62.766666666666666,OpC
[HXH2021] 14,215.3079345802007,-58.16949904219625,OpC
[HXH2021] 46,298.3310863475703,32.63690988946978,OpC
[HXH2021] 50,96.07291323676945,7.500069407053145,OpC
[HXH2021] 52,106.7533563574931,-6.26308365423297,OpC
[HXH2021] 53,81.95407554575382,32.682868945236905,OpC
[HXH2021] 59,114.94687897637583,-18.922146766705833,OpC
[HXH2021] 60,106.82820523315316,4.269848978507063,OpC
[HXH2021] 65,122.37650654371139,-27.158730290755773,OpC
[HXH2021] 67,234.9963551454082,-58.49066672098299,OpC
[HXH2021] 71,120.94352715527563,-39.72931268986288,OpC
[HXH2021] 73,62.69183560756492,57.15269646873778,OpC
[HXH2021] 74,103.86355482643411,-3.787080023435024,OpC
Cl Collinder  232,161.16251,-59.56,OpC
KMHK 1097,83.63120833333332,-68.69735,OpC
KMHK 1503,88.42954166666667,-69.3438861111111,OpC
[HXH2021] 2,107.65912256391623,-0.45812480265234234,OpC
[HR2023] HSC 2303,169.13833333333335,-35.59777777777778,OpC
OCSN 92,231.72,-35.96,OpC
[HR2023] HSC  749,358.46999999999997,3.4555555555555557,OpC
[HR2023] HSC 2919,246.60166666666663,-24.084722222222222,OpC
[HR2023] HSC 2986,285.31708333333324,-36.88305555555556,OpC
[FSR2007] 0115,286.88375,6.2725,OpC
[FSR2007] 0169,298.055,29.399722222222223,OpC
[FSR2007] 0171,300.36875,28.647222222222222,OpC
[FSR2007] 0177,299.54208333333327,30.897777777777776,OpC
[FSR2007] 0186,290.215,37.78583333333333,OpC
[FSR2007] 0200,303.04374999999993,35.684999999999995,OpC
[HXH2021] 9,117.09188801339108,-25.351772964469525,OpC
[FSR2007] 0374,325.7291666666667,66.12333333333332,OpC
[FSR2007] 0387,341.9241666666667,58.13055555555555,OpC
[FSR2007] 0408,344.13,62.708333333333336,OpC
[FSR2007] 0411,347.09041666666667,60.511944444444445,OpC
[FSR2007] 0420,348.9954166666667,60.02583333333333,OpC
[FSR2007] 0445,354.9316666666666,61.94916666666666,OpC
[FSR2007] 0554,25.799166666666668,64.04944444444445,OpC
[FSR2007] 0603,38.38375,57.561388888888885,OpC
[BDS2003]  65,62.79166666666668,51.166666666666664,OpC
NAME NGC 1579 IR Cluster,67.54583333333332,35.28,OpC
[FSR2007] 0747,73.94958333333335,36.782222222222224,OpC
[FSR2007] 0845,88.05041666666666,27.014444444444443,OpC
[FSR2007] 0882,81.975,16.90888888888889,OpC
[FSR2007] 0903,91.89166666666665,19.11277777777778,OpC
[FSR2007] 1035,100.64583333333333,4.680833333333334,OpC
[FSR2007] 1069,101.275,0.22861111111111113,OpC
[BDB2003] G213.34-12.60,91.78375,-6.064722222222222,OpC
[KPS2012] MWSC 1085,105.99,-0.085,OpC
[FSR2007] 1089,106.03541666666666,1.0386111111111112,OpC
[FSR2007] 1186,106.04708333333332,-11.401111111111112,OpC
[FSR2007] 1189,108.63291666666666,-10.242777777777777,OpC
[FSR2007] 1318,118.43541666666665,-26.97222222222222,OpC
[FSR2007] 1349,120.67666666666668,-32.04194444444444,OpC
[KPS2012] MWSC 2628,263.37458333333336,-29.322777777777773,OpC
[FSR2007] 1515,149.44458333333333,-54.61027777777778,OpC
[FSR2007] 1549,160.01916666666665,-59.18861111111111,OpC
[FSR2007] 1551,161.19041666666664,-59.33416666666667,OpC
[FSR2007] 1553,161.17374999999998,-59.74166666666667,OpC
[FSR2007] 1614,186.12041666666664,-61.85055555555556,OpC
[FSR2007] 1632,193.50458333333333,-67.165,OpC
[FSR2007] 1633,193.43375,-60.39944444444444,OpC
[FSR2007] 1738,261.19124999999997,-49.89833333333333,OpC
[HXH2021] 15,125.6436353642289,-41.37474669800333,OpC
[HXH2021] 24,116.2996804723126,-20.060820548626,OpC
[HXH2021] 25,213.89488139133476,-63.73956038056888,OpC
[HXH2021] 28,330.4828206244124,56.0315523143894,OpC
[HXH2021] 31,314.98169970061684,45.33900050165032,OpC
[HXH2021] 47,239.03937646294042,-55.23627884801199,OpC
[HXH2021] 61,102.71755071877428,-9.968292207597747,OpC
NAME X Pup Cluster,113.35320000000002,-20.4798,OpC
[MCM2005b] 52,216.26249999999996,-60.46000000000001,OpC
[MCM2005b] 54,221.29166666666666,-59.84,OpC
[MCM2005b] 55,221.39166666666665,-59.779999999999994,OpC
[MCM2005b] 64,238.90416666666667,-54.643333333333324,OpC
[MCM2005b] 16,286.08333333333337,5.108333333333333,OpC
[FSR2007] 1421,134.523,-42.6,OpC
[HXH2021] 45,350.3665623587403,58.38118851484834,OpC
[HXH2021] 54,106.86913487251873,-7.658645123997911,OpC
[LP2019] 2293,278.5023708333333,-13.13988611111111,OpC
CWNU 1007,79.35530833333334,18.50409722222222,OpC
UBC 663,182.77299999999997,-63.626,OpC
UPK 198,341.47337500000003,64.07345555555554,OpC
OCSN 300,355.94,71.7,OpC
CWNU 1001,43.19196666666667,56.75257777777777,OpC
CWNU 1002,330.44061666666664,62.447513888888885,OpC
CWNU 1004,239.69849583333325,-42.031619444444445,OpC
CWNU 1005,307.79004999999995,38.55283055555555,OpC
CWNU 1006,5.3524375,68.60458055555556,OpC
CWNU 1008,170.16,-60.67,OpC
CWNU 1010,69.727325,-8.07446111111111,OpC
CWNU 1011,308.07315833333337,40.29904444444445,OpC
CWNU 1017,344.2127666666667,41.61009444444445,OpC
CWNU 1018,69.12855,-8.63151388888889,OpC
CWNU 1019,126.13335416666666,-47.794730555555546,OpC
CWNU 1119,356.5300208333333,6.082052777777777,OpC
CWNU 1120,306.4628625,38.35446666666667,OpC
CWNU 1126,332.2541291666666,64.07274444444444,OpC
CWNU 1140,64.1919875,51.142900000000004,OpC
CWNU 1147,81.31684166666666,31.244633333333336,OpC
CWNU 1148,315.04404166666666,39.000033333333334,OpC
CWNU 1149,256.8756083333333,20.281280555555558,OpC
CWNU 1153,273.3971208333333,-54.322969444444446,OpC
CWNU 1157,106.50091250000001,-16.057858333333332,OpC
CWNU 1158,83.845975,44.16296944444444,OpC
CWNU 1159,130.924675,-46.99920277777778,OpC
CWNU 1163,126.2898208333333,-42.831477777777785,OpC
CWNU 1164,339.23502499999995,-0.5081166666666667,OpC
CWNU 1180,272.57286250000004,-74.81656388888888,OpC
CWNU 1181,102.26,-15.03,OpC
CWNU 1183,295.6691666666667,38.27611111111111,OpC
CWNU 1184,91.72322916666666,10.988502777777779,OpC
CWNU 1185,283.36931250000004,-20.14384722222222,OpC
CWNU 1186,298.3808666666667,7.776047222222223,OpC
CWNU 1188,269.77216666666664,2.8994166666666663,OpC
CWNU 1189,329.48254583333335,62.528019444444446,OpC
CWNU 1190,69.25740833333334,45.34153333333334,OpC
CWNU 1191,72.39,52.35,OpC
CWNU 1192,318.7219541666667,59.33320277777778,OpC
CWNU 1193,299.99992916666673,69.81487777777777,OpC
CWNU 1194,130.30086666666668,-41.21706388888889,OpC
CWNU 1195,67.01322916666668,-49.84838888888889,OpC
CWNU 1196,169.02,-70.85,OpC
CWNU 1198,183.88999999999996,-70.62,OpC
CWNU 1199,312.4138041666667,44.845002777777786,OpC
CWNU 1200,327.6544374999999,41.100311111111104,OpC
CWNU 1201,287.7586125,44.238194444444446,OpC
CWNU 1202,50.690729166666664,38.70368611111112,OpC
CWNU 1204,107.42296250000001,-25.258577777777777,OpC
CWNU 1207,316.8699166666667,52.15460555555555,OpC
CWNU 1210,153.42332083333332,-46.87218333333333,OpC
CWNU 1211,285.0673541666667,69.571225,OpC
CWNU 1213,261.2301291666667,-49.89646388888889,OpC
CWNU 1240,338.68870416666664,69.18102777777779,OpC
CWNU 1242,65.71641249999999,15.21612777777778,OpC
CWNU 1243,307.88860416666665,39.02310277777778,OpC
CWNU 1244,326.47395416666666,57.553850000000004,OpC
CWNU 1245,282.2523583333333,-2.420172222222222,OpC
CWNU 1246,31.552295833333336,56.735350000000004,OpC
CWNU 1247,61.62181666666667,39.856886111111116,OpC
CWNU 1248,80.8506375,37.38997777777777,OpC
CWNU 1249,318.3540125,46.41996388888889,OpC
CWNU 1250,307.4680041666666,-30.824186111111118,OpC
CWNU 1251,80.00635416666667,-6.970472222222221,OpC
CWNU 1252,41.177958333333336,60.51303055555555,OpC
CWNU 1253,14.554654166666667,20.385388888888887,OpC
CWNU 1265,112.259175,-48.75547777777778,OpC
CWNU 1267,239.64838749999998,-25.832211111111114,OpC
CWNU 1268,250.69684583333327,-49.05264444444444,OpC
CWNU 1269,301.73525,10.43008611111111,OpC
KMHK 1096,83.49833333333333,-71.75666666666666,OpC
KMHK 1488,88.22600000000001,-69.7857361111111,OpC
[FSC2019] UFMG 61,185.49408333333332,-63.609249999999996,OpC
C 1814-191,273.575,-19.1,OpC
KMHK  728,79.57929166666666,-65.69204722222223,OpC
[FSR2007] 0195,304.229,33.637,OpC
Cl* Trumpler   14     HG   10041,161.074625,-59.42241666666667,OpC
[KPS2012] MWSC 1771,152.002,-59.195,OpC
[HS66] 283,81.37916666666666,-69.36666666666666,OpC
[GKK2003] O137,85.7,-70.06666666666666,OpC
[FSC2019] UFMG 11,243.495,-52.96336111111112,OpC
KMHK  780,80.04404166666667,-66.4551,OpC
[FSC2019] UFMG 4,272.99300000000005,-22.981,OpC
[FSC2019] UFMG 27,287.0999166666667,10.177444444444445,OpC
[FSC2019] UFMG 35,231.15145833333335,-53.9731111111111,OpC
[FSC2019] UFMG 54,210.6942916666667,-61.95369444444445,OpC
C 1026-579,157.1,-58.13333333333333,OpC
NAME Carraro 1,159.233,-58.75,OpC
