obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row
28231,archived,Sgr A*,266.41683,-29.00783,60408.3082407407,ACIS-S,NONE,22890.0,GO,Haggard,60591,6530
28232,archived,Sgr A*,266.41683,-29.00783,60409.3109490741,ACIS-S,NONE,25090.0,GO,Haggard,60593,6531
29496,archived,Sgr A*,266.41683,-29.00783,60559.830787037,ACIS-S,NONE,27290.0,GO,Haggard,60743,6532
31019,observed,Sgr A*,266.41683,-29.00783,60892.2543865741,ACIS-S,NONE,25090.0,GO,Hora,61077,6533
31020,observed,Sgr A*,266.41683,-29.00783,60894.8825462963,ACIS-S,NONE,25090.0,GO,Hora,61079,6534
31021,observed,Sgr A*,266.41683,-29.00783,60896.7755902778,ACIS-S,NONE,26930.0,GO,Hora,61081,6535
31022,observed,Sgr A*,266.41683,-29.00783,60898.8443287037,ACIS-S,NONE,26890.0,GO,Hora,61083,6536
9169,archived,Sgr A*,266.41667,-29.00781,54591.1612384259,ACIS-I,NONE,27960.0,GO,Zadeh,54957,6537
9170,archived,Sgr A*,266.41667,-29.00781,54592.1245949074,ACIS-I,NONE,27150.0,GO,Zadeh,54958,6538
9171,archived,Sgr A*,266.41667,-29.00781,54596.1367824074,ACIS-I,NONE,28040.0,GO,Zadeh,54962,6539
9172,archived,Sgr A*,266.41667,-29.00781,54597.1497800926,ACIS-I,NONE,27790.0,GO,Zadeh,54964,6540
9173,archived,Sgr A*,266.41667,-29.00781,54673.8887152778,ACIS-I,NONE,28130.0,GO,Zadeh,55040,6541
9174,archived,Sgr A*,266.41667,-29.00781,54672.9095486111,ACIS-I,NONE,29180.0,GO,Zadeh,55039,6542
13838,archived,Sgr A*,266.41667,-29.00781,56140.7287615741,ACIS-S,HETG,99560.0,GO,Baganoff,56142,6543
13839,archived,Sgr A*,266.41667,-29.00781,56132.2937384259,ACIS-S,HETG,176250.0,GO,Baganoff,56135,6544
13840,archived,Sgr A*,266.41667,-29.00781,56134.8346296296,ACIS-S,HETG,162520.0,GO,Baganoff,56138,6545
13841,archived,Sgr A*,266.41667,-29.00781,56125.8796180556,ACIS-S,HETG,45070.0,GO,Baganoff,56127,6546
13842,archived,Sgr A*,266.41667,-29.00781,56129.4949189815,ACIS-S,HETG,191760.0,GO,Baganoff,56133,6547
13843,archived,Sgr A*,266.41667,-29.00781,56222.6672222222,ACIS-S,HETG,120680.0,GO,Baganoff,56231,6548
