obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row,frame_hash
20347,archived,Sgr A*,266.41667,-29.00783,58233.150162037,ACIS-S,NONE,36070.0,GO,Neilsen,58598,6494,5791789566399360777
20446,archived,SgrA*,266.41667,-29.00783,58685.000162037,ACIS-S,NONE,57670.0,GO,Fazio,59052,6495,8337687531494480871
20447,archived,SgrA*,266.41667,-29.00783,58690.0643518519,ACIS-S,NONE,57670.0,GO,Fazio,59056,6496,-4740981962730308303
22230,archived,SgrA*,266.41667,-29.00783,58681.9523842593,ACIS-S,NONE,57670.0,GO,Fazio,59052,6497,6952253886295929253
20750,archived,SgrA*,266.41667,-29.00783,58708.9702199074,ACIS-S,NONE,26770.0,GTO,Garmire,59077,6498,8819732545229161489
20751,archived,SgrA*,266.41667,-29.00783,58714.9485532407,ACIS-S,NONE,26770.0,GTO,Garmire,59081,6499,1427288361973125729
22288,archived,SgrA*,266.41667,-29.00783,58710.9746759259,ACIS-S,NONE,26670.0,GTO,Garmire,59077,6500,-5539131177187108747
21453,archived,Sgr A*,266.41667,-29.00783,58571.1684027778,ACIS-S,NONE,33070.0,GO,Haggard,58940,6501,-6680740101225429462
21454,archived,Sgr A*,266.41667,-29.00783,58572.2316435185,ACIS-S,NONE,33590.0,GO,Haggard,58940,6502,-101991860995688891
21455,archived,Sgr A*,266.41667,-29.00783,58573.2215509259,ACIS-S,NONE,33070.0,GO,Haggard,58940,6503,4582412123894040392
21456,archived,Sgr A*,266.41667,-29.00783,58574.1818981481,ACIS-S,NONE,33070.0,GO,Haggard,58941,6504,-5906697879243104606
28229,archived,Sgr A*,266.41683,-29.00783,60404.3036921296,ACIS-S,NONE,25090.0,GO,CXC,60531,6505,6158696625567142296
22592,archived,Sgr A*,266.41683,-29.00783,59357.0738425926,ACIS-S,NONE,21520.0,GO,Ponti,59723,6506,3648549056400834665
22593,archived,Sgr A*,266.41683,-29.00783,59359.1352546296,ACIS-S,NONE,22700.0,GO,Ponti,59724,6507,-7562629364816812077
22594,archived,Sgr A*,266.41683,-29.00783,59384.9847569444,ACIS-S,NONE,20070.0,GO,Ponti,59751,6508,2829247241159484469
22595,archived,Sgr A*,266.41683,-29.00783,59385.9876388889,ACIS-S,NONE,20100.0,GO,Ponti,59751,6509,-8422163669645353104
22604,archived,Sgr A*,266.41683,-29.00783,58934.1955787037,ACIS-S,NONE,33070.0,GO,Haggard,59300,6510,-1340337728434005936
22707,archived,Sgr A*,266.41683,-29.00783,59032.4818865741,ACIS-I,NONE,26030.0,GTO,Garmire,59451,6511,8226699561161037897
22937,archived,Sgr A*,266.41683,-29.00783,59081.9758796296,ACIS-I,NONE,49070.0,GTO,Garmire,59451,6512,-6975129544866074795
23295,archived,Sgr A*,266.41683,-29.00783,59033.7411342593,ACIS-I,NONE,23680.0,GTO,Garmire,59451,6513,-4751111078610211013
23665,archived,Sgr A*,266.41683,-29.00783,59314.2730092593,ACIS-S,NONE,25070.0,GO,Haggard,59680,6514,2087788414503831260
23666,archived,Sgr A*,266.41683,-29.00783,59315.2637152778,ACIS-S,NONE,25070.0,GO,Haggard,59680,6515,-6531085537140527939
23667,archived,Sgr A*,266.41683,-29.00783,59318.1168171296,ACIS-S,NONE,25950.0,GO,Haggard,59684,6516,6707735538314793632
23668,archived,Sgr A*,266.41683,-29.00783,59320.3507523148,ACIS-S,NONE,25070.0,GO,Haggard,59687,6517,6903374975836904508
23737,archived,Sgr A*,266.41683,-29.00783,59391.0666319444,ACIS-S,NONE,22700.0,GO,Ponti,59757,6518,408019795050038981
23738,archived,Sgr A*,266.41683,-29.00783,59422.9906018519,ACIS-S,NONE,21700.0,GO,Ponti,59788,6519,870370846639159918
23739,archived,Sgr A*,266.41683,-29.00783,59424.9844444444,ACIS-S,NONE,21700.0,GO,Ponti,59790,6520,-2355574353460974990
25297,archived,Sgr A*,266.41683,-29.00783,59658.2110069444,ACIS-S,NONE,25910.0,GO,Neilsen,60024,6521,5326204220156940026
25298,archived,Sgr A*,266.41683,-29.00783,59660.2633680556,ACIS-S,NONE,25090.0,GO,Neilsen,60027,6522,4531193185161796509
25299,archived,Sgr A*,266.41683,-29.00783,59661.3095949074,ACIS-S,NONE,23090.0,GO,Neilsen,60027,6523,-2106970681709991708
25300,archived,Sgr A*,266.41683,-29.00783,59663.3065509259,ACIS-S,NONE,25090.0,GO,Neilsen,60030,6524,5420706881762344594
26757,archived,Sgr A*,266.41683,-29.00783,60047.2546875,ACIS-S,NONE,24590.0,GO,Neilsen,60230,6525,135218119663081058
26758,archived,Sgr A*,266.41683,-29.00783,60050.2363078704,ACIS-S,NONE,25090.0,GO,Neilsen,60234,6526,4067156425758601538
26759,archived,Sgr A*,266.41683,-29.00783,60052.2571643519,ACIS-S,NONE,25390.0,GO,Neilsen,60235,6527,5644235097869483746
26760,archived,Sgr A*,266.41683,-29.00783,60054.1922685185,ACIS-S,NONE,25490.0,GO,Neilsen,60237,6528,6128869923697268486
