RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,FG,e_FG,Gmag,FBP,e_FBP,BPmag,FRP,e_FRP,RPmag,BP-RP,RV,e_RV,Vbroad,GRVSmag,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,And,Teff,logg,[Fe/H],Dist,A0,HIP,PS1,SDSS13,SKYM2,TYC2,URAT1,AllWISE,APASS9,GSC23,RAVE5,2MASS,RAVE6,RAJ2000,DEJ2000
49.77365695994,5.36421115411,3284314247250304,0.1467,0.1449,1.979,0.1723,5.069,4.554,0.203,-2.227,0.18,0.939,706.21928,1.4382,18.565018,115.39,10.167,20.183079,1014.1,22.023,17.232742,2.950337,,,,,0,0,0,0,0,0,0,0,1,0,0,3220.1,4.8568,0.1908,364.5846,0.4381,,114430497736517568,1237667228767027456,,,,,,N9X0000996,,,,49.77363663306,5.36422104985
49.77375162371,5.36491417491,3284309952075520,0.1576,0.1512,1.8718,0.1829,5.042,4.871,0.222,-1.303,0.195,0.943,664.02231,1.6269,18.63191,131.15,11.737,20.044104,930.27,18.566,17.326372,2.717732,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114430497737208352,1237667228767027456,,,URAT1-477012220,,,N9X0000996,,,,49.77372988059,5.36491996769
49.79101384197,5.36154217454,3284344312577280,0.2267,0.217,1.895,0.2714,16.612,-12.663,0.304,-10.752,0.27,1.053,446.76723,1.2499,19.062164,84.171,11.515,20.525639,545.15,13.161,17.906603,2.619036,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114430497909994320,1237667228767027456,,,,,,N9X0000988,,03190985+0521418,,49.7910703686,5.36158996166
49.80582801063,5.3852320814,3284486045941504,0.1015,0.0921,0.1736,0.1137,2.126,2.083,0.132,0.427,0.115,1.071,1249.61031,1.7094,17.94543,611.93,12.325,18.371788,905.6,13.492,17.35556,1.016228,,,,,0,0,0,0,0,0,0,0,1,1,0,5104.5,4.7879,-1.7797,1717.9655,0.0221,,114460498058092704,1237667228767027456,,,URAT1-477012225,J031913.41+052307.0,,N9X0001030,,03191342+0523072,,49.80581871364,5.38523018424
49.78915027495,5.38340137779,3284653549506688,0.442,0.4315,0.947,0.4839,10.279,7.672,0.597,6.841,0.559,0.991,186.27979,0.94534,20.011953,46.166,8.0696,21.177732,214.19,9.7692,18.92089,2.256842,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114460497891430592,1237667228767027712,,,,,,N9X0003658,,03190939+0523002,,49.78911602664,5.38337097255
49.80071461292,5.3938163875,3284687909246720,0.7312,0.732,0.2152,0.8806,36.774,33.918,1.027,-14.208,0.945,0.981,115.93159,1.0336,20.526863,29.432,7.6102,21.666492,150.92,12.025,19.301058,2.365435,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114470498006403056,1237667228767027712,,,,,,N9X0003683,,,,49.80056319427,5.39387953581
49.8010927371,5.39609010698,3284687909247360,0.4078,0.3822,0.5779,0.4717,10.705,-5.023,0.525,-9.453,0.46,1.168,227.48628,1.3524,19.79498,49.289,6.1741,21.106663,290.16,8.9709,18.591291,2.515371,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114470498010505776,1237667228767027456,,,,J031912.26+052345.8,,N9X0003690,,03191226+0523460,,49.80111515888,5.39613212195
49.80710646655,5.39407890028,3284692203956736,0.295,0.2612,0.5339,0.3251,6.915,-3.336,0.373,-6.057,0.31,0.973,269.00821,1.0904,19.612953,79.973,7.5929,20.58119,262.24,17.662,18.70114,1.880051,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114470498070483440,1237667228767027456,,,,J031913.72+052338.6,,N9X0001048,,,,49.80712136042,5.39410582194
49.79063926376,5.41633330009,3284760923847936,0.0115,0.0104,6.5823,0.0129,52.469,49.985,0.015,-15.953,0.013,0.907,1009570.49006,142.91,10.677025,520650.0,240.12,11.047186,697190.0,265.58,10.139525,0.90766,-11.27,0.3,,9.922667,0,0,0,1,1,0,0,0,1,1,0,5713.1,4.3796,0.0747,151.0634,0.2098,,,1237667228767027200,,62-1015-1,URAT1-478012494,,15073,N9X0000154,,03190970+0524591,,49.79041611049,5.41640420413
49.816238739,5.40453715996,3285065866324736,0.2016,0.1861,1.9322,0.2215,8.686,8.683,0.252,0.245,0.221,1.103,503.01645,1.3118,18.93341,101.6,7.1793,20.321327,597.55,10.95,17.806961,2.514366,,,,,0,0,0,0,0,0,0,0,1,0,0,3314.3,4.7129,-0.8127,359.0487,0.597,,114480498162035872,1237667228767027456,,,,J031915.89+052416.4,,N9X0001064,,03191589+0524165,,49.81619997676,5.40453607001
49.82115578873,5.40818291803,3285065866325376,0.2676,0.2341,0.5108,0.2962,5.06,4.602,0.339,-2.102,0.274,1.076,316.92294,1.0986,19.434982,107.6,11.07,20.258976,274.24,8.2544,18.652575,1.606401,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114490498210610336,1237667228767027456,,,,J031917.07+052429.3,,N9X0001071,,,,49.82113524331,5.40819226135
49.82909747501,5.41400704542,3285104521231360,0.0402,0.0352,0.778,0.0456,7.636,7.443,0.052,1.704,0.043,1.009,6043.37503,3.1305,16.234167,2571.5,12.268,16.813072,4967.0,10.449,15.507667,1.305406,,,,,0,0,0,1,0,0,0,0,1,1,0,4636.4,4.3289,-0.9513,1072.2625,0.3058,,114490498290677232,1237667228767027200,,,URAT1-478012504,J031918.98+052450.4,15074,N9X0001082,,03191898+0524503,,49.82906424569,5.41399947371
