PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,framework_id
3095389,00 00 38.2,-00 18 08,G,0,0.0,0.0,0.0,0,1603121971842423005
53,00 00 38.2,+20 03 32,G,Sd,0.83,0.12,126.0,UGC12895              KUG2358+197,8605835944181335121
2036446,00 00 38.3,+33 39 18,G,0,0.57,0.11,107.0,0,-4509028303878890991
282719,00 00 38.4,-68 53 37,G,0,0.41,0.04,0.0,0,2433366084339143024
863950,00 00 38.4,-18 46 11,G,0,0.54,0.31,138.0,0,-7884936633555477497
143143,00 00 38.5,-33 10 50,G,0,0.68,0.19,66.0,0,-5093331308299846691
228325,00 00 38.5,-80 11 07,G,0,0.5,0.2,164.0,0,-5812815704498751188
351111,00 00 38.6,-61 55 16,G,0,0.34,0.03,0.0,0,6590554335865816534
512418,00 00 38.7,-46 39 04,G,0,0.69,0.04,0.0,0,-812551645529147683
1757886,00 00 38.7,+25 58 54,G,0,0.41,0.22,7.0,0,6647105634110110535
616816,00 00 38.7,-37 50 31,G,0,0.34,0.11,150.0,0,-574457437827185246
408948,00 00 38.9,-55 29 01,G,0,0.57,0.37,136.0,0,-6671990126795882592
3098477,00 00 39.1,+02 55 03,G,0,0.48,0.0,0.0,0,-6184128814741233047
1154129,00 00 39.4,-00 00 49,G,0,0.63,0.47,159.0,0,4442349235220597942
1210219,00 00 39.4,+01 55 08,G,0,0.5,0.31,175.0,0,-3506952551553414026
143144,00 00 39.4,-30 59 13,G,0,0.0,0.0,0.0,DUKST409-33,-1790264201005650161
595603,00 00 39.4,-39 39 30,G,0,0.51,0.43,81.0,0,-3535513594588444444
819183,00 00 39.5,-22 06 11,G,0,0.46,0.07,60.0,0,2747589442625844637
1310857,00 00 39.5,+06 57 23,G,0,0.55,0.11,107.0,0,-3835204496801505386
1016190,00 00 39.5,-07 36 09,G,0,0.33,0.05,109.0,0,689637962318692225
931916,00 00 39.5,-13 53 00,G,0,0.61,0.58,137.0,0,1243905142912219404
580835,00 00 39.7,-40 56 10,G,0,0.35,0.12,71.0,0,-8507375455897461186
877643,00 00 39.7,-17 46 44,G,0,0.66,0.46,170.0,0,3652507708404608799
475921,00 00 39.8,-49 31 43,G,0,0.63,0.67,51.0,0,6272460914247941338
969263,00 00 39.9,-11 09 28,G,0,0.54,0.19,104.0,NPM1G-11.0581,-1993411171797362069
1124629,00 00 40.0,-01 11 29,G,0,0.38,0.18,63.0,0,-1682124084125775552
1888270,00 00 40.0,+30 03 05,G,0,0.54,0.07,21.0,0,623610774946862819
619134,00 00 40.0,-37 41 38,G,0,0.35,0.06,122.0,0,2985502830891759900
759773,00 00 40.0,-27 06 12,G,0,0.77,0.61,65.0,0,7932789588164344084
502879,00 00 40.0,-47 20 37,G,0,0.52,0.23,112.0,0,1797833591646723093
1497114,00 00 40.0,+15 56 53,G,0,0.5,0.1,34.0,0,-4724957260383697272
361536,00 00 40.1,-60 39 40,G,0,0.52,0.4,137.0,0,3089198044217855227
1831512,00 00 40.1,+28 17 13,G,0,0.6,0.3,150.0,0,4871612484554501483
418839,00 00 40.2,-54 29 50,G,0,0.36,0.18,22.0,0,1004790059840762168
840228,00 00 40.2,-20 32 38,G,0,0.54,0.29,68.0,0,-8343200333537923191
1646644,00 00 40.3,+21 16 33,G,0,0.51,0.1,55.0,0,4233341572018269332
848590,00 00 40.3,-19 55 44,G,0,0.52,0.23,50.0,0,7962797854674694258
987992,00 00 40.4,-09 40 22,G,0,0.47,0.11,150.0,0,-1371176208279125592
3080167,00 00 40.6,-16 34 08,G,0,0.81,0.37,159.0,0,8050928340304584733
56,00 00 40.7,-05 47 19,GM,0,0.5,0.23,140.0,(VIIIZw495)           NPM1G-06.0626,3538378788273487165
1026870,00 00 40.9,-06 55 32,G,0,0.33,0.05,111.0,0,-7226669818168008737
1222938,00 00 40.9,+02 18 52,G,0,0.54,0.17,130.0,0,-4236471493844948291
1791383,00 00 40.9,+26 53 16,G,0,0.5,0.42,139.0,IRASF23580+2636,5572426480246488930
143145,00 00 40.9,-66 38 01,G,0,0.59,0.37,89.0,0,6289474416147453773
748582,00 00 41.0,-27 52 51,G,0,0.37,0.07,54.0,0,3088363902645059908
647198,00 00 41.0,-35 34 39,G,0,0.53,0.48,124.0,0,1744699902437581021
2272362,00 00 41.2,+45 54 48,G,0,0.57,0.4,34.0,0,-5858948550617698717
754966,00 00 41.2,-27 26 06,G,0,0.76,0.55,5.0,0,4750434363039639175
619178,00 00 41.3,-37 41 29,G,0,0.41,0.2,47.0,0,-7144586498065788104
1229435,00 00 41.5,+02 31 03,G,0,0.65,0.44,56.0,0,647185189621930315
1814250,00 00 41.6,+27 39 04,G,0,0.48,0.14,36.0,0,5780281044162795538
909348,00 00 41.6,-15 34 31,G,0,0.45,0.18,18.0,0,-6126742463357994166
107663,00 00 41.6,-38 41 52,G,0,0.47,0.33,12.0,LCRSB235807.7-385834,-6137104936946315470
755853,00 00 41.6,-27 22 40,G,0,0.47,0.11,164.0,0,-6402766449605619011
894281,00 00 41.8,-16 44 10,G,0,0.35,0.12,18.0,0,2108906699031624587
752477,00 00 41.8,-27 36 27,G,0,0.4,0.08,101.0,0,3416709821998401974
732692,00 00 41.8,-29 09 10,G,0,0.77,0.27,13.0,0,5130403331868050308
864115,00 00 41.8,-18 45 23,G,0,0.69,0.02,0.0,0,-162863001967014993
359383,00 00 41.9,-60 55 25,G,0,0.42,0.05,0.0,0,354518444513345576
354047,00 00 41.9,-61 35 44,G,0,0.46,0.11,157.0,0,5482956843382861823
781572,00 00 42.1,-25 12 08,G,0,0.69,0.21,57.0,0,4111890579132380528
488348,00 00 42.1,-48 20 55,G,0,0.77,0.6,23.0,0,3879289365451547978
1310270,00 00 42.1,+06 55 39,G,0,0.55,0.02,0.0,0,-4977147817938621869
2039229,00 00 42.1,+33 48 40,G,0,0.49,0.1,12.0,0,6394272329696512336
927650,00 00 42.2,-14 12 15,G,0,0.59,0.32,140.0,0,-6109274505793487535
2070184,00 00 42.2,+35 48 01,G,0,0.42,0.1,95.0,0,7231594208418018818
1804818,00 00 42.2,+27 19 56,G,0,0.8,0.53,32.0,0,-5916901947271282741
750548,00 00 42.2,-27 44 20,G,0,0.62,0.31,166.0,0,8334576854316324946
373061,00 00 42.3,-59 13 24,G,0,0.46,0.14,87.0,0,8911775914394928209
222371,00 00 42.4,-82 47 54,G,0,0.6,0.04,0.0,0,4231409930445478369
376231,00 00 42.4,-58 48 20,G,0,0.45,0.23,178.0,0,-5247572223951499123
57,00 00 42.4,+28 22 09,GM,SO,0.46,0.09,88.0,HCG99E,-8551446710101879234
107480,00 00 42.4,-41 39 57,G,0,0.0,0.0,0.0,LCRSB235808.6-415638,7563388399095065341
881497,00 00 42.6,-17 32 42,G,0,0.43,0.24,138.0,0,-1161009261912738534
1762820,00 00 42.7,+26 06 23,G,0,0.43,0.18,142.0,0,-7819152756448771664
788348,00 00 42.7,-24 35 21,G,0,0.67,0.12,137.0,0,1606514292496400779
755470,00 00 42.7,-27 24 14,G,0,0.6,0.5,10.0,0,1211501347978505495
2199372,00 00 42.8,+42 27 44,G,0,0.41,0.04,0.0,NPM1G+42.0549,8571843225984751366
170469,00 00 42.8,-72 17 14,G,0,0.81,0.22,101.0,0,-3679000064010877675
834646,00 00 42.8,-20 57 20,G,0,0.52,0.43,75.0,0,-2242887729208170115
124799,00 00 43.0,-39 26 12,G,0,0.0,0.0,0.0,LCRSB235809.1-394254,3157023607950234340
1969371,00 00 43.0,+31 53 01,G,0,0.59,0.36,65.0,0,6575351291315809950
2794831,00 00 43.1,-39 30 34,G,0,0.0,0.0,0.0,0,-2942411842120992793
746338,00 00 43.1,-28 03 40,G,0,0.4,0.08,146.0,0,-4297818785573582030
1507962,00 00 43.1,+16 24 11,G,0,0.37,0.09,150.0,0,-8362197068799732145
240982,00 00 43.1,-76 13 49,G,0,0.54,0.45,125.0,0,-8115355113997405270
835476,00 00 43.2,-20 53 52,G,0,0.48,0.42,119.0,0,-3358975771478705236
1672903,00 00 43.2,+22 36 06,G,0,0.44,0.18,24.0,0,-9186130663140259876
513042,00 00 43.2,-46 36 04,G,0,0.57,0.24,102.0,0,-6223665910205062137
374525,00 00 43.3,-59 01 33,G,0,0.58,0.24,68.0,0,-5162997205320221511
1056613,00 00 43.3,-04 33 13,G,0,0.51,0.11,42.0,0,-1471445751452745385
593132,00 00 43.3,-39 51 58,G,0,0.76,0.56,42.0,0,564766917247901235
450756,00 00 43.4,-51 56 36,G,0,0.48,0.26,153.0,0,-3590362135666986899
1829311,00 00 43.5,+28 12 29,G,0,0.58,0.08,96.0,0,-2793410092374293179
124800,00 00 43.6,-39 22 04,G,0,0.36,0.14,133.0,LCRSB235809.8-393847,-3032018083864732767
562548,00 00 43.6,-42 31 03,G,0,0.61,0.32,117.0,0,-1500642329533633631
1207467,00 00 43.7,+01 50 07,G,0,0.36,0.18,152.0,0,957251805546130415
824856,00 00 43.7,-21 42 05,G,0,0.38,0.14,160.0,0,-4775485757739891032
1837351,00 00 43.8,+28 29 32,G,0,0.58,0.29,154.0,0,-4911768967579159499
372414,00 00 43.9,-59 18 22,G,0,0.51,0.42,165.0,0,-3379468430013038821
771691,00 00 43.9,-26 05 21,G,0,0.4,0.07,0.0,0,6510754509246788915
731715,00 00 44.0,-29 14 11,G,0,0.5,0.28,165.0,0,4578893721244706981
234291,00 00 44.0,-77 55 27,G,0,0.53,0.38,26.0,0,-2322443640004850620
58,00 00 44.0,+28 24 06,GM,0,0.87,0.15,91.0,MCG5-01-021           CGCG498-61            CGCG499-33            HCG99C,-8429824760713420040
1172352,00 00 44.1,+00 40 23,G,0,0.59,0.08,138.0,NPM1G+00.0655,5755534894167722946
1517171,00 00 44.1,+16 47 41,G,0,0.52,0.27,104.0,0,-965090006299822177
950941,00 00 44.2,-12 34 13,G,0,0.34,0.1,72.0,0,-5060104624806124741
434074,00 00 44.2,-53 06 38,G,0,0.5,0.08,140.0,0,-4246647069394476381
636319,00 00 44.3,-36 28 33,G,0,0.58,0.44,86.0,0,-912592249667089563
706788,00 00 44.3,-31 18 06,G,0,0.52,0.18,146.0,0,4152338841530787496
928357,00 00 44.3,-14 08 49,G,0,0.4,0.12,24.0,0,135738250590302097
1070710,00 00 44.3,-03 28 55,G,0,0.74,0.21,1.0,NPM1G-03.0718,4629226654874405933
644799,00 00 44.4,-35 46 15,G,0,0.63,0.57,45.0,0,9133861240743841034
1616049,00 00 44.4,+20 05 29,G,0,0.49,0.14,130.0,0,7699124703567823449
774152,00 00 44.4,-25 52 12,G,0,0.61,0.52,20.0,0,-5350328462223248738
750614,00 00 44.4,-27 44 05,G,0,0.54,0.31,177.0,0,4652972137929025077
59,00 00 44.5,+36 52 10,G,Sc,0.56,0.12,88.0,KUG2358+36518,-3123435176579769466
547479,00 00 44.5,-43 32 51,G,0,0.39,0.04,0.0,0,-4521127301568306791
2093369,00 00 44.6,+37 07 09,G,0,0.47,0.2,70.0,0,-3822914562856972298
220776,00 00 44.7,-83 42 06,G,0,0.77,0.78,50.0,0,-5628214175504248760
130028,00 00 44.7,-46 23 43,G,SO-a,0.82,0.18,165.0,0,-4633356178607486090
270040,00 00 44.8,-71 12 11,G,0,0.48,0.32,89.0,0,6851289183130494830
396826,00 00 44.8,-56 49 34,G,0,0.52,0.08,133.0,0,2642286369626056804
549310,00 00 44.9,-43 23 41,G,0,0.47,0.13,147.0,0,-5796374493609217960
2038248,00 00 44.9,+33 45 23,G,0,0.52,0.43,158.0,0,7622616970375021824
