toi,ra,dec,st_dist,sky_coord.ra,sky_coord.dec
1105.01,146.053969,-89.471513,79.5225,146.053969,-89.471513
1106.01,253.110033,-79.135182,523.425,253.110033,-79.135182
1107.01,155.607863,-82.218869,281.314,155.607863,-82.218869
1108.01,274.221618,-68.197779,417.08,274.221618,-68.197779
1109.01,30.198486,-77.610376,102.238,30.198486,-77.610376
111.01,0.774487,-62.469317,508.842,0.774487,-62.469317
1110.01,286.791829,-58.697242,243.838,286.791829,-58.697242
1111.01,291.373783,-60.941042,312.461,291.373783,-60.941042
1112.01,163.628917,-87.269735,292.085,163.628917,-87.269735
1113.01,328.710839,-77.337433,23.8853,328.710839,-77.337433
1114.01,302.147728,-71.552443,174.475,302.147728,-71.552443
1115.01,283.301843,-54.910806,359.215,283.301843,-54.910806
1116.01,27.699972,-75.848774,94.4178,27.699972,-75.848774
1117.01,273.602061,-66.419974,167.598,273.602061,-66.419974
1118.01,277.432937,-44.625506,,277.432937,-44.625506
1119.01,292.604815,-46.278074,421.518,292.604815,-46.278074
112.01,55.933639,-65.19378,302.448,55.933639,-65.19378
1120.01,293.389272,-45.892667,386.323,293.389272,-45.892667
1121.01,269.648642,-46.065523,338.644,269.648642,-46.065523
1122.01,281.369481,-52.262928,249.826,281.369481,-52.262928
1123.01,292.391505,-37.304009,161.932,292.391505,-37.304009
1124.01,300.212928,-43.982529,75.7145,300.212928,-43.982529
1125.01,298.287708,-46.369991,237.593,298.287708,-46.369991
1126.01,279.062469,-43.620606,97.8115,279.062469,-43.620606
1127.01,292.195297,-36.00026,177.741,292.195297,-36.00026
1128.01,289.761799,-43.074223,222.529,289.761799,-43.074223
1129.01,284.157959,-29.398357,247.414,284.157959,-29.398357
113.01,332.714337,-30.749719,448.637,332.714337,-30.749719
1130.01,286.376004,-41.43764,58.2609,286.376004,-41.43764
1130.02,286.376004,-41.43764,58.2609,286.376004,-41.43764
1131.01,248.433545,61.718334,222.74,248.433545,61.718334
1132.01,298.781281,54.781445,286.668,298.781281,54.781445
1133.01,294.824079,31.958037,233.369,294.824079,31.958037
1134.01,290.02096,36.637774,170.732,290.02096,36.637774
1135.01,193.39637,85.129495,114.048,193.39637,85.129495
1136.01,192.184898,64.855276,84.5362,192.184898,64.855276
1136.02,192.184898,64.855276,84.5362,192.184898,64.855276
1136.03,192.184898,64.855276,84.5362,192.184898,64.855276
1136.04,192.184898,64.855276,84.5362,192.184898,64.855276
1137.01,301.17768,30.409951,419.435,301.17768,30.409951
1078.01,306.928646,-56.462287,20.373,306.928646,-56.462287
1079.01,283.119492,-55.387928,1179.27,283.119492,-55.387928
108.01,316.96148,-26.09672,421.855,316.96148,-26.09672
1080.01,276.368325,-52.214573,25.559,276.368325,-52.214573
1081.01,282.140409,-40.11177,354.05,282.140409,-40.11177
1082.01,83.275809,-80.815478,100.248,83.275809,-80.815478
1083.01,296.822194,-87.32281,68.9109,296.822194,-87.32281
1084.01,268.890707,-61.7474,494.182,268.890707,-61.7474
1085.01,77.605399,-59.535664,444.066,77.605399,-59.535664
1086.01,305.56982,-88.568495,736.397,305.56982,-88.568495
1087.01,238.001011,-76.49349,416.25,238.001011,-76.49349
1088.01,272.311383,-76.300955,240.901,272.311383,-76.300955
1089.01,228.84306,-52.885989,778.127,228.84306,-52.885989
109.01,313.215475,-25.687376,513.011,313.215475,-25.687376
1090.01,242.016315,-68.588832,566.502,242.016315,-68.588832
1091.01,222.101134,-56.025931,321.671,222.101134,-56.025931
1092.01,217.022882,-64.634285,209.919,217.022882,-64.634285
1154.01,254.924043,64.699214,93.8819,254.924043,64.699214
1155.01,309.275852,32.471019,,309.275852,32.471019
1156.01,300.419309,26.971662,6079.49,300.419309,26.971662
1157.01,144.341393,68.458705,432.113,144.341393,68.458705
1158.01,293.427359,29.596296,,293.427359,29.596296
1159.01,282.42081,48.098942,292.83,282.42081,48.098942
116.01,357.846434,-70.152862,149.942,357.846434,-70.152862
1160.01,301.317709,30.67067,2320.13,301.317709,30.67067
1161.01,286.971388,46.868246,519.096,286.971388,46.868246
1162.01,305.289344,41.462366,348.481,305.289344,41.462366
1163.01,294.091757,19.639255,148.342,294.091757,19.639255
1164.01,307.336613,37.508561,827.868,307.336613,37.508561
1165.01,232.146641,66.35871,126.261,232.146641,66.35871
1166.01,293.764981,37.53859,153.743,293.764981,37.53859
1167.01,198.152378,71.618139,209.618,198.152378,71.618139
1168.01,301.710466,38.431023,274.162,301.710466,38.431023
1169.01,134.120039,72.533276,259.0,134.120039,72.533276
117.01,15.006077,-58.904724,603.955,15.006077,-58.904724
1170.01,300.805115,52.040842,880.107,300.805115,52.040842
1171.01,299.273862,35.988359,482.763,299.273862,35.988359
1172.01,282.474539,55.26639,875.061,282.474539,55.26639
1173.01,197.683097,70.768012,132.353,197.683097,70.768012
1174.01,209.217175,68.618211,94.6375,209.217175,68.618211
1175.01,289.238688,31.323574,216.517,289.238688,31.323574
1176.01,247.35668,71.505873,295.561,247.35668,71.505873
1177.01,297.30004,41.326844,602.899,297.30004,41.326844
1178.01,279.101036,55.391781,36.7224,279.101036,55.391781
1179.01,187.055897,67.240043,86.444,187.055897,67.240043
118.01,349.559266,-56.903986,94.1719,349.559266,-56.903986
1180.01,214.555774,82.193764,72.0238,214.555774,82.193764
1181.01,297.215817,64.354351,302.819,297.215817,64.354351
1182.01,201.614657,65.306346,,201.614657,65.306346
1183.01,286.74712,71.712377,112.868,286.74712,71.712377
1184.01,272.20452,60.678785,58.5946,272.20452,60.678785
1185.01,297.459433,34.829667,246.798,297.459433,34.829667
1186.01,251.633465,65.715035,294.85,251.633465,65.715035
1187.01,162.893176,81.322174,221.071,162.893176,81.322174
1188.01,306.730853,38.93227,347.452,306.730853,38.93227
1189.01,292.223229,24.20119,,292.223229,24.20119
119.01,99.238421,-58.016153,66.6187,99.238421,-58.016153
119.02,99.238421,-58.016153,66.6187,99.238421,-58.016153
1190.01,292.734132,59.403853,280.948,292.734132,59.403853
1191.01,283.526697,37.720014,355.809,283.526697,37.720014
1192.01,286.550056,44.0808,283.025,286.550056,44.0808
1193.01,301.41088,33.049205,501.963,301.41088,33.049205
1194.01,167.821481,69.964775,149.667,167.821481,69.964775
1195.01,291.12047,33.273702,500.014,291.12047,33.273702
1196.01,291.707693,17.808736,424.442,291.707693,17.808736
1197.01,293.26832,15.736136,405.634,293.26832,15.736136
1198.01,304.800032,32.581045,470.878,304.800032,32.581045
1199.01,166.880658,61.352572,248.427,166.880658,61.352572
120.01,4.447163,-66.358928,79.5702,4.447163,-66.358928
1200.01,222.841424,82.952258,224.444,222.841424,82.952258
1201.01,42.2477,-14.537283,37.8871,42.2477,-14.537283
1202.01,210.427355,-63.852645,818.829,210.427355,-63.852645
1203.01,168.226736,-34.406937,64.9943,168.226736,-34.406937
1204.01,169.119109,-60.567675,106.505,169.119109,-60.567675
1138.01,291.463084,25.189437,395.12,291.463084,25.189437
1139.01,304.034336,31.925687,238.726,304.034336,31.925687
114.01,63.374706,-69.226593,216.526,63.374706,-69.226593
1140.01,264.961539,56.078974,121.182,264.961539,56.078974
1141.01,247.534722,80.307766,97.3391,247.534722,80.307766
1142.01,290.708965,56.615386,299.294,290.708965,56.615386
1143.01,182.538652,77.352264,191.984,182.538652,77.352264
1144.01,297.710176,48.081864,37.7647,297.710176,48.081864
1145.01,291.92142,36.529898,438.395,291.92142,36.529898
1146.01,292.286802,30.297329,411.307,292.286802,30.297329
1147.01,266.962207,83.428826,218.258,266.962207,83.428826
1148.01,161.909027,71.655727,96.5173,161.909027,71.655727
1149.01,300.774016,26.892025,632.553,300.774016,26.892025
115.01,6.70264,-56.316102,453.808,6.70264,-56.316102
1150.01,307.8599,39.938916,204.455,307.8599,39.938916
1151.01,294.661413,31.2192,136.426,294.661413,31.2192
1152.01,283.489697,37.380825,105.334,283.489697,37.380825
1153.01,182.691562,85.705076,147.134,182.691562,85.705076
1218.01,71.484109,-68.761805,135.689,71.484109,-68.761805
1219.01,72.332562,-67.368745,301.291,72.332562,-67.368745
122.01,332.948236,-58.946085,62.118,332.948236,-58.946085
1220.01,71.650779,-78.561605,273.698,71.650779,-78.561605
1221.01,107.921025,-65.508857,138.411,107.921025,-65.508857
1222.01,99.224785,-63.079384,226.932,99.224785,-63.079384
1223.01,117.214876,-63.720125,237.7,117.214876,-63.720125
1224.01,37.197836,-80.899105,37.3312,37.197836,-80.899105
1224.02,37.197836,-80.899105,37.3312,37.197836,-80.899105
1225.01,97.166308,-64.596432,252.615,97.166308,-64.596432
1225.02,97.166308,-64.596432,252.615,97.166308,-64.596432
1226.01,103.754836,-69.867129,257.93,103.754836,-69.867129
1227.01,186.767363,-72.45185,100.641,186.767363,-72.45185
1228.01,107.843685,-68.83334,272.217,107.843685,-68.83334
1229.01,74.130396,-74.920333,254.584,74.130396,-74.920333
123.01,319.699588,-26.616374,161.498,319.699588,-26.616374
1230.01,118.129594,-83.825063,143.138,118.129594,-83.825063
1231.01,156.74726,-52.467872,27.6227,156.74726,-52.467872
1232.01,116.501399,-61.879794,328.604,116.501399,-61.879794
1233.01,186.574063,-51.363052,64.5978,186.574063,-51.363052
