main_id,ra,dec,otype,frame_hash
[AFR2020] NGC5907 GC35,228.84753,56.168575,GlC,9209850650705960727
[JPB2015] 054.5933319-35.4713861,54.5933319,-35.4713861,GlC,-5273526047647090508
[AFR2020] NGC5907 GC36,228.94023,56.16992,GlC,-3540310236399612360
[AFR2020] NGC5907 GC37,228.76503,56.170555,GlC,-4500410105486589742
[AFR2020] NGC5907 GC38,229.02481,56.174824,GlC,-2760162366138400856
[GSB2003] 4517-49,188.19,0.109,GlC,-3652176704800124490
[UFS2013] acs 2238,185.0490242255,29.25408504799,GlC,-9216321066058082969
[AFR2020] NGC5907 GC39,228.89047,56.174595,GlC,2257844451248490849
[AFR2020] NGC5907 GC40,228.86206,56.176643,GlC,4346350388083611331
[AFR2020] NGC5907 GC41,228.89107,56.18078,GlC,4191300837151574492
[AFR2020] NGC5907 GC42,228.93068,56.184063,GlC,8379537106459046635
[AFR2020] NGC5907 GC43,228.93472,56.185925,GlC,5139117079198819703
[AFR2020] NGC5907 GC44,229.21375,56.18793000000001,GlC,6001020532547805202
[AFR2020] NGC5907 GC45,228.71706,56.187912,GlC,2746123587208581135
[AFR2020] NGC5907 GC46,228.95055,56.193672,GlC,-73305539878771760
[AFR2020] NGC5907 GC47,228.85446,56.194103,GlC,-884020303674886036
[AFR2020] NGC5907 GC48,228.70023,56.195698,GlC,-8784569139825859989
[AFR2020] NGC5907 GC49,229.22115,56.197002,GlC,6903983767106954636
[AFR2020] NGC5907 GC50,229.04248,56.19773,GlC,-1850000969972082740
[AFR2020] NGC5907 GC51,229.01817,56.199276,GlC,-8154921295563289783
[AFR2020] NGC5907 GC52,228.85616,56.199547,GlC,393859196246339463
[AFR2020] NGC5907 GC53,228.70335,56.199036,GlC,7370125203106873675
[AFR2020] NGC5907 GC54,229.20093,56.200657,GlC,8678424516587967612
[AFR2020] NGC5907 GC55,229.19014000000004,56.203224,GlC,8682059550867141280
M31GC J004516+414450,11.31583,41.747088,GlC,-4193933455962052402
[AFR2020] NGC5907 GC56,228.71936,56.203712,GlC,7301858746920354769
[AFR2020] NGC5907 GC57,229.11751,56.20447000000001,GlC,-2762022618386282495
[AFR2020] NGC5907 GC58,228.85886,56.20572,GlC,-1933782520714237614
[AFR2020] NGC5907 GC59,229.21288,56.20525,GlC,-5971842265261258034
[AFR2020] NGC5907 GC60,229.18152,56.20558,GlC,-7047799036971501633
[AFR2020] NGC5907 GC61,228.83899,56.20773,GlC,-851746025701616271
[AFR2020] NGC5907 GC62,228.71011,56.207905,GlC,-7987778754350127182
[AFR2020] NGC5907 GC63,229.1922,56.208904,GlC,-2698655913932467968
[AFR2020] NGC5907 GC64,228.73457,56.208866,GlC,6545471700490007670
[AFR2020] NGC5907 GC65,229.17488,56.21039600000001,GlC,-1935823091089370992
[AFR2020] NGC5907 GC66,229.17184,56.210346,GlC,-3422029041643063334
[AFR2020] NGC5907 GC67,229.10382,56.212963,GlC,-6937813810056534854
[AFR2020] NGC5907 GC68,229.22034,56.21531699999999,GlC,766346865619591132
[AFR2020] NGC5907 GC69,229.04439,56.21597,GlC,-788265821892303345
[AFR2020] NGC5907 GC70,228.84415,56.21998,GlC,-71569050104092349
[AFR2020] NGC5907 GC71,228.93742,56.222065,GlC,-7612369154658172394
[AFR2020] NGC5907 GC72,228.85849,56.222443,GlC,-5396709262935432457
[JSR2014] A77,151.338123,-7.7147,GlC,-940855960790460674
[AFR2020] NGC5907 GC73,228.94354,56.223717,GlC,-1328077610228632626
[PFR2013] NGC5846 GC83,226.6142,1.55641,GlC,-8010230519780825718
[AFR2020] NGC5907 GC74,229.16165,56.223670000000006,GlC,4941440132343851144
[AFR2020] NGC5907 GC75,229.06561,56.22691699999999,GlC,7695309416236713276
[AFR2020] NGC5907 GC76,228.9461,56.22608,GlC,5402064394761904337
[AFR2020] NGC5907 GC77,229.0198,56.227486,GlC,2188880893177675467
[AFR2020] NGC5907 GC78,228.84558,56.228256,GlC,-2356526628453808181
[AFR2020] NGC5907 GC79,229.18498,56.23057,GlC,-9033411095584617418
[AFR2020] NGC5907 GC80,229.2372,56.23,GlC,-3212613805223283701
[AFR2020] NGC5907 GC81,229.14796,56.230846,GlC,-9202868778988268728
[AFR2020] NGC5907 GC82,228.86212,56.23269700000001,GlC,-129147749847570623
[AFR2020] NGC5907 GC83,228.703,56.23309,GlC,-8357017354812695928
[AFR2020] NGC5907 GC84,228.65688,56.2335,GlC,-3719404174163086894
[AFR2020] NGC5907 GC85,228.84694,56.234234,GlC,7554815558000900360
[AFR2020] NGC5907 GC86,228.85072,56.235912,GlC,5504149532043093644
[AFR2020] NGC5907 GC87,229.09035,56.237213,GlC,2913022190281401824
[AFR2020] NGC5907 GC88,229.20537,56.239857,GlC,-6551542627670283494
[AFR2020] NGC5907 GC89,228.79778,56.238976,GlC,-4907685035695719308
[AFR2020] NGC5907 GC90,228.85924,56.239520000000006,GlC,-5303743076487180090
[AFR2020] NGC5907 GC91,229.09941,56.241814,GlC,-1339226237427014155
[AFR2020] NGC5907 GC92,229.11455,56.243965,GlC,-2298611136479923826
[AFR2020] NGC5907 GC93,229.13736,56.244595,GlC,1853958192027542295
[AFR2020] NGC5907 GC94,228.69348,56.24499,GlC,5580807130686750644
[AFR2020] NGC5907 GC95,228.73088,56.246185,GlC,5679029101054381767
[DRG2004] 78:13,54.742083333333326,-35.43941666666667,GlC,-5063861876964049478
[AFR2020] NGC5907 GC96,228.84006,56.246487,GlC,5127534145678445189
[AFR2020] NGC5907 GC97,228.76915,56.24827,GlC,1252244461325724290
[AFR2020] NGC5907 GC98,229.29135,56.24905,GlC,-6830256802794813878
[AFR2020] NGC5907 GC99,228.6382,56.25028,GlC,8283597012621215337
[AFR2020] NGC5907 GC100,228.84203,56.249928,GlC,1524479774653010989
[AFR2020] NGC5907 GC101,228.85042,56.249950000000005,GlC,7519809487188921505
[AFR2020] NGC5907 GC102,228.67162,56.25056,GlC,-5838529150790641695
[AFR2020] NGC5907 GC103,229.27292,56.251415,GlC,3813949005336038350
[AFR2020] NGC5907 GC104,228.89912,56.253025,GlC,-8056846934661105107
[AFR2020] NGC5907 GC105,229.17404,56.256935,GlC,8464799888098446513
[AFR2020] NGC5907 GC106,228.83025,56.25694,GlC,8106192570662529878
[AFR2020] NGC5907 GC107,229.03252,56.25819400000001,GlC,6480204749128568289
[AFR2020] NGC5907 GC108,229.02275,56.26319,GlC,-6857518359080058254
[AFR2020] NGC5907 GC109,229.05875,56.264446,GlC,3684907708984530419
[AFR2020] NGC5907 GC110,229.27072000000004,56.26424800000001,GlC,5723221764017247725
[AFR2020] NGC5907 GC111,229.03117,56.267216,GlC,-72270840252580153
[AFR2020] NGC5907 GC112,229.03073,56.26801,GlC,-1704002169552197813
[AFR2020] NGC5907 GC113,229.05388,56.268948,GlC,5575757149291813473
[AFR2020] NGC5907 GC114,229.04993,56.26943,GlC,4134755827545111460
[AFR2020] NGC5907 GC115,229.03633,56.269398,GlC,-2438806867843831643
[AFR2020] NGC5907 GC116,228.80182,56.26977,GlC,6096140048595597330
[AFR2020] NGC5907 GC117,229.20241,56.27208,GlC,-6132487817395059276
[AFR2020] NGC5907 GC118,229.30965000000003,56.272186,GlC,3128955382503836336
[AFR2020] NGC5907 GC119,229.29129,56.27221,GlC,-6265917620943251042
[AFR2020] NGC5907 GC120,229.05481,56.273907,GlC,5010194772941245146
[AFR2020] NGC5907 GC121,228.8578,56.274666,GlC,-8789990224948086847
[AFR2020] NGC5907 GC122,229.27391,56.27586399999999,GlC,-1462629671710708579
[AFR2020] NGC5907 GC123,229.3308,56.277374,GlC,8489465471464494618
[AFR2020] NGC5907 GC124,229.14624,56.283337,GlC,1030295274925706230
[AFR2020] NGC5907 GC125,228.77257,56.283978,GlC,-3724231515438722372
[AFR2020] NGC5907 GC126,229.06325,56.284317,GlC,8687535809622103340
[AFR2020] NGC5907 GC127,229.1233,56.284477,GlC,-513757140058602929
[AFR2020] NGC5907 GC128,229.30646,56.284744,GlC,-9005228651943554561
[AFR2020] NGC5907 GC129,229.00676,56.277454,GlC,8715935728024161757
[AFR2020] NGC5907 GC130,229.00424,56.28761999999999,GlC,-4538195947412206469
[AFR2020] NGC5907 GC131,228.94215,56.288334,GlC,5418991831031143515
[AFR2020] NGC5907 GC132,228.65363,56.288593,GlC,2756831349739968113
[AFR2020] NGC5907 GC133,228.73526,56.28946,GlC,-3405514890091598215
[AFR2020] NGC5907 GC134,229.09277,56.289448,GlC,-8641101929916402358
[AFR2020] NGC5907 GC135,228.94965,56.290382,GlC,-3221002987486201742
[AFR2020] NGC5907 GC136,229.14424,56.29131000000001,GlC,6695879725142051205
[AFR2020] NGC5907 GC137,228.98737,56.29162,GlC,202324077830342110
[AFR2020] NGC5907 GC138,228.71487,56.29178,GlC,-5109413824317511301
[AFR2020] NGC5907 GC139,228.62929,56.292393,GlC,3459468337640445092
[AFR2020] NGC5907 GC140,229.10985,56.29314,GlC,3172062483494681398
[AFR2020] NGC5907 GC141,229.15486,56.29363300000001,GlC,5894361401675002132
[AFR2020] NGC5907 GC142,228.91592,56.296490000000006,GlC,3515405073173741062
JCMTSE J151557.2+561747,228.98906,56.296272,GlC,2851744789483982963
[AFR2020] NGC5907 GC144,228.9093,56.296326,GlC,-1073046478635388796
[AFR2020] NGC5907 GC145,228.6219,56.295944,GlC,-7416882853108973189
[AFR2020] NGC5907 GC146,229.09035,56.297386,GlC,-5155891342492130593
[AFR2020] NGC5907 GC147,229.05539,56.299107,GlC,-4034683486327654180
[AFR2020] NGC5907 GC148,228.68999,56.298515,GlC,-1209447211949530969
[AFR2020] NGC5907 GC149,229.23878,56.29957999999999,GlC,7037635256396794907
[AFR2020] NGC5907 GC150,228.5946,56.30173,GlC,-2295469827465875922
[AFR2020] NGC5907 GC151,229.07448,56.304268,GlC,2085490242430620825
[AFR2020] NGC5907 GC152,229.12593,56.3041,GlC,-3422108030700158731
[AFR2020] NGC5907 GC153,228.93044,56.30438199999999,GlC,-3104655696811725071
[AFR2020] NGC5907 GC154,229.28568,56.305725,GlC,4292682613980047509
[AFR2020] NGC5907 GC155,229.0408,56.30699,GlC,7911412675175771463
[AFR2020] NGC5907 GC156,228.96701,56.307587,GlC,-5714084078049751864
[AFR2020] NGC5907 GC157,229.165,56.308144,GlC,-6429506106882858419
[AFR2020] NGC5907 GC158,229.1516,56.30824,GlC,1097867902959162371
[AFR2020] NGC5907 GC159,229.0097,56.310867,GlC,-85507496490285414
[AFR2020] NGC5907 GC160,229.30785,56.31147,GlC,6119631392599124478
[AFR2020] NGC5907 GC161,229.30478,56.31157,GlC,-9076800824019276614
[AFR2020] NGC5907 GC162,229.1459,56.312416,GlC,8103374001657463457
[AFR2020] NGC5907 GC163,228.75363,56.31295,GlC,-4854853718313861735
[AFR2020] NGC5907 GC164,229.31648,56.314137,GlC,3653617618765472249
[AFR2020] NGC5907 GC165,229.04967,56.314823,GlC,-3017883143041978208
[AFR2020] NGC5907 GC166,229.2246,56.316093,GlC,-8767997976819005589
[AFR2020] NGC5907 GC167,228.81145,56.31653,GlC,-3240961889788281200
[AFR2020] NGC5907 GC168,228.73848,56.317085,GlC,4054896359510349012
[AFR2020] NGC5907 GC169,229.19063,56.31895,GlC,1747330553984224293
[AFR2020] NGC5907 GC170,229.11545,56.31904,GlC,-6397839503015088299
[AFR2020] NGC5907 GC171,229.20393,56.32011,GlC,-7279348050352201209
[AFR2020] NGC5907 GC172,229.3193,56.321617,GlC,1798600593829763854
[AFR2020] NGC5907 GC173,228.88257,56.323376,GlC,-3556183744095532484
[AFR2020] NGC5907 GC174,229.21916,56.324375,GlC,2920169482924513447
