WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,RAJ2000,DEJ2000,_RA.icrs,_DE.icrs
00004+5044,HJ 1923,,1828,2015,276,279,6.0,11.5,11.65,12.14,,,,00 00 23.63,+50 44 20.3,00 00 23.63,+50 44 20.3
00004+3549,CRB  23,,1954,2016,155,155,37.4,37.2,12.9,15.6,,V,,00 00 23.33,+35 48 40.8,00 00 23.33,+35 48 40.8
00004+2749,TDS1238,,1991,2016,84,88,1.0,0.8,11.7,11.71,+27 4659,,,00 00 23.43,+27 48 40.8,00 00 23.43,+27 48 40.8
00004+2430,SKF1062,,2004,2016,128,126,1.5,1.4,14.9,15.8,,,,00 00 26.45,+24 29 31.2,00 00 26.45,+24 29 31.2
00004+0830,BU  732,AB,1878,2017,152,153,6.1,6.0,10.05,12.2,+07 5114,,,00 00 25.49,+08 30 07.9,00 00 25.49,+08 30 07.9
00004+0830,BU  732,AC,1897,2016,143,142,152.2,153.1,10.05,8.47,+07 5115,S,,00 00 25.49,+08 30 07.9,00 00 25.49,+08 30 07.9
00004-0902,LDS6080,,1954,2016,262,261,15.7,16.0,16.9,17.8,,,,00 00 25.63,-09 02 40.4,00 00 25.63,-09 02 40.4
00004-1052,SKF 496,,1954,2016,16,16,16.0,16.1,18.9,20.1,,V,,00 00 22.54,-10 51 42.2,00 00 22.54,-10 51 42.2
00004-4711,HDS   1,,1991,2021,332,333,0.2,0.2,10.97,11.75,-4714771,,,00 00 25.28,-47 10 46.5,00 00 25.28,-47 10 46.5
00005+7822,HEI 901,,1978,1995,145,146,0.2,0.2,11.7,11.8,+77  932,,,00 00 31.54,+78 20 51.3,00 00 31.54,+78 20 51.3
00005+6713,HJ 1924,,1828,2016,225,225,6.0,8.0,10.83,11.05,+66 1669,,,00 00 29.27,+67 13 00.4,00 00 29.27,+67 13 00.4
00005+5902,STI3079,AB,1910,2015,123,124,14.4,14.3,13.9,13.9,,,,00 00 32.59,+59 02 39.6,00 00 32.59,+59 02 39.6
00005+5902,MRI  51,AC,1999,2015,333,332,5.5,5.5,12.3,14.3,,,,00 00 32.59,+59 02 39.6,00 00 32.59,+59 02 39.6
00005+5700,STI3077,,1917,2015,116,116,6.7,6.0,13.5,13.4,,,,00 00 31.05,+57 00 51.6,00 00 31.05,+57 00 51.6
00005+5609,STI3078,,1906,2015,189,194,12.1,13.7,12.5,12.7,,,,00 00 32.82,+56 09 34.8,00 00 32.82,+56 09 34.8
00005+5515,KPP4402,,2015,2016,18,18,2.0,2.0,11.9,12.4,,T,,00 00 27.75,+55 15 29.7,00 00 27.75,+55 15 29.7
00005+5457,STI3076,,1907,2015,270,277,6.0,8.4,11.5,13.0,,,,00 00 30.27,+54 57 21.7,00 00 30.27,+54 57 21.7
00005+4941,KPP1057,,1995,2016,31,32,8.2,8.4,12.1,14.4,,V,,00 00 30.80,+49 40 57.4,00 00 30.80,+49 40 57.4
00005+4917,HU  700,,1902,2016,341,339,4.7,4.7,9.6,14.5,+48 4210,,,00 00 28.58,+49 17 17.5,00 00 28.58,+49 17 17.5
00005+4556,TDS1239,,1991,1991,126,126,0.6,0.6,11.93,12.12,,X,,00 00 32.61,+45 56 23.4,00 00 32.61,+45 56 23.4
00005+3114,COU 645,,1970,2015,150,150,4.7,4.9,8.12,13.9,+30 5071,,,00 00 27.31,+31 13 33.4,00 00 27.31,+31 13 33.4
00005+2820,SLW9015,,2003,2016,119,120,1.9,1.9,16.8,16.8,,,,00 00 31.52,+28 19 43.5,00 00 31.52,+28 19 43.5
00005+2031,COU 444,AB,1968,2016,39,40,3.9,4.3,10.1,13.4,+19 5186,,,00 00 31.46,+20 30 30.6,00 00 31.46,+20 30 30.6
00005-0124,ITF 164,,1951,2017,209,210,3.3,3.3,14.8,18.6,,V,,00 00 32.59,-01 23 56.1,00 00 32.59,-01 23 56.1
00005-0342,LDS6081,,1954,2015,134,135,61.9,61.0,16.0,17.9,,U,,00 00 30.89,-03 42 08.1,00 00 30.89,-03 42 08.1
00005-0916,GWP   1,,1954,2016,63,63,7.7,7.4,15.5,17.0,,V,,00 00 27.31,-09 15 58.7,00 00 27.31,-09 15 58.7
00005-7212,B  1902,,1931,2016,244,242,2.8,2.8,9.82,11.95,-72 2794,,,00 00 32.16,-72 12 09.8,00 00 32.16,-72 12 09.8
00006+5552,MRI  52,,1999,2016,216,215,3.9,4.0,15.1,15.6,,V,,00 00 34.06,+55 52 13.6,00 00 34.06,+55 52 13.6
00006+4539,UC  303,,1951,2015,311,311,52.2,52.2,13.13,15.85,,V,,00 00 33.92,+45 39 27.7,00 00 33.92,+45 39 27.7
00006+2101,AZC   1,,1954,2016,342,342,14.1,14.3,13.3,18.7,,V,,00 00 37.04,+21 00 46.5,00 00 37.04,+21 00 46.5
00006-2916,TDS1240,,1991,1991,288,288,0.6,0.6,11.54,12.12,,X,,00 00 35.40,-29 15 48.4,00 00 35.40,-29 15 48.4
00006-5238,FIN 294,,1930,2016,27,29,0.6,0.8,9.48,10.43,-5310566,N,,00 00 34.89,-52 38 13.3,00 00 34.89,-52 38 13.3
00006-5306,HJ 5437,,1836,2019,296,340,2.5,1.4,6.55,9.85,-5310565,O,,00 00 34.35,-53 05 51.8,00 00 34.35,-53 05 51.8
00006-6641,GLI 289,,1851,2021,270,274,2.3,3.0,7.69,9.17,-67 3997,,,00 00 38.13,-66 40 59.5,00 00 38.13,-66 40 59.5
00007+6103,STI1249,AB,1913,2015,263,258,11.4,21.5,10.08,12.33,+60 2653,,,00 00 42.77,+61 03 26.1,00 00 42.77,+61 03 26.1
00007+6103,NVL   8,AC,1954,2016,220,221,20.5,20.6,10.1,14.3,,,,00 00 42.77,+61 03 26.1,00 00 42.77,+61 03 26.1
00007+5614,TDS1241,,1991,1991,236,236,0.6,0.6,11.31,11.62,,X,,00 00 39.42,+56 14 26.7,00 00 39.42,+56 14 26.7
00007+5600,TDS1242,,1991,1991,359,359,0.5,0.5,11.29,11.41,+55 3067,X,,00 00 39.39,+56 00 13.2,00 00 39.39,+56 00 13.2
00007+5417,TDS1243,,1991,1991,109,109,0.5,0.5,11.04,11.05,,X,,00 00 42.34,+54 16 59.2,00 00 42.34,+54 16 59.2
00007+2434,TDS1244,,1991,1991,236,236,2.3,2.3,12.23,12.36,,X,,00 00 41.93,+24 34 24.8,00 00 41.93,+24 34 24.8
00007+1745,SLW9016,,2008,2015,31,31,1.7,1.6,18.0,19.3,,U,,00 00 35.63,+17 44 43.6,00 00 35.63,+17 44 43.6
00007+0013,RST5178,,1943,2016,332,332,2.7,2.5,8.1,13.5,-00 4603,Y,,00 00 39.08,+00 13 22.6,00 00 39.08,+00 13 22.6
