WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,RAJ2000,DEJ2000,_RA.icrs,_DE.icrs
00047+3416,STF3056,"AB,D",1894,2020,238,238,96.0,95.2,7.13,10.61,,NV,,00 04 40.09,+34 15 54.7,00 04 40.09,+34 15 54.7
00047+3416,FYM 148,"AB,E",2000,2016,92,92,108.3,109.0,7.13,14.51,,NU,,00 04 40.09,+34 15 54.7,00 04 40.09,+34 15 54.7
00047+3416,FYM 148,"AB,F",2000,2016,10,10,94.7,94.7,7.13,16.5,,NU,,00 04 40.09,+34 15 54.7,00 04 40.09,+34 15 54.7
00047+3416,STF3056,CD,1894,2015,228,227,109.3,113.1,10.13,10.61,,NS,,00 04 40.19,+34 16 20.0,00 04 40.19,+34 16 20.0
00048+5727,ES 1805,,1920,2016,43,33,2.5,2.7,10.03,12.5,+56 3140,,,00 04 44.04,+57 27 52.6,00 04 44.04,+57 27 52.6
00048+5510,STI3091,,1917,2015,96,93,10.8,11.1,12.6,13.2,,,,00 04 46.92,+55 10 01.7,00 04 46.92,+55 10 01.7
00048+4358,A   203,,1900,2020,334,348,1.3,2.0,8.68,9.35,+43 4624,,,00 04 50.79,+43 58 15.0,00 04 50.79,+43 58 15.0
00048+3810,BU  862,,1881,2024,105,31,0.5,1.0,10.02,10.18,+37 4930,O T,,00 04 46.86,+38 10 25.2,00 04 46.86,+38 10 25.2
00048+3721,LDS3118,,1954,2016,310,310,212.8,212.9,12.1,17.5,,,,00 04 51.61,+37 21 19.1,00 04 51.61,+37 21 19.1
00048+2912,SKF1656,,2003,2015,187,189,2.3,2.1,20.1,18.0,,,,00 04 47.78,+29 11 41.0,00 04 47.78,+29 11 41.0
00048-0952,HU  100,,1899,2015,350,344,4.3,4.0,10.7,11.1,-10 6223,,,00 04 46.97,-09 51 53.2,00 04 46.97,-09 51 53.2
00048-2938,DCH 125,,2015,2015,346,346,0.7,0.7,8.3,11.4,-3019818,K,,00 04 50.82,-29 37 58.9,00 04 50.82,-29 37 58.9
00048-3450,SKF1192,,1976,2016,140,145,4.8,5.1,10.4,13.0,-3516056,,,00 04 48.60,-34 49 59.6,00 04 48.60,-34 49 59.6
00048-4603,KPP1385,,1997,2015,63,61,10.5,10.4,12.3,14.5,,V,,00 04 47.51,-46 02 47.7,00 04 47.51,-46 02 47.7
00049+5933,STI1264,,1910,2016,354,355,6.9,7.2,10.89,12.6,,,,00 04 51.77,+59 33 50.3,00 04 51.77,+59 33 50.3
00049+5832,STF3057,,1828,2015,302,298,3.5,3.9,6.7,9.3,+57 2855,N,,00 04 54.98,+58 31 55.8,00 04 54.98,+58 31 55.8
00049+4939,ES  864,,1909,2021,174,167,9.0,9.0,9.4,10.9,+48 4239,,,00 04 53.97,+49 38 51.6,00 04 53.97,+49 38 51.6
00049+4554,VYS   1,,1924,2016,208,208,3.0,2.9,10.5,10.5,,,,00 04 55.30,+45 54 52.6,00 04 55.30,+45 54 52.6
00049+4540,BU  997,,1879,2020,340,337,4.3,3.9,7.64,9.39,+44 4549,,,00 04 57.53,+45 40 25.6,00 04 57.53,+45 40 25.6
00049+3005,A  1250,AB,1905,2017,90,41,0.4,0.9,8.22,9.65,+29 5057,,,00 04 51.96,+30 05 09.4,00 04 51.96,+30 05 09.4
00049+3005,STT 548,AC,1861,1861,64,64,28.6,28.6,8.22,,,X,,00 04 51.96,+30 05 09.4,00 04 51.96,+30 05 09.4
00049+2639,FOX 103,,1895,2015,121,149,23.4,13.1,6.25,10.72,+25 5068,,,00 04 55.93,+26 38 55.7,00 04 55.93,+26 38 55.7
00049+0451,NSC   1,,2017,2017,15,15,14.6,14.6,13.2,15.3,,V K,,00 04 56.31,+04 51 17.2,00 04 56.31,+04 51 17.2
00049-0104,WAA  59,,2002,2016,331,331,2.7,2.6,18.7,19.0,,,,00 04 51.21,-01 04 23.2,00 04 51.21,-01 04 23.2
00049-0516,SLW   3,,1989,2015,42,42,142.1,142.1,14.8,19.6,,V R,,00 04 53.58,-05 15 59.7,00 04 53.58,-05 15 59.7
00049-1320,GAL 295,,1900,2016,19,19,40.9,39.1,10.65,11.74,-14 6614,N,,00 05 00.65,-13 19 39.2,00 05 00.65,-13 19 39.2
00049-1811,UC  313,,1999,2016,240,240,18.1,18.1,9.5,11.9,,V,,00 04 56.92,-18 10 43.4,00 04 56.92,-18 10 43.4
00049-2024,LDS2081,,1952,2015,267,269,87.0,90.2,13.82,16.43,,U,,00 04 49.93,-20 23 15.6,00 04 49.93,-20 23 15.6
00049-2355,LDS5258,,1960,2015,45,42,55.0,56.7,14.07,15.68,,,,00 04 58.34,-23 54 58.9,00 04 58.34,-23 54 58.9
00049-3230,SEE 500,,1896,2016,203,142,0.9,1.3,8.66,12.3,-3316835,,,00 04 52.63,-32 29 23.4,00 04 52.63,-32 29 23.4
00049-3718,KPP4408,,1998,2016,77,76,14.0,14.1,10.4,14.6,,T,,00 04 55.94,-37 17 53.5,00 04 55.94,-37 17 53.5
00049-5554,DAM1266,,1993,2015,210,209,9.4,9.5,10.5,13.6,-5610215,,,00 04 56.99,-55 54 06.7,00 04 56.99,-55 54 06.7
00049-6121,TSN  12,,1998,2015,206,206,179.4,179.5,10.7,16.4,,V R,,00 04 56.22,-61 20 58.1,00 04 56.22,-61 20 58.1
00049-7022,TDS1285,,1991,1991,284,284,0.5,0.5,11.26,11.46,,X,,00 04 55.09,-70 22 24.2,00 04 55.09,-70 22 24.2
00050+6822,WIS   2,,1999,2010,216,216,999.9,999.9,15.0,17.2,,V R,,00 05 02.68,+68 22 11.9,00 05 02.68,+68 22 11.9
00050+6631,MLR 101,,1970,2021,128,126,1.5,1.8,8.74,11.9,+65 1995,,,00 05 01.88,+66 31 00.5,00 05 01.88,+66 31 00.5
00050+2125,J   629,,1911,2021,295,300,0.8,1.5,11.8,12.0,,,,00 05 01.69,+21 24 56.7,00 05 01.69,+21 24 56.7
00050+0835,GWP  11,,1919,2016,180,185,7.7,8.0,12.5,12.9,,N,,00 04 57.02,+08 35 06.0,00 04 57.02,+08 35 06.0
00050-6050,UC  314,,1998,2016,277,277,14.1,14.0,13.6,16.0,,V R,,00 04 58.78,-60 50 09.1,00 04 58.78,-60 50 09.1
00051+6323,HJ 1933,,1828,2015,92,97,15.0,15.0,11.41,11.27,+62 2360,N,,00 05 05.72,+63 23 05.9,00 05 05.72,+63 23 05.9
00052+5115,TDS1286,,1991,1991,297,297,0.6,0.6,11.5,11.51,,X,,00 05 13.98,+51 15 06.9,00 05 13.98,+51 15 06.9
00052+4514,ES 9001,AB,1914,2016,120,107,13.3,16.0,6.7,13.7,+44 4550,N,,00 05 09.75,+45 13 44.5,00 05 09.75,+45 13 44.5
00052+4514,BU 9001,AC,1893,2021,236,236,21.4,21.2,6.69,10.58,,NV,,00 05 09.75,+45 13 44.5,00 05 09.75,+45 13 44.5
00052+4358,POP 198,,1989,2016,25,24,2.8,3.3,10.0,10.8,,,,00 05 10.79,+43 58 42.1,00 05 10.79,+43 58 42.1
00052+3020,STF3058,,1828,2021,50,52,12.0,12.6,7.81,9.21,+29 5059,,,00 05 09.24,+30 19 44.5,00 05 09.24,+30 19 44.5
00052+2422,SKF1814,,2004,2004,66,66,1.3,1.3,14.4,16.3,,,,00 05 09.31,+24 22 06.6,00 05 09.31,+24 22 06.6
00052+0204,J  1801,,1941,2023,70,50,5.0,2.7,12.4,13.1,,S,,00 05 05.54,+02 03 37.1,00 05 05.54,+02 03 37.1
00052-0151,ITF 216,,1951,2017,38,38,15.1,15.1,9.1,14.5,,,,00 05 10.56,-01 51 13.0,00 05 10.56,-01 51 13.0
00052-2632,LDS2082,,1954,2016,195,196,4.0,3.7,16.5,16.8,,,,00 05 10.80,-26 30 38.0,00 05 10.80,-26 30 38.0
00052-4547,B   635,,1926,2016,322,333,1.4,1.5,9.88,12.3,-4614858,,,00 05 14.09,-45 47 03.3,00 05 14.09,-45 47 03.3
00052-5548,B  2061,,1930,2016,5,2,1.0,1.3,10.7,13.7,-5610218,,,00 05 09.60,-55 47 42.1,00 05 09.60,-55 47 42.1
00053+8241,STF3059,,1831,2016,335,323,1.5,2.0,10.57,11.17,+81  842,,,00 05 15.87,+82 41 48.6,00 05 15.87,+82 41 48.6
00053+3533,COU 746,,1972,2017,109,106,0.5,0.6,9.9,10.4,+34 5062,,,00 05 19.57,+35 32 30.7,00 05 19.57,+35 32 30.7
00053-0523,UC  315,,1954,2015,257,257,19.8,19.7,15.2,15.4,,V R,,00 05 16.94,-05 22 32.7,00 05 16.94,-05 22 32.7
00053-1503,TDS1287,,1991,1991,83,83,0.4,0.4,10.6,10.63,-15 6537,X,,00 05 20.28,-15 03 28.4,00 05 20.28,-15 03 28.4
00053-1857,UC  316,,1951,2015,281,278,25.7,25.5,12.2,15.4,,V R,,00 05 15.66,-18 57 05.5,00 05 15.66,-18 57 05.5
00054+3348,COU 646,,1971,2018,328,330,0.4,0.5,10.83,10.8,+33 4831,,,00 05 22.95,+33 49 03.2,00 05 22.95,+33 49 03.2
00054+1620,STTA255,,1874,2016,337,337,89.2,88.2,8.69,8.86,+15 4935,NV,,00 05 24.30,+16 19 44.4,00 05 24.30,+16 19 44.4
00054-2306,LDS2083,,1952,2015,315,317,25.0,22.9,14.3,15.8,,,,00 05 23.07,-23 05 59.5,00 05 23.07,-23 05 59.5
00054-2559,LDS3119,,1960,2016,140,139,3.5,3.0,12.6,13.9,,N,,00 05 26.23,-25 58 35.1,00 05 26.23,-25 58 35.1
00054-2746,LDS2084,,1954,2016,217,222,3.0,2.2,15.5,15.8,,,,00 05 22.33,-27 46 26.1,00 05 22.33,-27 46 26.1
00055+6513,MLB 242,,1910,2016,77,73,4.0,4.1,11.22,11.25,+64 1896,,,00 05 30.78,+65 11 49.2,00 05 30.78,+65 11 49.2
00055+6133,STI   1,,1904,2015,66,53,11.7,12.7,11.47,11.5,,,,00 05 28.37,+61 33 03.7,00 05 28.37,+61 33 03.7
00055+5251,MLR 645,,1984,2017,315,325,0.3,0.3,10.12,,+52 3597,I,,00 05 30.58,+52 50 48.2,00 05 30.58,+52 50 48.2
00055+5031,HU  501,,1902,2015,256,255,4.6,4.7,8.02,13.2,+49 4329,,,00 05 29.90,+50 31 14.9,00 05 29.90,+50 31 14.9
00055+4520,ES 1192,,1913,2016,299,310,1.7,1.7,10.29,10.99,+44 4551,,,00 05 26.54,+45 21 08.6,00 05 26.54,+45 21 08.6
00055+3406,HU 1201,AB,1904,2015,310,312,0.2,0.1,8.2,9.76,+33 4832,NO,,00 05 29.06,+34 06 20.4,00 05 29.06,+34 06 20.4
00055+3406,HO  490,AC,1892,2015,168,163,20.8,25.3,8.2,13.4,,N,,00 05 29.06,+34 06 20.4,00 05 29.06,+34 06 20.4
00055+2926,SKF1815,,2003,2015,48,53,1.7,1.9,16.8,18.2,,,,00 05 35.82,+29 25 30.8,00 05 35.82,+29 25 30.8
00055+2736,J   865,AB,1912,2021,74,78,1.1,1.5,10.74,11.38,+26 4745,,,00 05 35.57,+27 36 13.8,00 05 35.57,+27 36 13.8
00055+2736,J   865,AC,1894,2015,8,9,25.9,25.4,10.74,11.59,,,,00 05 35.57,+27 36 13.8,00 05 35.57,+27 36 13.8
00055+2213,KPP3127,AB,2009,2016,111,117,3.5,3.6,9.62,13.52,,TW,,00 05 28.85,+22 13 28.2,00 05 28.85,+22 13 28.2
00055+0041,SKF1066,,2001,2016,314,315,2.6,2.6,18.5,19.9,,,,00 05 27.03,+00 40 52.9,00 05 27.03,+00 40 52.9
00055-1325,LDS5259,,1954,2015,87,87,169.4,167.0,17.13,17.91,,U,,00 05 33.97,-13 24 59.7,00 05 33.97,-13 24 59.7
00055-1835,RST3340,,1935,2022,123,271,0.3,0.4,10.4,10.4,-19 6564,,,00 05 27.82,-18 35 28.0,00 05 27.82,-18 35 28.0
00056+7617,HJ 3237,,1831,2015,316,313,18.0,30.7,8.93,11.84,+75  907,,,00 05 33.85,+76 17 08.9,00 05 33.85,+76 17 08.9
00056+5753,TDS1288,,1991,1991,16,16,1.7,1.7,11.71,12.02,,X,,00 05 37.94,+57 52 38.2,00 05 37.94,+57 52 38.2
00056+5516,A  1251,,1906,2015,334,334,4.4,4.6,9.45,14.6,+54 3108,,,00 05 35.89,+55 16 10.7,00 05 35.89,+55 16 10.7
00056+4236,ES 1480,,1916,2020,91,89,6.3,5.7,9.96,13.3,+41 4935,,,00 05 33.90,+42 36 14.2,00 05 33.90,+42 36 14.2
00056+0719,LDS3120,,1955,2015,13,14,237.3,235.1,13.8,18.9,,U,,00 05 41.47,+07 19 53.5,00 05 41.47,+07 19 53.5
00056-0141,LDS3012,,1951,2016,336,337,19.0,19.0,15.93,17.16,,NV,,00 05 36.87,-01 39 56.3,00 05 36.87,-01 39 56.3
00056-1929,TOI 378,"Aa,Ab",2019,2019,330,182,0.2,0.1,14.3,14.4,,,,00 05 35.83,-19 29 20.2,00 05 35.83,-19 29 20.2
00056-1929,TOI 378,AB,2019,2019,312,312,3.3,3.3,,,,,,00 05 35.83,-19 29 20.2,00 05 35.83,-19 29 20.2
00056-2532,LDS 833,,1933,2016,326,324,6.0,6.7,12.4,14.2,,,,00 05 30.20,-25 31 06.4,00 05 30.20,-25 31 06.4
00056-4734,UC  317,,1998,2015,178,177,10.2,10.6,9.8,15.9,,V,,00 05 35.21,-47 34 09.7,00 05 35.21,-47 34 09.7
00057+4549,STT 547,AB,1876,2024,114,192,4.5,6.0,8.98,9.15,+45 4408,NOWZ,,00 05 41.03,+45 48 43.3,00 05 41.03,+45 48 43.3
00057+4549,STT 547,AC,1911,2020,218,263,38.2,120.7,8.98,13.71,,NLW,,00 05 41.03,+45 48 43.3,00 05 41.03,+45 48 43.3
00057+4549,STT 547,AD,1911,2020,175,232,85.9,113.3,8.98,12.51,,NLWU,,00 05 41.03,+45 48 43.3,00 05 41.03,+45 48 43.3
00057+4549,STT 547,AE,1911,2020,61,340,86.2,60.6,8.98,11.75,,NLWU,,00 05 41.03,+45 48 43.3,00 05 41.03,+45 48 43.3
00057+4549,STT 547,AF,1897,2018,254,254,327.6,330.0,8.98,10.19,+44 4548,NOWV,,00 05 41.03,+45 48 43.3,00 05 41.03,+45 48 43.3
00057+4549,POP 217,AP,1994,2020,46,311,12.8,18.9,8.98,13.4,+45 4408,NLW,,00 05 41.03,+45 48 43.3,00 05 41.03,+45 48 43.3
00057+4549,POP 217,AQ,1998,2016,121,147,26.6,13.8,8.98,16.0,,NUW,,00 05 41.03,+45 48 43.3,00 05 41.03,+45 48 43.3
00057+4549,POP 217,AX,2004,2016,214,246,10.4,17.8,8.98,,,NUW,,00 05 41.03,+45 48 43.3,00 05 41.03,+45 48 43.3
00057+4549,POP 217,AY,1998,2018,80,78,205.8,188.8,8.98,14.8,,NUW,,00 05 41.03,+45 48 43.3,00 05 41.03,+45 48 43.3
00057+4549,STT 547,BC,1998,2016,264,266,100.9,115.7,9.15,13.71,,N,,00 05 41.00,+45 48 37.4,00 05 41.00,+45 48 37.4
00057+4549,STT 547,BD,1921,2016,183,233,80.9,106.4,9.15,12.51,,N,,00 05 41.00,+45 48 37.4,00 05 41.00,+45 48 37.4
00057+4549,STT 547,BE,1991,2016,5,346,59.0,64.4,9.15,11.75,,N,,00 05 41.00,+45 48 37.4,00 05 41.00,+45 48 37.4
00057+4549,STT 547,BF,1961,2018,255,251,327.5,324.2,9.15,10.19,,N,,00 05 41.00,+45 48 37.4,00 05 41.00,+45 48 37.4
00057+4549,STT 547,BP,1989,2016,54,331,18.8,20.3,9.15,13.1,,N,,00 05 41.00,+45 48 37.4,00 05 41.00,+45 48 37.4
00057+4549,PAL   2,"Ca,Cb",1998,2020,91,91,6.2,6.1,13.71,14.9,,N,,00 05 31.32,+45 48 26.2,00 05 31.32,+45 48 26.2
00057+4549,POP 217,YG,1998,2020,188,189,9.7,9.7,14.8,15.8,,N,,00 06 00.29,+45 49 20.1,00 06 00.29,+45 49 20.1
00057+4239,A   110,,1900,2020,123,124,1.9,2.0,9.84,9.86,+41 4936,,,00 05 43.95,+42 39 13.3,00 05 43.95,+42 39 13.3
00057+2431,POU   1,,1898,2015,42,45,5.2,5.1,13.4,14.0,,,,00 05 40.78,+24 31 43.0,00 05 40.78,+24 31 43.0
00057+1802,GMC  14,,1954,2016,138,138,3.5,4.1,16.0,19.4,,V,,00 05 40.85,+18 02 02.2,00 05 40.85,+18 02 02.2
00057+1750,STF3061,,1827,2021,140,149,5.0,7.9,8.4,8.51,+17 5032,,,00 05 44.45,+17 50 25.0,00 05 44.45,+17 50 25.0
00057+0626,BFR   1,,2000,2016,43,43,6.1,6.1,17.08,22.38,,N  R,,00 05 41.43,+06 26 25.6,00 05 41.43,+06 26 25.6
00058+6019,STI   3,,1910,2016,65,75,9.8,8.2,14.0,14.4,,U,,00 05 44.18,+60 20 21.5,00 05 44.18,+60 20 21.5
00058+5725,STI1268,,1911,2015,258,263,11.5,12.2,12.09,13.6,,,,00 05 46.85,+57 25 21.5,00 05 46.85,+57 25 21.5
00058+5653,STI1267,,1911,2015,301,301,11.9,11.6,10.8,12.7,,,,00 05 47.27,+56 53 12.4,00 05 47.27,+56 53 12.4
00058+5456,STI1266,,1917,2015,186,185,12.0,14.7,12.2,13.2,,,,00 05 42.12,+54 56 32.5,00 05 42.12,+54 56 32.5
00058+2917,SKF1816,,2003,2015,34,35,1.7,1.6,16.6,18.8,,,,00 05 45.39,+29 17 15.8,00 05 45.39,+29 17 15.8
00058+2855,HEI 831,,1982,2016,130,136,1.5,1.9,12.49,14.0,,,,00 05 50.07,+28 55 19.4,00 05 50.07,+28 55 19.4
00058-0734,SLW   4,,1994,2015,271,271,157.3,157.6,17.4,18.8,,V R,,00 05 46.24,-07 34 11.8,00 05 46.24,-07 34 11.8
00058-6833,HDS   4,,1991,2023,261,209,0.3,0.2,10.27,12.39,-69 3348,,,00 05 51.02,-68 33 04.6,00 05 51.02,-68 33 04.6
00059+7844,HDS   5,,1991,2016,329,196,1.1,3.5,9.53,13.01,+77  936,,,00 05 51.28,+78 44 18.6,00 05 51.28,+78 44 18.6
00059+7335,BU  863,,1881,2016,124,125,1.6,1.9,10.42,11.37,+72 1139,,,00 05 58.17,+73 34 05.5,00 05 58.17,+73 34 05.5
00059+5705,STI1269,,1911,2015,23,39,7.2,7.1,13.3,13.3,,,,00 05 53.13,+57 05 02.3,00 05 53.13,+57 05 02.3
00059+2754,SKF1067,,2003,2015,20,19,1.2,1.3,17.0,17.2,,,,00 05 52.53,+27 54 24.5,00 05 52.53,+27 54 24.5
00059+2720,SLW   5,,1950,2015,236,236,163.3,163.6,18.9,19.8,,V R,,00 05 51.54,+27 19 33.0,00 05 51.54,+27 19 33.0
00059+1805,STF3060,AB,1830,2020,111,136,3.9,3.4,9.32,9.65,+17 5036,NO V,,00 05 55.56,+18 04 34.4,00 05 55.56,+18 04 34.4
00059+1805,STF3060,AC,1912,2020,262,273,80.6,65.1,9.32,12.15,,NL U,,00 05 55.56,+18 04 34.4,00 05 55.56,+18 04 34.4
00059+1805,LEP   1,AD,1896,2015,359,359,574.0,572.9,9.32,7.47,+17 5035,NV,,00 05 55.56,+18 04 34.4,00 05 55.56,+18 04 34.4
00059+1805,LEP   1,AE,1999,2000,267,267,999.9,999.9,9.32,16.58,,N,,00 05 55.56,+18 04 34.4,00 05 55.56,+18 04 34.4
00059-0827,LDS5260,,1960,2015,158,158,79.0,78.4,11.46,17.8,,,,00 06 00.96,-08 26 57.0,00 06 00.96,-08 26 57.0
00059-1426,HJ 3238,,1830,2016,246,239,25.0,33.8,9.65,11.75,-15 6542,,,00 05 54.85,-14 25 57.8,00 05 54.85,-14 25 57.8
00059-3005,KPP 701,,1998,2016,187,186,6.2,6.2,10.7,13.1,,V,,00 05 54.71,-30 04 38.8,00 05 54.71,-30 04 38.8
00059-3020,RST5180,AB,1944,2008,280,340,0.3,0.3,10.0,10.2,-3119595,,,00 05 57.01,-30 19 41.9,00 05 57.01,-30 19 41.9
00059-3020,SEE   1,"AB,C",1896,2016,320,329,4.5,5.5,9.3,10.8,,,,00 05 57.01,-30 19 41.9,00 05 57.01,-30 19 41.9
00059-3522,JSP   1,,1928,2016,347,344,2.1,2.1,11.3,11.4,-3616167,,,00 05 54.15,-35 21 20.2,00 05 54.15,-35 21 20.2
00059-6104,CBL 558,,1998,2016,25,25,20.0,19.9,14.7,16.1,,V,,00 05 55.38,-61 04 13.4,00 05 55.38,-61 04 13.4
00060+6052,KR   67,,1890,2020,159,160,2.7,3.1,9.57,10.23,+60 2668,,,00 06 01.43,+60 52 01.2,00 06 01.43,+60 52 01.2
00060+5854,STI1270,,1910,2016,93,95,6.0,6.0,11.61,12.9,,,,00 05 58.15,+58 54 40.2,00 05 58.15,+58 54 40.2
00060+4937,HU  502,,1902,2021,113,104,2.4,2.6,7.66,10.61,+48 4244,,,00 05 57.04,+49 37 20.4,00 05 57.04,+49 37 20.4
00060+2736,RAO 177,,2016,2016,214,215,1.5,1.5,14.6,14.9,,R,,00 06 02.48,+27 36 08.0,00 06 02.48,+27 36 08.0
00060+1315,J   143,,1910,2020,86,86,1.5,2.5,11.34,11.57,+12 5065,,,00 06 05.68,+13 13 19.3,00 06 05.68,+13 13 19.3
00060+1249,LDS1071,,1962,2015,222,225,11.0,12.4,10.31,15.6,,,,00 06 00.79,+12 49 10.8,00 06 00.79,+12 49 10.8
00060-2039,HJ 3236,,1830,2016,218,219,18.0,24.1,10.58,11.12,-21 6532,Z,,00 05 57.45,-20 38 54.8,00 05 57.45,-20 38 54.8
00061+6341,TRN   7,AB,2001,2001,176,176,3.2,3.2,7.38,17.0,+62 2363,,,00 06 03.38,+63 40 47.7,00 06 03.38,+63 40 47.7
00061+6341,MZA   2,AC,2000,2015,228,228,13.2,13.2,7.38,14.1,,,,00 06 03.38,+63 40 47.7,00 06 03.38,+63 40 47.7
00061+5457,TDS1289,,1991,2016,133,127,1.2,1.0,11.47,11.9,,,,00 06 05.58,+54 56 33.6,00 06 05.58,+54 56 33.6
00061+4025,HDS   6,,1991,2014,46,53,0.5,0.4,6.87,10.06,+39 5219,,,00 06 04.26,+40 25 06.7,00 06 04.26,+40 25 06.7
00061+2649,GRV   4,,1998,2016,19,19,7.2,7.3,10.7,11.8,,V,,00 06 06.94,+26 49 45.0,00 06 06.94,+26 49 45.0
00061+0943,HDS   7,,1991,2023,285,209,0.1,0.3,8.47,8.88,+08 5172,O,,00 06 08.02,+09 42 53.9,00 06 08.02,+09 42 53.9
00061+0915,KPP2527,,1955,2016,140,140,22.7,22.8,14.7,15.03,,V,,00 06 08.38,+09 15 02.3,00 06 08.38,+09 15 02.3
00061-0318,UC  318,"Aa,Ab",2006,2016,202,204,1.6,1.6,16.6,16.6,,,,00 06 08.65,-03 18 01.2,00 06 08.65,-03 18 01.2
00061-0318,UC  318,AB,1954,2015,314,313,51.5,51.3,15.4,16.3,,T,,00 06 08.65,-03 18 01.2,00 06 08.65,-03 18 01.2
00062+8753,HDS   8,,1991,2021,313,309,0.6,0.4,9.17,12.12,+87  220,,,00 06 11.39,+87 53 21.8,00 06 11.39,+87 53 21.8
00062+2346,HU  401,,1901,2021,35,33,0.7,0.9,10.57,10.8,+22 4952,,,00 06 09.44,+23 46 25.1,00 06 09.44,+23 46 25.1
00062+2318,LDS3121,,1960,2015,200,203,64.0,64.8,13.3,16.45,,,,00 06 18.91,+23 18 23.2,00 06 18.91,+23 18 23.2
00062+1900,DAM 275,,1991,2015,323,322,9.4,9.4,12.6,13.8,,,,00 06 14.47,+19 00 20.7,00 06 14.47,+19 00 20.7
00062+1547,WAA  60,,2000,2016,257,254,1.1,1.2,18.0,18.6,,,,00 06 12.47,+15 46 49.8,00 06 12.47,+15 46 49.8
00062-0153,HDS   9,,1991,2023,324,9,0.5,0.1,8.88,11.67,-02 6098,,,00 06 13.16,-01 53 13.4,00 06 13.16,-01 53 13.4
00062-2909,LDS2086,,1954,2015,281,281,34.0,34.4,7.89,18.0,-2918964,,,00 06 09.06,-29 09 05.0,00 06 09.06,-29 09 05.0
00063+7109,TDS1290,,1991,1991,337,337,0.7,0.7,11.04,11.41,,X,,00 06 20.79,+71 09 15.6,00 06 20.79,+71 09 15.6
00063+6851,CBL 559,,1999,2015,210,210,19.5,19.4,12.7,14.3,,V,,00 06 19.13,+68 51 07.8,00 06 19.13,+68 51 07.8
00063+5826,STF3062,,1823,2021,37,8,1.3,1.5,6.42,7.32,+57 2865,NO,,00 06 15.81,+58 26 12.5,00 06 15.81,+58 26 12.5
00063+3918,ALI 714,,1928,2015,228,225,9.6,9.4,11.92,12.3,,,,00 06 14.57,+39 18 30.6,00 06 14.57,+39 18 30.6
00063+2803,SKF1598,,2003,2016,127,123,1.0,1.0,17.2,17.2,,,,00 06 16.15,+28 03 00.8,00 06 16.15,+28 03 00.8
00063+2500,UC  319,,1950,2015,134,134,55.7,55.8,11.65,12.88,,V,,00 06 20.35,+25 00 12.3,00 06 20.35,+25 00 12.3
00063+2002,J  1320,AB,1918,2020,322,329,3.2,4.4,11.04,13.0,+19 5207,,,00 06 14.37,+20 02 58.8,00 06 14.37,+20 02 58.8
00063+2002,DAM1267,AC,1995,2015,99,99,26.0,26.0,11.04,14.8,,,,00 06 14.37,+20 02 58.8,00 06 14.37,+20 02 58.8
00063+1847,TDS1291,,1991,2020,77,82,3.0,2.9,12.29,13.16,,,,00 06 20.77,+18 46 53.5,00 06 20.77,+18 46 53.5
00063-3020,TOI 348,,2019,2019,41,41,1.4,1.4,12.7,17.5,,,,00 06 20.07,-30 20 10.6,00 06 20.07,-30 20 10.6
00063-4905,HDO 180,,1894,2016,175,186,4.0,3.9,5.7,11.5,-4914337,NT,,00 06 19.18,-49 04 30.7,00 06 19.18,-49 04 30.7
00063-6414,I   433,,1892,2020,130,135,5.4,5.7,8.03,10.17,-64 4404,Z,,00 06 16.84,-64 14 25.7,00 06 16.84,-64 14 25.7
00064+5900,SMA   2,,1898,2015,265,260,13.2,13.8,11.12,12.13,,,,00 06 26.74,+59 00 02.5,00 06 26.74,+59 00 02.5
00064+5717,STI1271,,1917,2015,76,74,12.1,13.1,12.4,12.8,,,,00 06 20.28,+57 17 22.9,00 06 20.28,+57 17 22.9
00064+5714,STI1272,,1908,2015,348,351,6.5,7.3,11.31,12.1,,,,00 06 24.78,+57 14 38.6,00 06 24.78,+57 14 38.6
00064+4938,TDS1292,,1991,1991,120,120,2.0,2.0,12.07,12.2,,X,,00 06 26.95,+49 38 26.3,00 06 26.95,+49 38 26.3
00064+4501,UC  320,,1954,2016,314,313,22.2,22.1,15.8,16.6,,NV,,00 06 21.22,+45 01 11.2,00 06 21.22,+45 01 11.2
00064+3436,HU 1001,,1904,2016,177,181,2.0,2.0,8.99,10.71,+33 4835,,,00 06 24.29,+34 36 24.9,00 06 24.29,+34 36 24.9
00064-2039,UC  321,,1996,2016,289,289,10.5,10.5,11.8,16.3,,V,,00 06 21.32,-20 39 21.1,00 06 21.32,-20 39 21.1
00064-3808,LDS3122,,1960,2016,190,191,67.0,67.5,14.42,15.48,,,,00 06 25.37,-38 07 17.7,00 06 25.37,-38 07 17.7
00064-0754,OCC9227,,2024,2024,214,214,0.0,0.0,11.8,12.1,,,,00 06 26.60,-07 53 55.1,00 06 26.60,-07 53 55.1
00065+5526,STI1274,AB,1917,2015,199,196,14.6,14.4,12.24,13.2,,,,00 06 51.62,+55 26 42.8,00 06 51.62,+55 26 42.8
00065+5526,MRI  42,AC,1998,2015,321,324,5.2,5.0,11.7,15.2,,,,00 06 51.62,+55 26 42.8,00 06 51.62,+55 26 42.8
