main_id,ra,dec,otype
[AFR2020] NGC5907 GC58,228.85886,56.20572,GlC
[AFR2020] NGC5907 GC59,229.21288,56.20525,GlC
[AFR2020] NGC5907 GC60,229.18152,56.20558,GlC
[AFR2020] NGC5907 GC61,228.83899,56.20773,GlC
[AFR2020] NGC5907 GC62,228.71010999999996,56.207905,GlC
[AFR2020] NGC5907 GC63,229.19219999999999,56.208904,GlC
[AFR2020] NGC5907 GC64,228.73456999999996,56.208866,GlC
[AFR2020] NGC5907 GC65,229.17488,56.21039600000001,GlC
[AFR2020] NGC5907 GC66,229.17184,56.210346,GlC
[AFR2020] NGC5907 GC67,229.10382,56.212962999999995,GlC
[AFR2020] NGC5907 GC68,229.22034000000002,56.21531699999999,GlC
[AFR2020] NGC5907 GC69,229.04438999999996,56.21597,GlC
[AFR2020] NGC5907 GC70,228.84414999999998,56.21998,GlC
[AFR2020] NGC5907 GC71,228.93741999999997,56.222065,GlC
[AFR2020] NGC5907 GC72,228.85848999999996,56.222443,GlC
[JSR2014] A77,151.338123,-7.7147,GlC
[AFR2020] NGC5907 GC73,228.94353999999998,56.223717,GlC
[PFR2013] NGC5846 GC83,226.6142,1.55641,GlC
[AFR2020] NGC5907 GC74,229.16164999999998,56.223670000000006,GlC
[AFR2020] NGC5907 GC75,229.06561,56.226916999999986,GlC
[AFR2020] NGC5907 GC76,228.94609999999997,56.22608,GlC
[AFR2020] NGC5907 GC77,229.01979999999998,56.227486,GlC
[AFR2020] NGC5907 GC78,228.84557999999998,56.228256,GlC
[AFR2020] NGC5907 GC79,229.18498,56.23057,GlC
[AFR2020] NGC5907 GC80,229.2372,56.23,GlC
[AFR2020] NGC5907 GC81,229.14796,56.230846,GlC
[AFR2020] NGC5907 GC82,228.86211999999998,56.23269700000001,GlC
[AFR2020] NGC5907 GC83,228.70299999999997,56.23309,GlC
[AFR2020] NGC5907 GC84,228.65688,56.2335,GlC
[AFR2020] NGC5907 GC85,228.84694,56.234233999999994,GlC
[AFR2020] NGC5907 GC86,228.85071999999997,56.235912,GlC
[AFR2020] NGC5907 GC87,229.09035,56.237213,GlC
[AFR2020] NGC5907 GC88,229.20537000000002,56.239857,GlC
[AFR2020] NGC5907 GC89,228.79778,56.238975999999994,GlC
[AFR2020] NGC5907 GC90,228.85924,56.239520000000006,GlC
[AFR2020] NGC5907 GC91,229.09940999999998,56.241814,GlC
[AFR2020] NGC5907 GC92,229.11454999999998,56.243965,GlC
[AFR2020] NGC5907 GC93,229.13736,56.244595000000004,GlC
[AFR2020] NGC5907 GC94,228.69348,56.24499,GlC
[AFR2020] NGC5907 GC95,228.73087999999998,56.246185,GlC
[DRG2004] 78:13,54.742083333333326,-35.43941666666667,GlC
[AFR2020] NGC5907 GC96,228.84006,56.246487,GlC
[AFR2020] NGC5907 GC97,228.76914999999997,56.24827,GlC
[AFR2020] NGC5907 GC98,229.29135,56.24905,GlC
[AFR2020] NGC5907 GC99,228.63819999999998,56.25028,GlC
[AFR2020] NGC5907 GC100,228.84203,56.249928,GlC
[AFR2020] NGC5907 GC101,228.85041999999999,56.249950000000005,GlC
[AFR2020] NGC5907 GC102,228.67161999999996,56.25056,GlC
[AFR2020] NGC5907 GC103,229.27291999999997,56.251415,GlC
[AFR2020] NGC5907 GC104,228.89911999999998,56.253025,GlC
[AFR2020] NGC5907 GC105,229.17404,56.256935,GlC
[AFR2020] NGC5907 GC106,228.83024999999998,56.25694,GlC
[AFR2020] NGC5907 GC107,229.03252,56.25819400000001,GlC
[AFR2020] NGC5907 GC108,229.02275,56.26319,GlC
[AFR2020] NGC5907 GC109,229.05875,56.264446,GlC
[AFR2020] NGC5907 GC110,229.27072000000004,56.26424800000001,GlC
[AFR2020] NGC5907 GC111,229.03117,56.267216,GlC
[AFR2020] NGC5907 GC112,229.03073,56.26801,GlC
[AFR2020] NGC5907 GC113,229.05388,56.268948,GlC
[AFR2020] NGC5907 GC114,229.04992999999996,56.26943,GlC
[AFR2020] NGC5907 GC115,229.03633,56.269398,GlC
[AFR2020] NGC5907 GC116,228.80182,56.26977,GlC
[AFR2020] NGC5907 GC117,229.20241000000001,56.27208,GlC
[AFR2020] NGC5907 GC118,229.30965000000003,56.272186,GlC
[AFR2020] NGC5907 GC119,229.29128999999998,56.27221,GlC
[AFR2020] NGC5907 GC120,229.05481,56.273907,GlC
[AFR2020] NGC5907 GC121,228.85779999999997,56.274666,GlC
[AFR2020] NGC5907 GC122,229.27390999999997,56.27586399999999,GlC
[AFR2020] NGC5907 GC123,229.33079999999998,56.277374,GlC
[AFR2020] NGC5907 GC124,229.14624,56.283337,GlC
[AFR2020] NGC5907 GC125,228.77256999999997,56.283978,GlC
[AFR2020] NGC5907 GC126,229.06324999999998,56.284316999999994,GlC
[AFR2020] NGC5907 GC127,229.12329999999997,56.284477,GlC
[AFR2020] NGC5907 GC128,229.30646,56.284744,GlC
[AFR2020] NGC5907 GC129,229.00676,56.277454,GlC
[AFR2020] NGC5907 GC130,229.00423999999998,56.28761999999999,GlC
[AFR2020] NGC5907 GC131,228.94214999999997,56.288334,GlC
[AFR2020] NGC5907 GC132,228.65363,56.288593,GlC
[AFR2020] NGC5907 GC133,228.73525999999998,56.28946,GlC
[AFR2020] NGC5907 GC134,229.09277,56.289448,GlC
[AFR2020] NGC5907 GC135,228.94964999999996,56.290382,GlC
[AFR2020] NGC5907 GC136,229.14424,56.29131000000001,GlC
[AFR2020] NGC5907 GC137,228.98737,56.29162,GlC
[AFR2020] NGC5907 GC138,228.71486999999996,56.29178,GlC
[AFR2020] NGC5907 GC139,228.62928999999997,56.292393,GlC
[AFR2020] NGC5907 GC140,229.10984999999997,56.29314,GlC
[AFR2020] NGC5907 GC141,229.15485999999999,56.29363300000001,GlC
[AFR2020] NGC5907 GC142,228.91592,56.296490000000006,GlC
JCMTSE J151557.2+561747,228.98906,56.296272,GlC
[AFR2020] NGC5907 GC144,228.90929999999997,56.296326,GlC
[AFR2020] NGC5907 GC145,228.6219,56.295944,GlC
[AFR2020] NGC5907 GC146,229.09035,56.297386,GlC
[AFR2020] NGC5907 GC147,229.05539,56.299107,GlC
[AFR2020] NGC5907 GC148,228.68999,56.298515,GlC
[AFR2020] NGC5907 GC149,229.23877999999996,56.29957999999999,GlC
[AFR2020] NGC5907 GC150,228.5946,56.30173,GlC
[AFR2020] NGC5907 GC151,229.07448,56.304268,GlC
[AFR2020] NGC5907 GC152,229.12592999999998,56.3041,GlC
