WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,ra,dec,_RA.icrs,_DE.icrs,framework_id,frame_hash
00058+5456,STI1266,0,1917,2015,186,185,12.0,14.7,12.2,13.2,0,0,0,00 05 42.12,+54 56 32.5,00 05 42.12,+54 56 32.5,-6444864314252630235,-2311867290252428421
00058+2917,SKF1816,0,2003,2015,34,35,1.7,1.6,16.6,18.8,0,0,0,00 05 45.39,+29 17 15.8,00 05 45.39,+29 17 15.8,4989297155372289718,-6999168132341459436
00058+2855,HEI 831,0,1982,2016,130,136,1.5,1.9,12.49,14.0,0,0,0,00 05 50.07,+28 55 19.4,00 05 50.07,+28 55 19.4,-9003194879930671362,-3487760196646193448
00058-0734,SLW   4,0,1994,2015,271,271,157.3,157.6,17.4,18.8,0,V R,0,00 05 46.24,-07 34 11.8,00 05 46.24,-07 34 11.8,7273349608482282217,-3887408969330283046
00058-6833,HDS   4,0,1991,2023,261,209,0.3,0.2,10.27,12.39,-69 3348,0,0,00 05 51.02,-68 33 04.6,00 05 51.02,-68 33 04.6,-8750118577129084238,-2336761983413323650
00059+7844,HDS   5,0,1991,2016,329,196,1.1,3.5,9.53,13.01,+77  936,0,0,00 05 51.28,+78 44 18.6,00 05 51.28,+78 44 18.6,1049772491320523363,9028531404750157920
00059+7335,BU  863,0,1881,2016,124,125,1.6,1.9,10.42,11.37,+72 1139,0,0,00 05 58.17,+73 34 05.5,00 05 58.17,+73 34 05.5,6164775644674060578,3625127109176602711
00059+5705,STI1269,0,1911,2015,23,39,7.2,7.1,13.3,13.3,0,0,0,00 05 53.13,+57 05 02.3,00 05 53.13,+57 05 02.3,5729774829995832833,1228704480368593996
00059+2754,SKF1067,0,2003,2015,20,19,1.2,1.3,17.0,17.2,0,0,0,00 05 52.53,+27 54 24.5,00 05 52.53,+27 54 24.5,5539439631778182942,5939522134326575865
00059+2720,SLW   5,0,1950,2015,236,236,163.3,163.6,18.9,19.8,0,V R,0,00 05 51.54,+27 19 33.0,00 05 51.54,+27 19 33.0,2045202533844506547,8192049712729811211
00059+1805,STF3060,AB,1830,2020,111,136,3.9,3.4,9.32,9.65,+17 5036,NO V,0,00 05 55.56,+18 04 34.4,00 05 55.56,+18 04 34.4,-4884562529150572701,-5999599051249280970
00059+1805,STF3060,AC,1912,2020,262,273,80.6,65.1,9.32,12.15,0,NL U,0,00 05 55.56,+18 04 34.4,00 05 55.56,+18 04 34.4,2796479361659385630,7181284354190693297
00059+1805,LEP   1,AD,1896,2015,359,359,574.0,572.9,9.32,7.47,+17 5035,NV,0,00 05 55.56,+18 04 34.4,00 05 55.56,+18 04 34.4,4885229777156269719,-2488751425716864654
00059+1805,LEP   1,AE,1999,2000,267,267,999.9,999.9,9.32,16.58,0,N,0,00 05 55.56,+18 04 34.4,00 05 55.56,+18 04 34.4,-784676216671076237,-3104714838284398782
00059-0827,LDS5260,0,1960,2015,158,158,79.0,78.4,11.46,17.8,0,0,0,00 06 00.96,-08 26 57.0,00 06 00.96,-08 26 57.0,6065572832976251513,-809487865181265927
00059-1426,HJ 3238,0,1830,2016,246,239,25.0,33.8,9.65,11.75,-15 6542,0,0,00 05 54.85,-14 25 57.8,00 05 54.85,-14 25 57.8,-6305475355830847293,-8861707602973417236
00059-3005,KPP 701,0,1998,2016,187,186,6.2,6.2,10.7,13.1,0,V,0,00 05 54.71,-30 04 38.8,00 05 54.71,-30 04 38.8,4596783544251700785,6377128299573223657
00059-3020,RST5180,AB,1944,2008,280,340,0.3,0.3,10.0,10.2,-3119595,0,0,00 05 57.01,-30 19 41.9,00 05 57.01,-30 19 41.9,8381864261446128335,7798861006121454636
00059-3020,SEE   1,"AB,C",1896,2016,320,329,4.5,5.5,9.3,10.8,0,0,0,00 05 57.01,-30 19 41.9,00 05 57.01,-30 19 41.9,5867455533137309682,2765390488597963028
00059-3522,JSP   1,0,1928,2016,347,344,2.1,2.1,11.3,11.4,-3616167,0,0,00 05 54.15,-35 21 20.2,00 05 54.15,-35 21 20.2,-4029631819401702228,-4637951379359123876
00059-6104,CBL 558,0,1998,2016,25,25,20.0,19.9,14.7,16.1,0,V,0,00 05 55.38,-61 04 13.4,00 05 55.38,-61 04 13.4,-4605321394368442474,-2302119473447146320
00060+6052,KR   67,0,1890,2020,159,160,2.7,3.1,9.57,10.23,+60 2668,0,0,00 06 01.43,+60 52 01.2,00 06 01.43,+60 52 01.2,-3069901955417233062,-3871022407424285437
00060+5854,STI1270,0,1910,2016,93,95,6.0,6.0,11.61,12.9,0,0,0,00 05 58.15,+58 54 40.2,00 05 58.15,+58 54 40.2,2824593055149544487,6454460355585015313
00060+4937,HU  502,0,1902,2021,113,104,2.4,2.6,7.66,10.61,+48 4244,0,0,00 05 57.04,+49 37 20.4,00 05 57.04,+49 37 20.4,7696407063395725548,-7216667209226441234
00060+2736,RAO 177,0,2016,2016,214,215,1.5,1.5,14.6,14.9,0,R,0,00 06 02.48,+27 36 08.0,00 06 02.48,+27 36 08.0,-4171081842028535230,172405278890473318
00060+1315,J   143,0,1910,2020,86,86,1.5,2.5,11.34,11.57,+12 5065,0,0,00 06 05.68,+13 13 19.3,00 06 05.68,+13 13 19.3,4460921454827455057,-1500116345959927775
00060+1249,LDS1071,0,1962,2015,222,225,11.0,12.4,10.31,15.6,0,0,0,00 06 00.79,+12 49 10.8,00 06 00.79,+12 49 10.8,-9128189560821325903,-4561382470753907308
00060-2039,HJ 3236,0,1830,2016,218,219,18.0,24.1,10.58,11.12,-21 6532,Z,0,00 05 57.45,-20 38 54.8,00 05 57.45,-20 38 54.8,5471350348829810760,-4004665952234539485
00061+6341,TRN   7,AB,2001,2001,176,176,3.2,3.2,7.38,17.0,+62 2363,0,0,00 06 03.38,+63 40 47.7,00 06 03.38,+63 40 47.7,-3493076381611021888,-4476161121436276701
00061+6341,MZA   2,AC,2000,2015,228,228,13.2,13.2,7.38,14.1,0,0,0,00 06 03.38,+63 40 47.7,00 06 03.38,+63 40 47.7,3750544072242415117,8510994947344736878
00061+5457,TDS1289,0,1991,2016,133,127,1.2,1.0,11.47,11.9,0,0,0,00 06 05.58,+54 56 33.6,00 06 05.58,+54 56 33.6,-5263847594945570574,7957709294060099728
00061+4025,HDS   6,0,1991,2014,46,53,0.5,0.4,6.87,10.06,+39 5219,0,0,00 06 04.26,+40 25 06.7,00 06 04.26,+40 25 06.7,-4650858830000263897,4237872524814488088
00061+2649,GRV   4,0,1998,2016,19,19,7.2,7.3,10.7,11.8,0,V,0,00 06 06.94,+26 49 45.0,00 06 06.94,+26 49 45.0,-705396773375764630,1290196697075211795
00061+0943,HDS   7,0,1991,2023,285,209,0.1,0.3,8.47,8.88,+08 5172,O,0,00 06 08.02,+09 42 53.9,00 06 08.02,+09 42 53.9,8817521744883953909,-6604566067213311536
00061+0915,KPP2527,0,1955,2016,140,140,22.7,22.8,14.7,15.03,0,V,0,00 06 08.38,+09 15 02.3,00 06 08.38,+09 15 02.3,-4083451953360325216,3124811008104951402
00061-0318,UC  318,"Aa,Ab",2006,2016,202,204,1.6,1.6,16.6,16.6,0,0,0,00 06 08.65,-03 18 01.2,00 06 08.65,-03 18 01.2,7690918603098809532,2430202524562186997
00061-0318,UC  318,AB,1954,2015,314,313,51.5,51.3,15.4,16.3,0,T,0,00 06 08.65,-03 18 01.2,00 06 08.65,-03 18 01.2,-5951998248516020054,7584167195100554061
00062+8753,HDS   8,0,1991,2021,313,309,0.6,0.4,9.17,12.12,+87  220,0,0,00 06 11.39,+87 53 21.8,00 06 11.39,+87 53 21.8,2278523094450152487,3023269284343741468
00062+2346,HU  401,0,1901,2021,35,33,0.7,0.9,10.57,10.8,+22 4952,0,0,00 06 09.44,+23 46 25.1,00 06 09.44,+23 46 25.1,-6605564978766745743,-1689247030100546786
00062+2318,LDS3121,0,1960,2015,200,203,64.0,64.8,13.3,16.45,0,0,0,00 06 18.91,+23 18 23.2,00 06 18.91,+23 18 23.2,-8775667386702428807,5308894059135524970
00062+1900,DAM 275,0,1991,2015,323,322,9.4,9.4,12.6,13.8,0,0,0,00 06 14.47,+19 00 20.7,00 06 14.47,+19 00 20.7,3992906656602250705,8809389187504347470
00062+1547,WAA  60,0,2000,2016,257,254,1.1,1.2,18.0,18.6,0,0,0,00 06 12.47,+15 46 49.8,00 06 12.47,+15 46 49.8,3380707905080906694,1357657500088300156
00062-0153,HDS   9,0,1991,2023,324,9,0.5,0.1,8.88,11.67,-02 6098,0,0,00 06 13.16,-01 53 13.4,00 06 13.16,-01 53 13.4,5617120682993974876,5082430681649997374
00062-2909,LDS2086,0,1954,2015,281,281,34.0,34.4,7.89,18.0,-2918964,0,0,00 06 09.06,-29 09 05.0,00 06 09.06,-29 09 05.0,-3386808314738419632,-3785158254300267940
00063+7109,TDS1290,0,1991,1991,337,337,0.7,0.7,11.04,11.41,0,X,0,00 06 20.79,+71 09 15.6,00 06 20.79,+71 09 15.6,8455475631082165628,6937256557643241422
00063+6851,CBL 559,0,1999,2015,210,210,19.5,19.4,12.7,14.3,0,V,0,00 06 19.13,+68 51 07.8,00 06 19.13,+68 51 07.8,4983842214340087627,1405446564324017185
00063+5826,STF3062,0,1823,2021,37,8,1.3,1.5,6.42,7.32,+57 2865,NO,0,00 06 15.81,+58 26 12.5,00 06 15.81,+58 26 12.5,-7413314592054992989,-4479996227028169879
00063+3918,ALI 714,0,1928,2015,228,225,9.6,9.4,11.92,12.3,0,0,0,00 06 14.57,+39 18 30.6,00 06 14.57,+39 18 30.6,7946345748931627998,-4585750332955876805
00063+2803,SKF1598,0,2003,2016,127,123,1.0,1.0,17.2,17.2,0,0,0,00 06 16.15,+28 03 00.8,00 06 16.15,+28 03 00.8,2766004903657957114,1925387851202994522
00063+2500,UC  319,0,1950,2015,134,134,55.7,55.8,11.65,12.88,0,V,0,00 06 20.35,+25 00 12.3,00 06 20.35,+25 00 12.3,-3031942195191491143,6565005560361551942
00063+2002,J  1320,AB,1918,2020,322,329,3.2,4.4,11.04,13.0,+19 5207,0,0,00 06 14.37,+20 02 58.8,00 06 14.37,+20 02 58.8,9046139686359880266,1273256797859384254
00063+2002,DAM1267,AC,1995,2015,99,99,26.0,26.0,11.04,14.8,0,0,0,00 06 14.37,+20 02 58.8,00 06 14.37,+20 02 58.8,-6122576018720017677,-8054701300747177370
00063+1847,TDS1291,0,1991,2020,77,82,3.0,2.9,12.29,13.16,0,0,0,00 06 20.77,+18 46 53.5,00 06 20.77,+18 46 53.5,8221620039027142389,-302694346328464631
00063-3020,TOI 348,0,2019,2019,41,41,1.4,1.4,12.7,17.5,0,0,0,00 06 20.07,-30 20 10.6,00 06 20.07,-30 20 10.6,24606548419579706,-2058233264181226067
00063-4905,HDO 180,0,1894,2016,175,186,4.0,3.9,5.7,11.5,-4914337,NT,0,00 06 19.18,-49 04 30.7,00 06 19.18,-49 04 30.7,1744132288056700473,5986668941705853955
00063-6414,I   433,0,1892,2020,130,135,5.4,5.7,8.03,10.17,-64 4404,Z,0,00 06 16.84,-64 14 25.7,00 06 16.84,-64 14 25.7,-6594145863413901116,5779013014425099854
00064+5900,SMA   2,0,1898,2015,265,260,13.2,13.8,11.12,12.13,0,0,0,00 06 26.74,+59 00 02.5,00 06 26.74,+59 00 02.5,-632063891843929004,-5911337389146976898
00064+5717,STI1271,0,1917,2015,76,74,12.1,13.1,12.4,12.8,0,0,0,00 06 20.28,+57 17 22.9,00 06 20.28,+57 17 22.9,-5614062769283714760,7719233770535196930
00064+5714,STI1272,0,1908,2015,348,351,6.5,7.3,11.31,12.1,0,0,0,00 06 24.78,+57 14 38.6,00 06 24.78,+57 14 38.6,-5967157039260695288,8033222352234090621
00064+4938,TDS1292,0,1991,1991,120,120,2.0,2.0,12.07,12.2,0,X,0,00 06 26.95,+49 38 26.3,00 06 26.95,+49 38 26.3,2960500185445692461,-5563806644680950265
00064+4501,UC  320,0,1954,2016,314,313,22.2,22.1,15.8,16.6,0,NV,0,00 06 21.22,+45 01 11.2,00 06 21.22,+45 01 11.2,-4244052362389088477,6631618913975218263
00064+3436,HU 1001,0,1904,2016,177,181,2.0,2.0,8.99,10.71,+33 4835,0,0,00 06 24.29,+34 36 24.9,00 06 24.29,+34 36 24.9,-6198818660128453539,-6371631115267146138
00064-2039,UC  321,0,1996,2016,289,289,10.5,10.5,11.8,16.3,0,V,0,00 06 21.32,-20 39 21.1,00 06 21.32,-20 39 21.1,4267295962102715790,-8401747002463450417
00064-3808,LDS3122,0,1960,2016,190,191,67.0,67.5,14.42,15.48,0,0,0,00 06 25.37,-38 07 17.7,00 06 25.37,-38 07 17.7,8000026614262273988,7182844486196763837
00064-0754,OCC9227,0,2024,2024,214,214,0.0,0.0,11.8,12.1,0,0,0,00 06 26.60,-07 53 55.1,00 06 26.60,-07 53 55.1,-429810014321448589,-5101324260671689864
00065+5526,STI1274,AB,1917,2015,199,196,14.6,14.4,12.24,13.2,0,0,0,00 06 51.62,+55 26 42.8,00 06 51.62,+55 26 42.8,-3057146362265133618,-839130778824187852
00065+5526,MRI  42,AC,1998,2015,321,324,5.2,5.0,11.7,15.2,0,0,0,00 06 51.62,+55 26 42.8,00 06 51.62,+55 26 42.8,-1437451284374286265,-8307869604681200132
00065+5213,A  1252,0,1906,2018,189,188,0.6,0.6,10.52,10.54,+51 3782,0,0,00 06 28.64,+52 13 33.6,00 06 28.64,+52 13 33.6,2985881205121341986,5058847094825729467
00065+1250,TDS1293,0,1991,2015,53,5,0.4,0.4,9.36,9.42,+12 5066,0,0,00 06 31.78,+12 49 53.3,00 06 31.78,+12 49 53.3,-3875689931663847439,-4147903248866632914
00065+0747,GRV   5,0,1919,2015,71,70,67.5,67.0,13.54,13.56,0,0,0,00 06 33.18,+07 47 24.7,00 06 33.18,+07 47 24.7,-8176636340738533090,-8010001357077505121
00065+0550,LDS3123,0,1955,2015,131,131,23.5,23.2,11.05,16.93,0,V,0,00 06 31.78,+05 49 31.4,00 06 31.78,+05 49 31.4,6965705328141960613,-3307175556750105710
00065+0155,HJ 1000,AB,1827,2017,220,205,4.0,7.3,10.36,10.75,+01 4830,W,0,00 06 28.06,+01 55 23.4,00 06 28.06,+01 55 23.4,-4867421602305429804,8683279614007049999
00065-0018,WAA  61,0,2002,2016,335,339,1.3,1.3,17.3,18.0,0,0,0,00 06 32.74,-00 17 53.4,00 06 32.74,-00 17 53.4,3579980286307441518,-511913671250805462
00065-0113,SLE 247,0,1975,2015,229,232,17.5,17.9,11.0,11.0,0,0,0,00 06 33.46,-01 12 39.6,00 06 33.46,-01 12 39.6,-7869684621123071218,-6507912711239757192
00065-0737,CLZ   2,0,1954,2016,299,299,48.4,48.6,14.6,16.5,0,V,0,00 06 29.73,-07 37 07.7,00 06 29.73,-07 37 07.7,223455444510477695,1111472107060652986
00065-4911,SKF 402,0,1903,2016,85,86,10.4,10.3,10.16,9.96,-49    1,V,0,00 06 27.33,-49 10 55.9,00 06 27.33,-49 10 55.9,7127658307815906001,4566787466273251219
00065-5200,TDS1294,0,1991,1991,224,224,2.3,2.3,12.2,13.42,0,X,0,00 06 31.77,-52 00 17.3,00 06 31.77,-52 00 17.3,-7691133145023821232,-6717042544430692479
00065-5224,TDS1295,0,1991,1991,288,288,2.8,2.8,12.42,13.23,0,X,0,00 06 31.16,-52 23 53.3,00 06 31.16,-52 23 53.3,697764043707994372,446900511289357741
00066+7356,SKF2456,0,2000,2016,5,5,7.8,7.7,10.1,15.5,0,V,0,00 06 35.15,+73 56 21.7,00 06 35.15,+73 56 21.7,5192686273381674896,-3989509840518965108
00066+5631,STI1275,0,1917,2015,166,169,8.3,9.7,8.07,12.8,+55 3087,0,0,00 06 35.88,+56 30 52.2,00 06 35.88,+56 30 52.2,1810048209646905944,4328631245824985084
00066+5501,ES  610,0,1908,2015,203,204,4.2,4.2,10.1,11.9,+54 3111,0,0,00 06 35.60,+55 01 18.9,00 06 35.60,+55 01 18.9,1493312303877584748,-3802682837162933146
00066+5100,TDS1296,0,1991,1991,205,205,0.7,0.7,11.42,11.79,0,X,0,00 06 34.14,+51 00 11.4,00 06 34.14,+51 00 11.4,2743095042149241581,-2107871131768433560
00066+4503,TDS1297,0,1991,2019,24,21,2.0,1.9,11.95,12.35,0,0,0,00 06 33.01,+45 02 51.8,00 06 33.01,+45 02 51.8,-7654847968033486322,124624032628665845
00066+4328,COU1351,0,1975,2015,42,42,0.9,0.9,10.78,11.39,+42 4836,0,0,00 06 37.58,+43 28 42.0,00 06 37.58,+43 28 42.0,1104523940792270877,56601513541238274
00066+3537,GRV   6,0,1932,2015,269,270,35.3,34.4,10.94,12.71,0,0,0,00 06 41.29,+35 37 20.1,00 06 41.29,+35 37 20.1,6057019623603200771,239435085406151149
00066+2901,STT 549,AB,1853,2019,244,260,143.1,193.6,6.15,10.34,+28 4704,NL U,0,00 06 36.78,+29 01 17.4,00 06 36.78,+29 01 17.4,-8236306203631291986,-3218440577518289690
00066+2901,ENG   1,"A,CD",1886,2019,182,200,156.4,139.7,6.14,10.7,0,NU,0,00 06 36.78,+29 01 17.4,00 06 36.78,+29 01 17.4,-2281951787903391319,-6184668450233622696
00066+2901,LAF  21,AE,2005,2005,83,83,10.2,10.2,4.6,17.2,+28 4704,N  K,0,00 06 36.78,+29 01 17.4,00 06 36.78,+29 01 17.4,-8965577032749785927,3384927729967075093
00066+2901,BU 1338,CD,1907,2019,210,211,3.3,3.3,11.4,11.5,0,NU,0,00 06 33.49,+28 59 01.8,00 06 33.49,+28 59 01.8,3873524085537944342,2991819856433415970
00066+1554,GWP  12,0,1954,2016,192,192,25.2,25.2,13.22,15.3,0,N,0,00 06 36.48,+15 53 47.3,00 06 36.48,+15 53 47.3,6618050200310857620,-3344984437277406345
00066-0356,SLW   6,0,1954,2016,3,3,8.5,8.7,17.0,17.9,0,V R,0,00 06 33.79,-03 55 44.5,00 06 33.79,-03 55 44.5,3344871149088854506,-3802470894046695483
00066-0435,ZHN  10,0,1996,2015,191,191,20.1,20.1,17.1,18.3,0,V R,0,00 06 33.94,-04 35 11.2,00 06 33.94,-04 35 11.2,2245820863716001596,-7716444792553588137
00066-1101,RST3341,AB,1938,1950,101,95,0.4,0.4,11.0,11.8,-11 6201,0,0,00 06 37.28,-11 01 07.4,00 06 37.28,-11 01 07.4,-1497516986299321381,-2162024590005820891
00066-1101,GAL   3,"AB,C",1901,2016,12,13,7.4,7.2,10.56,10.8,0,0,0,00 06 37.28,-11 01 07.4,00 06 37.28,-11 01 07.4,-2597217494029810440,-7825514558359207302
00066-2324,B     3,0,1925,2016,52,51,6.6,6.5,9.66,13.1,-24    2,0,0,00 06 36.78,-23 24 16.7,00 06 36.78,-23 24 16.7,7305618203925983631,-5697276103310224419
00067+6638,KPP 729,0,1999,2016,354,353,6.4,6.4,12.0,13.3,0,V,0,00 06 43.17,+66 38 07.4,00 06 43.17,+66 38 07.4,6609745354454382875,4933353249243339212
00067+5716,MRI  53,0,1998,2015,308,307,6.6,6.6,13.0,15.3,0,V,0,00 06 43.93,+57 16 20.6,00 06 43.93,+57 16 20.6,-8448268918683802950,320110225407439822
00067+3555,LDS3124,0,1954,1991,350,315,11.5,13.9,17.97,21.2,0,V U,0,00 06 40.34,+35 55 31.8,00 06 40.34,+35 55 31.8,1439434854028334499,1094265660520985569
00067+2850,FYM 562,0,1992,2016,288,289,15.8,16.0,9.1,14.7,+28 4705,V,0,00 06 40.89,+28 49 42.4,00 06 40.89,+28 49 42.4,-25407416138064222,-5582320180736991646
00067+0839,LSC   3,0,2011,2018,16,16,0.6,0.6,11.0,15.0,0,0,0,00 06 43.81,+08 39 25.9,00 06 43.81,+08 39 25.9,-1413971977146260177,5877320330785535743
00067+0827,SLW   7,0,1955,2015,23,23,174.2,174.1,19.5,19.6,0,V R,0,00 06 41.05,+08 27 14.5,00 06 41.05,+08 27 14.5,-4984582768725739715,4337592495195295243
00067-0054,GWP  13,0,1951,2016,91,91,81.7,81.6,15.1,17.1,0,V,0,00 06 44.42,-00 54 12.2,00 06 44.42,-00 54 12.2,-2146090853858115924,8867912196172047864
00067-0706,JNN  11,0,2008,2023,7,198,0.2,0.1,15.0,16.5,0,NV,0,00 06 39.23,-07 05 35.2,00 06 39.23,-07 05 35.2,8127575701124842202,-883570027675782694
00067-0813,LDS5261,0,1954,2015,26,26,83.5,81.4,16.5,18.8,0,0,0,00 06 43.97,-08 13 16.8,00 06 43.97,-08 13 16.8,-5954621180044975888,206780743917471984
00067-3634,KPP2667,0,2015,2016,209,209,2.2,2.2,15.16,15.62,0,T,0,00 06 44.95,-36 33 36.5,00 06 44.95,-36 33 36.5,4549679830520296102,5920083741733714906
00067-4803,CPO 105,0,1904,2016,45,68,1.9,3.6,11.9,12.8,-48    4,0,0,00 06 40.83,-48 02 46.6,00 06 40.83,-48 02 46.6,-8642321655429185463,-278835590859631266
00068+5430,ES  611,0,1899,2019,295,291,10.4,9.9,8.36,10.1,+53 3289,0,0,00 06 47.25,+54 29 58.4,00 06 47.25,+54 29 58.4,-4869031645691465337,8215592591790170017
00068+0427,BU 1155,0,1890,2012,90,76,0.4,0.7,9.88,10.34,+03 4933,0,0,00 06 49.45,+04 27 27.6,00 06 49.45,+04 27 27.6,-2250465916018030730,-611166381334067741
00068-0853,BUG  15,AB,1996,2016,113,113,27.2,27.5,17.53,22.0,0,NV,0,00 06 47.47,-08 52 35.1,00 06 47.47,-08 52 35.1,-1246730987224742560,-7654602148074598672
00068-1210,HU    1,0,1899,2015,104,113,1.1,0.9,10.17,10.94,-12 6613,0,0,00 06 45.39,-12 09 49.5,00 06 45.39,-12 09 49.5,5595173502047866129,-6347830025492642861
00068-2106,RSS  41,0,1920,2024,223,5,35.4,17.2,10.0,11.9,-21    1,NL T,0,00 06 45.50,-21 05 33.0,00 06 45.50,-21 05 33.0,-2877753421721944721,5925684113467654912
00068-2916,LDS2087,0,1954,2015,79,79,68.0,67.0,18.3,21.0,0,U,0,00 06 49.77,-29 15 35.4,00 06 49.77,-29 15 35.4,-7513032259213053482,2902274904072998942
00068-4055,RST1179,0,1931,2015,108,106,1.0,1.3,9.18,13.7,-41    4,S,0,00 06 49.74,-40 54 47.8,00 06 49.74,-40 54 47.8,-2585704426571796523,7645221181659320032
00069+6626,MLR 102,0,1970,1991,104,85,0.2,0.2,9.5,9.5,+65 2001,0,0,00 06 55.30,+66 25 42.0,00 06 55.30,+66 25 42.0,-3637770593255953413,-2690061524460485375
00069+5243,TDS   4,0,1991,2015,178,182,0.8,0.8,11.35,11.77,0,0,0,00 06 52.02,+52 42 55.6,00 06 52.02,+52 42 55.6,2699928096715803287,2611378824908985940
00069+2328,CRB   8,0,1991,2015,161,160,8.1,8.1,12.6,15.1,0,V,0,00 06 55.74,+23 28 21.0,00 06 55.74,+23 28 21.0,8900099445804749306,-7838655744115086957
00069+0702,PLQ   1,0,1912,2016,304,293,7.7,21.0,12.94,13.96,0,0,0,00 06 54.41,+07 01 58.1,00 06 54.41,+07 01 58.1,-6577541541006628783,4875696873965999508
00069+0303,SKF1193,0,2000,2016,61,61,4.2,4.2,12.91,14.1,0,0,0,00 06 58.01,+03 03 18.2,00 06 58.01,+03 03 18.2,-5763742066651414714,-6787073968692732026
00069-3036,HDS  10,0,1910,2015,192,194,18.7,19.8,10.31,12.0,-31    6,0,0,00 06 55.74,-30 36 11.1,00 06 55.74,-30 36 11.1,3262155263782309772,610711922303399331
00070+4820,TDS1298,0,1991,2019,235,233,0.5,0.8,11.19,11.59,+47 4382,0,0,00 07 00.96,+48 20 07.0,00 07 00.96,+48 20 07.0,1246914206829246339,9207452712496368957
00070+3252,TOK 442,0,1980,2014,332,332,999.9,999.9,9.61,16.16,0,0,0,00 07 00.65,+32 52 12.4,00 07 00.65,+32 52 12.4,-1314227942113779889,-6171245319846825662
00070+0303,GWP  14,0,1951,2016,136,136,10.0,10.3,16.1,18.0,0,N  R,0,00 06 58.80,+03 03 00.1,00 06 58.80,+03 03 00.1,-8976598387612660351,1977400835188585498
00070-1837,UC  322,0,1951,2016,64,63,44.4,44.7,12.5,15.28,0,V,0,00 06 57.58,-18 36 54.4,00 06 57.58,-18 36 54.4,-364215044578344817,-1455137838279879048
00071+6309,MLR 105,"Aa,Ab",1970,2016,49,46,0.6,0.6,10.53,10.65,0,N,0,00 07 10.37,+63 09 23.0,00 07 10.37,+63 09 23.0,9003934389239189963,7792845611989866783
00071+6309,ES 1934,AB,1913,2016,77,69,4.0,7.3,9.2,10.8,0,N,0,00 07 10.37,+63 09 23.0,00 07 10.37,+63 09 23.0,-326486218783620474,6696654589020190207
00071+5507,STI1278,0,1917,2015,108,113,14.9,13.2,12.8,14.7,0,0,0,00 07 01.45,+55 07 10.2,00 07 01.45,+55 07 10.2,2590876633503671315,851236667186532046
00071+3614,ALI  12,0,1932,2015,284,285,14.2,14.4,11.05,12.3,0,0,0,00 07 05.17,+36 14 06.0,00 07 05.17,+36 14 06.0,5966196795138793547,126846666077395585
00071+2846,SKF1817,0,2003,2015,164,160,1.7,1.6,19.9,20.26,0,0,0,00 07 03.55,+28 45 43.3,00 07 03.55,+28 45 43.3,-1237061123201729248,8546740882005941727
00071-1551,HDS  11,0,1991,2018,201,267,0.3,0.4,8.86,11.76,-16 6419,0,0,00 07 07.57,-15 51 00.3,00 07 07.57,-15 51 00.3,-8980361942146288412,-6235085801694060371
00071-4152,TDS1299,0,1991,1991,269,269,1.7,1.7,12.02,12.13,0,X,0,00 07 05.95,-41 52 26.9,00 07 05.95,-41 52 26.9,-5373649503480812812,4273130773224909174
00072+4723,ES 1193,AB,1913,2021,71,65,2.6,2.3,10.83,11.72,+46 4261,0,0,00 07 11.93,+47 24 46.9,00 07 11.93,+47 24 46.9,5386350403062316008,-2071889060733157426
00072+4723,ES 1193,AC,2016,2016,353,353,9.2,9.2,10.83,14.3,0,0,0,00 07 11.93,+47 24 46.9,00 07 11.93,+47 24 46.9,-8220874982088312068,6925083782831600551
00072+4306,TDS1300,0,1991,1991,272,272,0.8,0.8,11.58,11.94,0,X,0,00 07 11.91,+43 06 01.3,00 07 11.91,+43 06 01.3,-911834395417070483,-1524962887924005286
00072+2752,SKF1818,0,1954,2016,44,43,6.1,6.4,18.3,19.9,0,0,0,00 07 10.11,+27 51 59.7,00 07 10.11,+27 51 59.7,-4700397218734449789,-6542726150079920062
00073+5241,LDS5262,0,1960,2016,174,178,3.0,4.1,13.3,16.6,0,0,0,00 07 19.48,+52 41 31.4,00 07 19.48,+52 41 31.4,-8331137328427021485,2649974865236715732
00073+3741,ES 1935,0,1922,2021,134,138,8.6,9.0,9.7,12.2,+36 5155,0,0,00 07 18.68,+37 40 34.6,00 07 18.68,+37 40 34.6,-8903410633307631667,-3254055391662564754
00073+2058,HDS  12,0,1991,2021,165,0,3.1,3.9,9.22,11.53,+20 5430,NL,0,00 07 18.15,+20 57 54.3,00 07 18.15,+20 57 54.3,3964291005738486223,-2561720380583587204
00073+0742,HDS  13,0,1991,2012,321,322,0.4,0.4,8.04,9.08,+06 5243,0,0,00 07 18.38,+07 42 12.9,00 07 18.38,+07 42 12.9,-6864919183371765911,-7281541013863574487
00073+0526,TDS1301,0,1991,1991,237,237,0.5,0.5,10.47,10.58,+04 5090,X,0,00 07 15.29,+05 25 47.7,00 07 15.29,+05 25 47.7,4367976903559451478,-4058686928819318945
00073-0235,SKF1819,0,1954,2016,244,245,4.9,5.3,17.8,18.9,0,V,0,00 07 20.50,-02 34 53.8,00 07 20.50,-02 34 53.8,3224059235295921035,-3365726955358162565
00073-4153,CRU9001,0,1879,2015,3,10,75.0,79.8,8.2,10.4,-42    3,0,0,00 07 15.38,-41 53 22.4,00 07 15.38,-41 53 22.4,-8071596319398563805,2738920267128683179
