WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,ra,dec,_RA.icrs,_DE.icrs,framework_id,frame_hash
00003-0654,LDS6079,0,1954,2015,1,1,155.7,159.3,17.9,18.2,0,U,0,00 00 24.21,-06 54 36.3,00 00 24.21,-06 54 36.3,-9103806241134330113,-5539131177187108747
00003-0941,RST4137,0,1937,2016,41,43,0.7,1.0,10.9,11.5,-10 6210,0,0,00 00 16.31,-09 41 28.1,00 00 16.31,-09 41 28.1,7776822288094437384,-6680740101225429462
00003-4118,SKF1140,0,1964,2016,290,290,17.4,17.3,9.3,18.0,-4115375,V,0,00 00 20.62,-41 17 52.1,00 00 20.62,-41 17 52.1,801780207350016201,-101991860995688891
00003-4417,I  1477,0,1926,2022,261,183,0.5,0.2,6.8,7.56,-4415420,O,0,00 00 19.10,-44 17 26.0,00 00 19.10,-44 17 26.0,-1822342910404344718,4582412123894040392
00004+7305,HJ 3231,AB,1831,2015,278,282,8.0,23.4,11.11,14.0,+72 1133,0,0,00 00 22.42,+73 04 56.1,00 00 22.42,+73 04 56.1,-2117500249296385588,-5906697879243104606
00004+7305,HJ 3231,AC,1831,2018,301,296,25.0,44.9,11.11,11.86,0,0,0,00 00 22.42,+73 04 56.1,00 00 22.42,+73 04 56.1,3749857543360061768,6158696625567142296
00004+7139,KPP  45,0,1999,2016,110,110,4.9,4.9,13.6,14.3,0,V,0,00 00 24.84,+71 38 45.3,00 00 24.84,+71 38 45.3,4144869486449732048,3648549056400834665
00004+6026,STI1248,0,1898,2019,43,48,12.9,12.4,10.37,10.78,+59 2807,W,0,00 00 24.78,+60 25 31.2,00 00 24.78,+60 25 31.2,-8837279651049696877,-7562629364816812077
00004+5044,HJ 1923,0,1828,2015,276,279,6.0,11.5,11.65,12.14,0,0,0,00 00 23.63,+50 44 20.3,00 00 23.63,+50 44 20.3,-7041799445617651247,2829247241159484469
00004+3549,CRB  23,0,1954,2016,155,155,37.4,37.2,12.9,15.6,0,V,0,00 00 23.33,+35 48 40.8,00 00 23.33,+35 48 40.8,6561939142300504330,-8422163669645353104
00004+2749,TDS1238,0,1991,2016,84,88,1.0,0.8,11.7,11.71,+27 4659,0,0,00 00 23.43,+27 48 40.8,00 00 23.43,+27 48 40.8,-3991312087280716928,-1340337728434005936
00004+2430,SKF1062,0,2004,2016,128,126,1.5,1.4,14.9,15.8,0,0,0,00 00 26.45,+24 29 31.2,00 00 26.45,+24 29 31.2,2008302843385040821,8226699561161037897
00004+0830,BU  732,AB,1878,2017,152,153,6.1,6.0,10.05,12.2,+07 5114,0,0,00 00 25.49,+08 30 07.9,00 00 25.49,+08 30 07.9,5956548570007280771,-6975129544866074795
00004+0830,BU  732,AC,1897,2016,143,142,152.2,153.1,10.05,8.47,+07 5115,S,0,00 00 25.49,+08 30 07.9,00 00 25.49,+08 30 07.9,4222779772082188826,-4751111078610211013
00004-0902,LDS6080,0,1954,2016,262,261,15.7,16.0,16.9,17.8,0,0,0,00 00 25.63,-09 02 40.4,00 00 25.63,-09 02 40.4,-8421324136620876664,2087788414503831260
00004-1052,SKF 496,0,1954,2016,16,16,16.0,16.1,18.9,20.1,0,V,0,00 00 22.54,-10 51 42.2,00 00 22.54,-10 51 42.2,-1746245435202541832,-6531085537140527939
00004-4711,HDS   1,0,1991,2021,332,333,0.2,0.2,10.97,11.75,-4714771,0,0,00 00 25.28,-47 10 46.5,00 00 25.28,-47 10 46.5,8026519247123351160,6707735538314793632
00005+7822,HEI 901,0,1978,1995,145,146,0.2,0.2,11.7,11.8,+77  932,0,0,00 00 31.54,+78 20 51.3,00 00 31.54,+78 20 51.3,2230866046143428280,6903374975836904508
00005+6713,HJ 1924,0,1828,2016,225,225,6.0,8.0,10.83,11.05,+66 1669,0,0,00 00 29.27,+67 13 00.4,00 00 29.27,+67 13 00.4,5951104094187522966,408019795050038981
00005+5902,STI3079,AB,1910,2015,123,124,14.4,14.3,13.9,13.9,0,0,0,00 00 32.59,+59 02 39.6,00 00 32.59,+59 02 39.6,-1858785332282547690,870370846639159918
00005+5902,MRI  51,AC,1999,2015,333,332,5.5,5.5,12.3,14.3,0,0,0,00 00 32.59,+59 02 39.6,00 00 32.59,+59 02 39.6,-6919960713513720745,-2355574353460974990
00005+5700,STI3077,0,1917,2015,116,116,6.7,6.0,13.5,13.4,0,0,0,00 00 31.05,+57 00 51.6,00 00 31.05,+57 00 51.6,-4667848678426058282,5326204220156940026
