WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,ra,dec,_RA.icrs,_DE.icrs,frame_hash
00000+7530,A  1248,,1904,1982,246,235,0.8,0.6,10.27,11.5,+74 1056,,,00 00 06.64,+75 28 59.8,00 00 06.64,+75 28 59.8,6713547864349925764
00000+4004,ES 2543,AB,1931,2015,252,253,4.8,4.4,12.1,13.1,,,,00 00 03.66,+40 05 19.4,00 00 03.66,+40 05 19.4,6954774106390277361
00000+4004,ES 2543,AC,1931,2015,69,66,20.0,14.4,12.1,14.1,,,,00 00 03.66,+40 05 19.4,00 00 03.66,+40 05 19.4,1873780537059611486
00000+3852,BU  860,,1881,2016,107,107,6.7,6.6,6.62,11.4,+38 5108,,,00 00 01.20,+38 51 33.4,00 00 01.20,+38 51 33.4,-8627031810362334363
00000+0044,SKF1115,,2001,2015,33,30,0.8,1.0,17.8,17.8,,,,23 59 59.85,+00 43 32.7,23 59 59.85,+00 43 32.7,-6927650652811481503
00000-0530,OCC 622,,1982,1982,-1,-1,0.1,0.1,9.5,9.7,-06 6337,,,00 00 00.08,-05 29 39.7,00 00 00.08,-05 29 39.7,-3066826203551516307
00001+7727,LOC 122,,2000,2016,249,249,8.2,8.1,14.1,16.6,,T,,00 00 08.32,+77 26 37.0,00 00 08.32,+77 26 37.0,-6640772999149782057
00001+5400,ES  704,,1908,2021,119,116,5.5,4.3,9.5,11.5,,,,00 00 06.84,+54 00 00.2,00 00 06.84,+54 00 00.2,5894389882741684489
00001+3617,GII  75,,2013,2022,220,220,1.0,1.0,10.9,11.8,,,,00 00 06.81,+36 16 58.8,00 00 06.81,+36 16 58.8,5019427558981924769
00001+2329,SLW9018,,2009,2016,91,92,2.1,2.1,16.7,17.1,,,,00 00 07.96,+23 29 23.3,00 00 07.96,+23 29 23.3,344350382222155468
