PGC,RAJ2000,DEJ2000,OType,MType,logD25,logR25,PA,ANames
2012302,00 00 04.7,+32 47 11,G,,0.49,0.04,,
1045312,00 00 04.7,-05 23 34,G,,0.55,0.08,59.0,
143106,00 00 04.7,+00 46 54,G,,0.6,0.17,130.0,
485907,00 00 04.8,-48 35 01,G,,0.46,0.35,148.0,
842368,00 00 04.9,-20 23 40,G,,0.38,0.21,107.0,
241481,00 00 04.9,-76 06 48,G,,0.6,0.28,4.0,
639823,00 00 04.9,-36 10 58,G,,0.51,0.4,156.0,
829250,00 00 04.9,-21 21 51,G,,0.35,0.05,,
409805,00 00 05.0,-55 23 50,G,,0.44,0.24,144.0,
8,00 00 05.1,-77 20 12,GM,,0.5,0.25,85.0,(ESO12-11)            ESO-LV120112
15,00 00 05.1,-05 12 34,G,Sc,0.82,0.0,,MCG-1-01-015
803029,00 00 05.1,-23 14 39,G,,0.59,0.06,72.0,
868555,00 00 05.2,-18 24 16,G,,0.37,0.16,93.0,
1815123,00 00 05.2,+27 41 00,G,,0.78,0.5,130.0,
754212,00 00 05.2,-27 29 15,G,,0.55,0.12,166.0,
505166,00 00 05.3,-47 11 40,G,,0.46,0.34,53.0,
674186,00 00 05.4,-33 35 47,G,,0.56,0.08,89.0,
1344920,00 00 05.5,+08 20 38,G,,0.61,0.17,171.0,
1828876,00 00 05.6,+28 11 30,G,,0.64,0.35,87.0,
305939,00 00 05.6,-66 17 36,G,,0.54,0.42,46.0,
1124039,00 00 05.6,-01 12 58,G,,0.5,0.13,79.0,
352023,00 00 05.7,-61 49 43,G,,0.38,0.06,26.0,
490478,00 00 05.7,-48 10 01,G,,0.42,0.07,67.0,
199318,00 00 05.8,-35 39 21,G,,0.67,0.31,144.0,DUKST349-64
407967,00 00 05.9,-55 34 42,G,,0.56,0.09,154.0,
568532,00 00 05.9,-42 05 02,G,,0.42,0.17,14.0,
1714178,00 00 05.9,+24 42 20,G,,0.41,0.17,53.0,
544278,00 00 06.0,-43 48 58,G,,0.45,0.35,122.0,
2437857,00 00 06.0,+53 19 29,G,,0.58,0.1,55.0,
1593955,00 00 06.0,+19 28 59,G,,0.36,0.05,96.0,
1484403,00 00 06.1,+15 25 48,G,,0.63,0.32,143.0,
3094158,00 00 06.1,-18 31 32,G,,,,,NPM1G-18.0637
1829164,00 00 06.1,+28 12 08,G,,0.75,0.38,169.0,
843187,00 00 06.1,-20 20 03,G,,0.39,0.1,67.0,
1002429,00 00 06.1,-08 32 22,G,,0.47,0.4,112.0,
143108,00 00 06.3,-31 51 09,G,,,,,
904436,00 00 06.4,-15 56 41,G,,0.44,0.14,153.0,
