RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,FG,e_FG,Gmag,FBP,e_FBP,BPmag,FRP,e_FRP,RPmag,BP-RP,RV,e_RV,Vbroad,GRVSmag,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,And,Teff,logg,[Fe/H],Dist,A0,HIP,PS1,SDSS13,SKYM2,TYC2,URAT1,AllWISE,APASS9,GSC23,RAVE5,2MASS,RAVE6,ra,dec,frame_hash
45.87842992356,4.39248531952,3668490481925248,0.246,0.2458,2.0992,0.3209,6.955,0.711,0.3,6.919,0.301,0.905,485.39312,1.5708,18.972134,90.228,15.37,20.450186,581.63,15.783,17.836275,2.613911,,,,,0,0,0,0,0,0,0,0,1,0,0,3220.4,4.7439,-1.0824,317.9703,0.0237,,1.1327045878369144e+17,1.2376786625177848e+18,,,,J030330.81+042332.7,,NC27007549,,03033081+0423327,,45.87842675578,4.39245457026,3653617618765472249
45.93564908152,4.40069502393,3668731000101760,0.06,0.0496,1.3613,0.0661,3.154,-1.298,0.076,-2.875,0.069,1.331,6010.81992,9.2543,16.240032,2409.4,20.468,16.883764,6222.8,20.963,15.262925,1.620839,,,,,0,0,0,1,0,0,0,0,1,1,0,4475.0,4.4752,-0.7362,635.512,0.8008,,1.1328045935578128e+17,1.2376786625177848e+18,,,URAT1-473010744,J030344.54+042402.6,,NC27007678,,03034453+0424024,,45.93565486573,4.40070780249,-3017883143041978208
45.93448719029,4.40254189782,3668726704986368,0.3081,0.2422,0.2553,0.3241,5.366,5.358,0.368,-0.3,0.316,1.054,379.8157,1.3328,19.238434,106.08,9.1088,20.2745,363.42,9.8951,18.346874,1.927626,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.1328045934425346e+17,1.2376786625177848e+18,,,,,,NC27007702,,03034424+0424090,,45.93446330655,4.40254323,-8767997976819005589
45.94028109184,4.40424449458,3668731000093312,0.0315,0.026,1.7396,0.0377,49.373,48.388,0.036,9.816,0.032,0.94,13371.61093,4.7902,15.371907,5902.7,22.819,15.910915,10634.0,19.762,14.681169,1.229746,,,,,0,0,0,1,0,0,0,0,1,1,0,4918.2,4.6862,-0.5749,507.6273,0.3752,,1.132804594017855e+17,1.2376786625177846e+18,,,URAT1-473010746,J030345.64+042415.2,,NC27000291,,03034560+0424149,,45.94006539835,4.40420086966,-3240961889788281200
45.92973854083,4.40615942521,3668726704992640,0.1893,0.1513,0.7238,0.2041,3.674,3.381,0.223,1.436,0.195,1.005,700.99384,1.5249,18.573082,276.82,10.461,19.233047,589.48,18.138,17.821718,1.411329,,,,,0,0,0,0,0,0,0,0,1,0,0,4261.0,4.905,-1.399,1115.3464,0.0053,,1.1328045929677781e+17,1.2376786625177848e+18,,,,J030343.12+042422.4,,NC27007808,,03034311+0424219,,45.92972346837,4.40615304265,4054896359510349012
45.9289349149,4.40765381961,3668726704992512,0.2409,0.2111,0.1495,0.2893,20.369,19.036,0.295,-7.247,0.27,1.056,535.38137,1.4637,18.86571,282.3,14.679,19.211779,377.68,12.388,18.305088,0.906691,,,,,0,0,0,0,0,0,0,0,1,0,0,5013.0,4.7952,-1.9083,2445.9807,0.0046,,1.1328045928851962e+17,1.2376786625177848e+18,,,,,,NC27007807,,,,45.92885005993,4.40768602764,1747330553984224293
45.91623345729,4.4066910627,3668829784206848,0.087,0.079,0.2843,0.1043,4.113,-2.749,0.104,-3.059,0.097,1.069,2057.80902,2.314,17.403854,1066.0,11.554,17.769114,1400.5,15.398,16.882217,0.886896,,,,,0,0,0,0,0,0,0,0,1,1,0,5481.6,4.7356,-1.5783,1794.2004,0.0027,,1.1328045916174845e+17,1.2376786625177846e+18,,,,J030339.91+042424.0,,NC27007794,,03033988+0424239,,45.91624571223,4.40670465841,-6397839503015088299
45.92145106469,4.4155522467,3668937158523264,0.0218,0.0192,0.8062,0.0274,9.799,9.737,0.026,1.101,0.023,1.023,30358.95367,8.5009,14.481649,15543.0,28.82,14.85974,21098.0,24.012,13.937309,0.922431,48.21,7.33,,13.689793,0,0,0,0,0,0,0,0,1,1,0,5565.7,4.2292,-0.4011,1088.9598,0.189,,1.1329045921378909e+17,1.237678623857967e+18,,,URAT1-473010740,J030341.14+042455.9,16025.0,NC27000289,,03034112+0424558,,45.92140766245,4.41554735142,-7279348050352201209
45.91807686882,4.42321398266,3669001582907648,12.3138,17.4916,,,,,,,,,58.21783,2.3633,21.274727,147.47,18.302,19.916805,338.04,29.19,18.425465,1.491341,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.1330045917957834e+17,1.2376786238579674e+18,,,,J030340.33+042523.5,,NC27007980,,03034031+0425235,,45.91807686882,4.42321398266,1798600593829763854
45.83623182039,4.37023092888,3669074597478784,0.1443,0.1544,0.4823,0.1801,2.242,-0.171,0.2,-2.235,0.208,0.903,1113.18304,1.9574,18.07095,544.82,10.099,18.497915,819.68,16.931,17.46379,1.034124,,,,,0,0,0,0,0,0,0,0,1,1,0,4984.3,4.7873,-1.5331,1685.5543,0.0046,,1.1324045836180475e+17,1.2376786625177193e+18,,,,J030320.69+042212.9,,NC27007311,,03032069+0422129,,45.83623258155,4.37024086389,-3556183744095532484
45.8269117135,4.37606669095,3669074597113728,1.5213,1.4657,,,,,,,,,125.07264,1.2047,20.444462,60.8,13.335,20.878782,129.64,12.407,19.466085,1.412697,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.1325045826878171e+17,1.2376786625177196e+18,,,,,,NC27011622,,,,45.8269117135,4.37606669095,2920169482924513447
45.85534254759,4.39837893079,3669212036431360,0.0753,0.0836,0.4421,0.1077,6.322,6.18,0.102,1.33,0.102,1.17,3791.9593,3.2755,16.740208,1857.9,17.795,17.166008,2760.7,16.031,16.145367,1.020641,,,,,0,0,0,0,0,0,0,0,1,1,0,5020.0,4.7754,-1.59,948.7335,0.0181,,1.1327045855278851e+17,1.237678662517719e+18,,,URAT1-472010199,J030325.27+042354.3,,NC27007637,,03032526+0423541,,45.85531499844,4.39837302047,-7762104362598089997
45.84208683458,4.40771643784,3669280755907968,0.204,0.2186,2.01,0.2756,18.67,-11.471,0.267,-14.73,0.262,6.115,9196.94494,30.497,15.778258,3150.1,19.676,16.59273,9690.3,23.676,14.78205,1.810679,,,,,0,0,0,0,0,0,0,0,0,1,0,4233.0,4.5841,-0.0001,382.6679,0.8136,,1.1328045842033973e+17,1.2376786625177193e+18,,,URAT1-473010730,J030322.08+042427.8,16026.0,NC27007832,,03032210+0424279,,45.84213796834,4.40778190482,6498437721049636460
45.85899120371,4.40953547955,3669315115645824,0.1077,0.1114,2.0632,0.1462,6.484,6.447,0.133,0.687,0.136,0.963,2124.30822,3.5385,17.369324,478.84,13.978,18.638065,2428.3,11.841,16.284653,2.353413,,,,,0,0,0,0,0,0,0,0,1,1,0,3598.2,4.4341,-0.6806,473.813,0.7728,,1.1329045858921189e+17,1.2376786625177193e+18,,,URAT1-473010732,J030326.15+042434.3,,NC27007831,,03032614+0424342,,45.85896246347,4.40953242615,-2718596894235107053
