ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,pxpa,pxcntr,gal_contam,mp_flg,cntr,hemis,xdate,scan,glon,glat,x,y,z,x_scan,jdate,j_psfchi,h_psfchi,k_psfchi,j_m_stdap,j_msig_stdap,h_m_stdap,h_msig_stdap,k_m_stdap,k_msig_stdap,dist_edge_ns,dist_edge_ew,dist_edge_flg,dup_src,use_src,a,dist_opt,phi_opt,b_m_opt,vr_m_opt,nopt_mchs,ext_key,scan_key,coadd_key,coadd,htm20,framework_id,frame_hash
10.661021,41.247089,0.22,0.21,93,00423864+4114495,13.879,0.0,0.0,0.0,13.173,0.0,0.0,0.0,14.464,0.1748,0.175,14.82,UUC,2,1,000,4,4.3,39,1287660375,2,0,1287660384,n,1997-10-24,8,121.154323,-21.594181,0.738895130496,0.139095124932,0.659307615874,153.47,2450745.8589,0.0,0.0,1.71,0.0,0.0,0.0,0.0,14.493,0.332,2757.4,97.4,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679610863104,-242232707933466551,1572548357754264226
10.660336,41.244743,0.23,0.22,111,00423848+4114410,14.0,0.0,0.0,0.0,13.408,0.0,0.0,0.0,14.694,0.1829,0.1831,11.99,UUC,662,2,00c,5,1.9,185,1287660434,2,0,1287660424,n,1997-10-24,8,121.153676,-21.596506,0.738923322491,0.139091284763,0.65927682955,155.33,2450745.8589,0.0,0.0,1.01,0.0,0.0,0.0,0.0,15.225,0.282,2765.9,95.5,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679610935808,-3646643169745428502,-8976443809331750189
10.671219,41.238686,0.22,0.2,89,00424109+4114192,14.272,0.0,0.0,0.0,13.517,0.0,0.0,0.0,14.459,0.1728,0.173,14.89,UUC,2,1,000,5,1.6,136,1287660521,2,0,1287660517,n,1997-10-24,8,121.162233,-21.602859,0.738965375321,0.139244541328,0.659197339032,125.89,2450745.8589,0.0,0.0,1.37,0.0,0.0,0.0,0.0,15.302,0.359,2787.5,125.0,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679611250688,-4576455320721072904,-8256481594889280074
10.669552,41.239624,0.18,0.16,91,00424069+4114226,14.37,0.0,0.0,0.0,15.38,0.2199,0.2201,10.52,14.614,0.1637,0.1639,12.91,UDC,22,11,000,505,5.6,127,1287660517,2,0,1287660506,n,1997-10-24,8,121.160923,-21.601876,0.738958820912,0.13922104327,0.659209649586,130.4,2450745.8589,0.0,1.41,1.57,0.0,0.0,17.066,1.579,15.934,1.407,2784.1,120.5,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679611599360,5921951782728032726,-1310281519104727765
10.665601,41.240902,0.21,0.2,30,00423974+4114272,15.799,0.1458,0.1463,15.59,13.245,0.0,0.0,0.0,13.089,0.0,0.0,0.0,BUU,200,100,c00,50000,2.6,205,1287660495,2,0,1287660483,n,1997-10-24,8,121.15778,-21.60049,0.738953969519,0.139167364469,0.659226422103,141.09,2450745.8589,1.43,0.0,0.0,14.994,0.182,0.0,0.0,0.0,0.0,2779.6,109.8,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679612272640,-2358596358142688724,9171043094431446643
10.665223,41.241932,0.25,0.24,11,00423965+4114309,15.691,0.184,0.1844,17.22,13.463,0.0,0.0,0.0,13.253,0.0,0.0,0.0,CUU,200,100,000,50000,3.8,165,1287660483,2,0,1287660467,n,1997-10-24,8,121.157515,-21.59945,0.738943241396,0.139160296072,0.659239939621,142.11,2450745.8589,1.47,0.0,0.0,15.279,0.227,0.0,0.0,0.0,0.0,2775.9,108.7,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679612367872,3163150491566110510,-7130754651090932702
10.672209,41.252857,0.22,0.21,8,00424133+4115102,15.08,0.1629,0.1633,30.23,12.186,0.0,0.0,0.0,11.96,0.0,0.0,0.0,CUU,266,200,c00,50000,2.2,124,1287660288,2,0,1287660284,n,1997-10-24,8,121.16359,-21.588725,0.738802727099,0.139227112138,0.659383304063,123.17,2450745.8589,1.98,0.0,0.0,14.226,0.052,0.0,0.0,0.0,0.0,2736.4,127.7,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679613328896,1646021294884437976,-1277701632483510388
10.672878,41.252518,0.18,0.17,38,00424149+4115090,14.988,0.1185,0.1191,32.9,12.228,0.0,0.0,0.0,11.988,0.0,0.0,0.0,BUU,266,200,c00,50000,2.2,304,1287660284,2,0,1287660288,n,1997-10-24,8,121.164117,-21.589082,0.738804935244,0.139236461109,0.659378855861,121.36,2450745.8589,3.52,0.0,0.0,14.261,0.082,0.0,0.0,0.0,0.0,2737.6,129.5,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679613393408,2005520282112870825,-1170234511474016973
10.67109,41.252468,0.14,0.13,69,00424106+4115088,15.153,0.1448,0.1453,28.26,14.193,0.1352,0.1355,31.38,12.094,0.0,0.0,0.0,BBU,220,120,cc0,50500,3.3,65,1287660284,2,0,1287660290,n,1997-10-24,8,121.162671,-21.589083,0.738809845431,0.139213512085,0.659378199782,126.2,2450745.8589,1.27,4.87,0.0,14.272,0.137,13.332,0.055,0.0,0.0,2737.9,124.6,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679613500928,-5325591004628919463,7512110736892805566
10.673117,41.250687,0.23,0.2,73,00424154+4115024,13.206,0.0,0.0,0.0,14.415,0.1877,0.1879,25.58,12.27,0.0,0.0,0.0,UCU,26,20,0c0,500,4.3,94,1287660336,2,0,1287660332,n,1997-10-24,8,121.164238,-21.590918,0.738825061269,0.139243445447,0.659354829922,120.72,2450745.8589,0.0,2.18,0.0,0.0,0.0,13.685,0.064,0.0,0.0,2744.2,130.1,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679613672960,-536134695525270992,1160701029423921960
