galaxy,morphology,n_points,r_min,r_max,a0_inner,a0_inner_err,a0_outer,a0_outer_err,ratio,ratio_err,z_score,p_value,interpretation,success,reason
UGC05253,spiral,73.0,0.13,53.29,1.274274985703132e-10,5.8682531729104654e-12,7.847599703514623e-11,3.6139532186194533e-12,1.6237767391887175,0.10575161244338391,5.898508067880932,1.8340151619611333e-09,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
UGC05750,spiral,,,,,,,,,,,,,False,Scale dependence failed
UGC06446,spiral,17.0,0.58,10.22,3.3598182862837877e-10,1.5472535002331705e-11,1.274274985703132e-10,5.8682531729104654e-12,2.6366508987303665,0.17171700841726836,9.531093709443986,0.0,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
UGC06786,spiral,45.0,0.16,34.05,3.3598182862837877e-10,1.5472535002331705e-11,3.3598182862837877e-10,1.5472535002331705e-11,1.0,0.06512694134060588,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
UGC06787,spiral,71.0,0.12,37.19,2.069138201897372e-10,9.528733558066787e-12,3.3598182862837877e-10,1.5472535002331705e-11,0.6158482470151667,0.04010831265807173,-9.577858741148598,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
UGC07524,spiral,31.0,0.35,10.69,1.274274985703132e-10,5.8682531729104654e-12,7.847599703514623e-11,3.6139532186194533e-12,1.6237767391887175,0.10575161244338391,5.898508067880932,1.8340151619611333e-09,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
UGC08490,spiral,30.0,0.34,10.15,2.0854593947860676e-10,9.60389542895757e-12,1.3863546556681286e-10,6.3843991274886525e-12,1.504275537474946,0.0979688646892392,5.147304085583989,1.3212838123610737e-07,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
UGC09133,spiral,68.0,0.32,108.31,7.847599703514623e-11,3.6139532186194533e-12,7.847599703514623e-11,3.6139532186194533e-12,1.0,0.06512694134060588,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
UGC11820,spiral,10.0,0.26,15.82,7.847599703514623e-11,3.6139532186194533e-12,4.832930238571752e-11,2.2256466245630947e-12,1.6237767391887243,0.10575161244338435,5.898508067880972,1.8340151619611333e-09,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
UGC12506,spiral,31.0,0.82,49.99,3.3598182862837877e-10,1.5472535002331705e-11,1.274274985703132e-10,5.8682531729104654e-12,2.6366508987303665,0.17171700841726836,9.531093709443986,0.0,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
UGC12632,spiral,15.0,0.71,10.66,1.274274985703132e-10,5.8682531729104654e-12,7.847599703514623e-11,3.6139532186194533e-12,1.6237767391887175,0.10575161244338391,5.898508067880932,1.8340151619611333e-09,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
UGC12732,spiral,16.0,0.96,15.4,2.0691380811147902e-10,9.528733001842442e-12,7.847599703514623e-11,3.6139532186194533e-12,2.6366508987303554,0.17171700841726764,9.531093709443962,0.0,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
