r_kpc,v_obs,v_obs_err,v_gas,v_disk,v_bulge,sb_disk,sb_bulge,galaxy,source_type,dist,inc,lum,type
16.95,110.0,4.9,36.53,56.23,0.0,0.5,0.0,NGC4183,LTG,,,,
17.88,109.0,4.9,37.39,54.53,0.0,0.34,0.0,NGC4183,LTG,,,,
18.93,110.0,5.3,36.86,52.76,0.0,0.26,0.0,NGC4183,LTG,,,,
19.97,112.0,10.2,35.67,51.32,0.0,0.18,0.0,NGC4183,LTG,,,,
21.02,113.0,11.5,35.35,49.87,0.0,0.0,0.0,NGC4183,LTG,,,,
0.21,55.5,7.21,5.41,32.3,0.0,541.3,0.0,NGC4214,LTG,,,,
0.63,63.2,5.22,13.09,52.43,0.0,190.53,0.0,NGC4214,LTG,,,,
1.04,66.6,7.97,16.91,57.12,0.0,90.51,0.0,NGC4214,LTG,,,,
1.46,70.5,4.62,16.91,56.92,0.0,39.5,0.0,NGC4214,LTG,,,,
1.88,76.1,4.69,16.7,53.72,0.0,15.63,0.0,NGC4214,LTG,,,,
2.3,78.8,4.52,15.77,48.94,0.0,7.49,0.0,NGC4214,LTG,,,,
2.71,80.1,6.65,14.85,45.52,0.0,3.28,0.0,NGC4214,LTG,,,,
3.14,80.1,6.28,13.92,42.09,0.0,1.41,0.0,NGC4214,LTG,,,,
3.55,80.1,5.09,13.09,39.26,0.0,0.63,0.0,NGC4214,LTG,,,,
3.96,80.4,5.4,12.99,36.87,0.0,0.28,0.0,NGC4214,LTG,,,,
4.38,80.1,7.58,12.99,34.8,0.0,0.13,0.0,NGC4214,LTG,,,,
4.8,80.4,8.9,13.09,33.03,0.0,0.05,0.0,NGC4214,LTG,,,,
5.22,80.6,9.37,13.09,31.53,0.0,0.02,0.0,NGC4214,LTG,,,,
5.63,80.6,9.37,13.92,30.23,0.0,0.0,0.0,NGC4214,LTG,,,,
0.87,47.8,8.2,3.06,22.47,153.43,149.17,3961.96,NGC4217,LTG,,,,
1.74,98.9,8.2,12.07,39.91,217.64,130.84,2479.37,NGC4217,LTG,,,,
2.61,146.0,7.7,14.22,54.38,259.32,114.76,1223.98,NGC4217,LTG,,,,
3.5,164.0,6.4,13.58,67.47,273.94,99.78,265.76,NGC4217,LTG,,,,
4.37,174.0,5.95,15.41,76.15,256.31,85.76,44.82,NGC4217,LTG,,,,
5.24,175.0,6.0,20.15,86.2,236.55,77.15,7.58,NGC4217,LTG,,,,
6.11,184.0,6.4,23.71,98.08,219.32,66.37,1.29,NGC4217,LTG,,,,
6.98,185.0,6.4,21.44,106.18,205.28,49.85,0.22,NGC4217,LTG,,,,
7.85,188.0,6.65,24.46,114.52,193.65,30.1,0.04,NGC4217,LTG,,,,
8.72,190.0,7.35,27.91,106.83,183.73,8.06,0.01,NGC4217,LTG,,,,
9.6,191.0,6.4,30.71,97.81,175.09,4.44,0.0,NGC4217,LTG,,,,
10.47,191.0,5.55,32.87,91.79,167.63,3.82,0.0,NGC4217,LTG,,,,
11.35,189.0,5.95,33.95,87.56,161.03,3.27,0.0,NGC4217,LTG,,,,
12.19,186.0,6.85,32.87,84.33,155.43,2.45,0.0,NGC4217,LTG,,,,
13.12,183.0,6.4,32.44,81.01,149.82,1.62,0.0,NGC4217,LTG,,,,
13.94,179.0,6.85,31.36,78.12,145.35,1.12,0.0,NGC4217,LTG,,,,
14.86,177.0,7.25,30.5,75.23,140.78,0.75,0.0,NGC4217,LTG,,,,
15.79,177.0,8.55,31.36,72.41,136.57,0.5,0.0,NGC4217,LTG,,,,
16.72,178.0,12.0,33.41,69.87,132.72,0.36,0.0,NGC4217,LTG,,,,
0.87,27.3,5.8,3.85,86.56,0.0,794.32,0.0,NGC4389,LTG,,,,
1.74,52.7,6.7,8.29,117.08,0.0,389.02,0.0,NGC4389,LTG,,,,
2.71,69.2,6.7,12.5,131.94,0.0,274.26,0.0,NGC4389,LTG,,,,
3.58,83.5,6.4,15.95,142.69,0.0,183.26,0.0,NGC4389,LTG,,,,
4.45,95.9,6.3,20.91,152.97,0.0,86.39,0.0,NGC4389,LTG,,,,
5.32,110.0,7.6,21.98,140.24,0.0,23.61,0.0,NGC4389,LTG,,,,
0.67,43.8,10.9,-1.86,59.04,0.0,523.98,0.0,NGC4559,LTG,,,,
1.32,64.2,7.71,-3.8,76.34,0.0,311.22,0.0,NGC4559,LTG,,,,
1.97,73.3,8.62,-4.48,88.63,0.0,232.08,0.0,NGC4559,LTG,,,,
2.62,84.2,8.4,7.23,96.45,0.0,182.74,0.0,NGC4559,LTG,,,,
3.28,96.2,5.67,12.91,105.73,0.0,154.57,0.0,NGC4559,LTG,,,,
3.93,102.0,4.79,15.03,114.11,0.0,115.04,0.0,NGC4559,LTG,,,,
4.58,104.0,5.67,16.47,116.44,0.0,74.83,0.0,NGC4559,LTG,,,,
5.22,106.0,5.37,19.07,115.33,0.0,58.17,0.0,NGC4559,LTG,,,,
5.9,106.0,5.24,21.96,114.16,0.0,42.87,0.0,NGC4559,LTG,,,,
6.54,108.0,5.22,24.08,111.48,0.0,31.37,0.0,NGC4559,LTG,,,,
7.19,111.0,4.68,26.59,108.69,0.0,28.23,0.0,NGC4559,LTG,,,,
7.87,114.0,4.61,28.42,108.61,0.0,23.82,0.0,NGC4559,LTG,,,,
8.51,116.0,4.47,29.67,108.62,0.0,17.55,0.0,NGC4559,LTG,,,,
9.16,117.0,5.22,30.73,106.75,0.0,10.87,0.0,NGC4559,LTG,,,,
9.84,118.0,5.22,33.62,102.47,0.0,5.62,0.0,NGC4559,LTG,,,,
10.48,120.0,4.5,36.6,98.04,0.0,4.16,0.0,NGC4559,LTG,,,,
11.13,121.0,3.62,38.63,94.48,0.0,2.94,0.0,NGC4559,LTG,,,,
11.78,122.0,3.17,39.4,91.23,0.0,2.24,0.0,NGC4559,LTG,,,,
12.43,122.0,2.74,39.69,88.36,0.0,1.71,0.0,NGC4559,LTG,,,,
13.08,122.0,3.18,40.46,85.84,0.0,1.3,0.0,NGC4559,LTG,,,,
13.73,123.0,3.56,42.0,83.43,0.0,0.82,0.0,NGC4559,LTG,,,,
14.38,124.0,4.31,43.44,80.87,0.0,0.52,0.0,NGC4559,LTG,,,,
15.03,124.0,4.76,44.21,78.55,0.0,0.5,0.0,NGC4559,LTG,,,,
15.68,123.0,5.23,45.27,76.81,0.0,0.52,0.0,NGC4559,LTG,,,,
16.33,123.0,5.66,46.72,75.17,0.0,0.37,0.0,NGC4559,LTG,,,,
16.98,123.0,5.62,48.07,73.49,0.0,0.21,0.0,NGC4559,LTG,,,,
17.72,121.0,5.67,49.41,71.61,0.0,0.14,0.0,NGC4559,LTG,,,,
18.28,122.0,6.32,50.57,70.3,0.0,0.12,0.0,NGC4559,LTG,,,,
19.02,122.0,6.35,51.53,68.7,0.0,0.08,0.0,NGC4559,LTG,,,,
19.67,121.0,5.86,52.02,67.38,0.0,0.06,0.0,NGC4559,LTG,,,,
20.32,120.0,5.94,52.11,66.16,0.0,0.04,0.0,NGC4559,LTG,,,,
20.97,119.0,6.13,51.82,65.01,0.0,0.0,0.0,NGC4559,LTG,,,,
0.49,211.0,40.1,64.37,73.17,233.76,3509.72,10533.68,NGC5005,LTG,,,,
0.98,233.0,17.4,75.6,130.38,272.92,2885.72,1394.2,NGC5005,LTG,,,,
1.47,227.0,14.4,68.11,176.13,246.78,2383.47,5.62,NGC5005,LTG,,,,
1.97,234.0,10.8,61.94,213.49,213.16,1967.84,0.0,NGC5005,LTG,,,,
2.46,245.0,7.67,60.52,244.17,190.74,1571.81,0.0,NGC5005,LTG,,,,
2.95,244.0,23.3,69.43,261.9,174.18,1161.8,0.0,NGC5005,LTG,,,,
3.44,261.0,23.3,75.4,273.58,161.3,867.89,0.0,NGC5005,LTG,,,,
3.93,259.0,22.7,73.37,276.37,150.91,643.49,0.0,NGC5005,LTG,,,,
4.42,258.0,22.7,68.82,276.54,142.3,560.73,0.0,NGC5005,LTG,,,,
4.92,258.0,22.5,65.78,278.71,134.88,482.38,0.0,NGC5005,LTG,,,,
5.74,261.0,22.4,61.84,282.13,124.87,387.42,0.0,NGC5005,LTG,,,,
6.56,263.0,22.4,59.41,284.24,116.81,278.87,0.0,NGC5005,LTG,,,,
7.37,264.0,22.3,58.09,281.24,110.2,208.81,0.0,NGC5005,LTG,,,,
8.19,265.0,22.2,58.09,279.02,104.54,169.08,0.0,NGC5005,LTG,,,,
9.01,265.0,22.2,58.19,277.3,99.67,124.55,0.0,NGC5005,LTG,,,,
9.83,264.0,22.0,57.28,272.35,95.42,80.7,0.0,NGC5005,LTG,,,,
10.65,264.0,21.9,55.06,264.11,91.67,49.29,0.0,NGC5005,LTG,,,,
11.47,265.0,22.0,51.82,254.75,88.34,31.13,0.0,NGC5005,LTG,,,,
0.76,206.0,16.0,2.44,95.41,277.3,2166.2,3616.11,NGC5033,LTG,,,,
2.28,214.0,10.0,5.15,214.07,218.08,1233.88,0.0,NGC5033,LTG,,,,
3.8,222.0,8.0,8.48,237.47,168.95,307.23,0.0,NGC5033,LTG,,,,
5.33,224.0,8.0,16.65,222.81,142.66,137.83,0.0,NGC5033,LTG,,,,
6.85,225.0,8.0,22.4,206.17,125.84,63.77,0.0,NGC5033,LTG,,,,
8.0,222.0,6.0,24.58,191.74,116.44,46.48,0.0,NGC5033,LTG,,,,
10.28,220.0,3.0,28.49,177.55,102.72,37.35,0.0,NGC5033,LTG,,,,
12.56,218.0,2.0,30.21,168.02,92.93,20.51,0.0,NGC5033,LTG,,,,
14.91,219.0,2.0,36.41,156.39,85.29,11.48,0.0,NGC5033,LTG,,,,
17.15,217.0,2.0,41.69,147.04,79.53,8.58,0.0,NGC5033,LTG,,,,
19.39,218.0,2.0,45.72,140.32,74.79,7.31,0.0,NGC5033,LTG,,,,
21.64,220.0,2.0,51.92,136.88,70.8,5.24,0.0,NGC5033,LTG,,,,
24.01,222.0,2.0,56.74,130.88,67.21,2.49,0.0,NGC5033,LTG,,,,
26.25,218.0,3.0,58.35,124.11,64.28,1.28,0.0,NGC5033,LTG,,,,
28.5,217.0,3.0,56.74,118.34,61.69,0.89,0.0,NGC5033,LTG,,,,
30.87,207.0,3.0,53.3,113.45,59.28,0.64,0.0,NGC5033,LTG,,,,
33.12,199.0,3.0,51.34,109.2,57.23,0.4,0.0,NGC5033,LTG,,,,
35.36,191.0,3.0,48.7,105.32,55.39,0.26,0.0,NGC5033,LTG,,,,
37.73,193.0,3.0,46.75,101.61,53.62,0.16,0.0,NGC5033,LTG,,,,
39.98,192.0,3.0,45.26,98.44,52.09,0.11,0.0,NGC5033,LTG,,,,
42.22,194.0,4.0,43.99,95.58,50.69,0.07,0.0,NGC5033,LTG,,,,
44.59,196.0,5.0,42.84,92.77,49.32,0.0,0.0,NGC5033,LTG,,,,
0.72,125.0,17.6,2.2,201.48,0.0,4079.93,0.0,NGC5055,LTG,,,,
1.43,162.0,8.5,3.72,240.13,0.0,2087.92,0.0,NGC5055,LTG,,,,
2.16,178.0,5.22,4.09,263.27,0.0,1497.11,0.0,NGC5055,LTG,,,,
2.87,193.0,1.88,5.34,280.74,0.0,897.98,0.0,NGC5055,LTG,,,,
3.59,192.0,3.59,6.03,273.32,0.0,618.08,0.0,NGC5055,LTG,,,,
4.3,190.0,0.97,5.11,272.18,0.0,518.18,0.0,NGC5055,LTG,,,,
5.03,195.0,0.99,8.42,273.73,0.0,418.28,0.0,NGC5055,LTG,,,,
5.75,201.0,0.45,14.42,276.2,0.0,347.11,0.0,NGC5055,LTG,,,,
6.46,204.0,0.81,19.11,279.72,0.0,262.38,0.0,NGC5055,LTG,,,,
7.18,204.0,0.65,22.51,275.62,0.0,205.49,0.0,NGC5055,LTG,,,,
7.91,206.0,0.66,25.8,271.43,0.0,160.87,0.0,NGC5055,LTG,,,,
8.62,206.0,1.54,28.49,267.09,0.0,129.11,0.0,NGC5055,LTG,,,,
11.49,206.0,1.9,33.07,245.58,0.0,52.63,0.0,NGC5055,LTG,,,,
14.3,206.0,0.42,45.73,225.03,0.0,25.15,0.0,NGC5055,LTG,,,,
17.19,203.0,4.19,47.26,208.52,0.0,9.46,0.0,NGC5055,LTG,,,,
20.07,200.0,1.23,44.56,190.41,0.0,3.58,0.0,NGC5055,LTG,,,,
22.96,194.0,4.09,40.45,175.86,0.0,1.78,0.0,NGC5055,LTG,,,,
25.85,188.0,5.2,37.41,164.23,0.0,0.59,0.0,NGC5055,LTG,,,,
28.74,184.0,1.16,38.46,154.38,0.0,0.15,0.0,NGC5055,LTG,,,,
31.62,182.0,2.47,40.22,146.2,0.0,0.09,0.0,NGC5055,LTG,,,,
34.51,180.0,3.85,42.57,139.3,0.0,0.04,0.0,NGC5055,LTG,,,,
37.4,181.0,8.43,40.57,133.34,0.0,0.01,0.0,NGC5055,LTG,,,,
40.29,180.0,4.55,41.86,128.12,0.0,0.01,0.0,NGC5055,LTG,,,,
43.17,179.0,0.44,42.92,123.52,0.0,0.0,0.0,NGC5055,LTG,,,,
45.92,179.0,1.96,44.68,119.59,0.0,0.0,0.0,NGC5055,LTG,,,,
48.81,179.0,2.99,44.56,115.83,0.0,0.0,0.0,NGC5055,LTG,,,,
51.7,174.0,3.39,43.74,112.43,0.0,0.0,0.0,NGC5055,LTG,,,,
54.59,172.0,4.84,41.74,109.32,0.0,0.0,0.0,NGC5055,LTG,,,,
1.45,216.0,10.0,0.0,240.9,0.0,1579.45,0.0,NGC5371,LTG,,,,
2.88,215.0,7.0,0.0,232.56,0.0,725.11,0.0,NGC5371,LTG,,,,
4.33,215.0,5.0,0.0,235.54,0.0,586.66,0.0,NGC5371,LTG,,,,
5.78,214.0,4.0,0.0,243.76,0.0,431.16,0.0,NGC5371,LTG,,,,
7.22,215.0,4.0,0.0,245.32,0.0,356.04,0.0,NGC5371,LTG,,,,
8.66,221.0,3.0,0.0,253.0,0.0,328.2,0.0,NGC5371,LTG,,,,
11.55,233.0,3.0,11.24,281.58,0.0,253.05,0.0,NGC5371,LTG,,,,
14.48,237.0,3.0,27.45,299.81,0.0,153.39,0.0,NGC5371,LTG,,,,
17.28,242.0,3.0,40.74,295.15,0.0,98.5,0.0,NGC5371,LTG,,,,
20.2,241.0,3.0,51.22,293.48,0.0,65.35,0.0,NGC5371,LTG,,,,
23.12,240.0,3.0,57.81,284.89,0.0,32.44,0.0,NGC5371,LTG,,,,
26.04,234.0,3.0,56.95,267.33,0.0,13.89,0.0,NGC5371,LTG,,,,
28.84,226.0,3.0,55.22,249.73,0.0,7.22,0.0,NGC5371,LTG,,,,
31.76,213.0,3.0,52.84,235.27,0.0,4.16,0.0,NGC5371,LTG,,,,
34.68,207.0,3.0,50.68,223.76,0.0,1.44,0.0,NGC5371,LTG,,,,
37.48,208.0,4.0,48.19,210.28,0.0,0.0,0.0,NGC5371,LTG,,,,
40.4,209.0,4.0,45.17,200.01,0.0,0.0,0.0,NGC5371,LTG,,,,
43.32,207.0,4.0,42.57,191.48,0.0,0.0,0.0,NGC5371,LTG,,,,
46.24,213.0,6.0,40.95,184.17,0.0,0.0,0.0,NGC5371,LTG,,,,
0.09,11.2,2.02,0.32,12.72,0.0,658.83,0.0,NGC5585,LTG,,,,
0.26,26.5,1.03,0.96,26.94,0.0,391.72,0.0,NGC5585,LTG,,,,
0.43,33.7,1.03,1.6,35.34,0.0,269.11,0.0,NGC5585,LTG,,,,
0.6,32.7,1.12,2.25,40.03,0.0,185.65,0.0,NGC5585,LTG,,,,
0.77,33.7,1.03,2.89,43.26,0.0,148.52,0.0,NGC5585,LTG,,,,
0.94,35.7,2.24,3.55,45.85,0.0,129.01,0.0,NGC5585,LTG,,,,
1.11,37.8,3.35,4.2,48.05,0.0,100.97,0.0,NGC5585,LTG,,,,
1.28,41.8,3.35,4.86,48.94,0.0,87.29,0.0,NGC5585,LTG,,,,
1.46,43.9,2.14,5.23,50.17,0.0,78.88,0.0,NGC5585,LTG,,,,
1.63,44.9,1.25,5.36,51.3,0.0,68.73,0.0,NGC5585,LTG,,,,
2.05,53.2,1.6,5.65,53.95,0.0,54.74,0.0,NGC5585,LTG,,,,
2.74,64.3,0.9,9.45,56.61,0.0,33.95,0.0,NGC5585,LTG,,,,
3.42,73.1,2.4,11.66,56.83,0.0,23.05,0.0,NGC5585,LTG,,,,
4.11,76.2,4.4,15.23,58.16,0.0,15.08,0.0,NGC5585,LTG,,,,
4.79,78.4,3.8,19.76,56.9,0.0,8.6,0.0,NGC5585,LTG,,,,
5.48,83.1,3.1,23.04,53.88,0.0,3.37,0.0,NGC5585,LTG,,,,
6.16,88.0,3.0,26.02,50.76,0.0,1.42,0.0,NGC5585,LTG,,,,
6.85,89.9,2.4,27.47,47.3,0.0,0.0,0.0,NGC5585,LTG,,,,
7.53,90.6,2.8,29.11,43.89,0.0,0.0,0.0,NGC5585,LTG,,,,
8.21,91.6,2.6,31.03,41.41,0.0,0.0,0.0,NGC5585,LTG,,,,
8.9,92.3,1.4,32.1,39.37,0.0,0.0,0.0,NGC5585,LTG,,,,
9.57,90.9,1.0,32.38,37.7,0.0,0.0,0.0,NGC5585,LTG,,,,
10.31,89.6,2.7,32.77,36.11,0.0,0.0,0.0,NGC5585,LTG,,,,
10.96,89.4,2.7,32.48,34.88,0.0,0.0,0.0,NGC5585,LTG,,,,
5.03,214.0,6.0,0.0,178.85,0.0,374.65,0.0,NGC5907,LTG,,,,
7.55,220.0,6.0,0.0,207.41,0.0,244.19,0.0,NGC5907,LTG,,,,
10.07,235.0,4.0,0.0,227.06,0.0,167.7,0.0,NGC5907,LTG,,,,
12.58,235.0,4.0,16.93,232.81,0.0,90.71,0.0,NGC5907,LTG,,,,
15.1,230.0,2.0,24.45,224.63,0.0,54.89,0.0,NGC5907,LTG,,,,
17.61,231.0,2.0,31.1,217.25,0.0,36.13,0.0,NGC5907,LTG,,,,
20.13,232.0,2.0,42.26,208.93,0.0,21.37,0.0,NGC5907,LTG,,,,
22.65,225.0,7.0,53.67,198.38,0.0,12.2,0.0,NGC5907,LTG,,,,
25.16,224.0,7.0,49.79,187.6,0.0,7.37,0.0,NGC5907,LTG,,,,
27.68,229.0,2.0,54.3,177.97,0.0,4.72,0.0,NGC5907,LTG,,,,
30.2,218.0,2.0,64.08,169.55,0.0,3.15,0.0,NGC5907,LTG,,,,
32.71,214.0,2.0,61.58,162.23,0.0,2.08,0.0,NGC5907,LTG,,,,
35.23,213.0,2.0,64.96,155.53,0.0,1.3,0.0,NGC5907,LTG,,,,
37.75,211.0,2.0,61.95,149.39,0.0,0.8,0.0,NGC5907,LTG,,,,
40.26,217.0,2.0,63.21,143.82,0.0,0.5,0.0,NGC5907,LTG,,,,
42.78,216.0,3.0,60.7,138.81,0.0,0.31,0.0,NGC5907,LTG,,,,
45.29,215.0,3.0,60.57,134.25,0.0,0.2,0.0,NGC5907,LTG,,,,
47.81,217.0,5.0,60.07,130.16,0.0,0.12,0.0,NGC5907,LTG,,,,
50.33,214.0,5.0,62.33,126.52,0.0,0.0,0.0,NGC5907,LTG,,,,
3.54,223.0,8.0,-9.23,117.85,111.1,339.07,0.95,NGC5985,LTG,,,,
4.23,230.0,6.13,-10.88,124.82,101.71,298.47,0.1,NGC5985,LTG,,,,
4.97,248.0,5.1,-12.52,131.42,93.86,286.51,0.01,NGC5985,LTG,,,,
5.74,258.0,6.6,-13.93,141.81,87.33,272.43,0.0,NGC5985,LTG,,,,
6.47,263.0,7.0,-14.91,151.83,82.27,259.83,0.0,NGC5985,LTG,,,,
7.22,272.0,6.25,-15.46,163.57,77.87,245.34,0.0,NGC5985,LTG,,,,
8.02,287.0,4.01,-16.0,173.43,73.88,221.13,0.0,NGC5985,LTG,,,,
8.79,289.0,7.25,-16.33,181.85,70.57,206.96,0.0,NGC5985,LTG,,,,
9.5,292.0,6.93,-16.22,190.1,67.89,195.87,0.0,NGC5985,LTG,,,,
10.27,302.0,10.4,-15.46,200.43,65.29,182.8,0.0,NGC5985,LTG,,,,
11.08,302.0,10.3,-13.5,209.52,62.86,157.0,0.0,NGC5985,LTG,,,,
11.82,304.0,10.4,-9.2,214.14,60.86,137.98,0.0,NGC5985,LTG,,,,
12.56,303.0,10.4,5.72,217.36,59.04,121.99,0.0,NGC5985,LTG,,,,
13.39,305.0,10.1,13.39,220.24,57.18,107.78,0.0,NGC5985,LTG,,,,
14.1,300.0,8.78,17.64,222.33,55.72,94.35,0.0,NGC5985,LTG,,,,
14.93,295.0,9.72,21.66,222.27,54.15,78.95,0.0,NGC5985,LTG,,,,
15.64,294.0,5.32,24.38,221.26,52.91,70.86,0.0,NGC5985,LTG,,,,
16.35,290.0,5.32,26.24,221.1,51.75,65.3,0.0,NGC5985,LTG,,,,
17.18,291.0,4.03,27.98,220.98,50.48,55.24,0.0,NGC5985,LTG,,,,
17.89,286.0,3.25,29.72,218.99,49.47,45.95,0.0,NGC5985,LTG,,,,
18.72,287.0,3.61,31.57,215.15,48.36,40.15,0.0,NGC5985,LTG,,,,
19.44,294.0,3.35,33.2,212.39,47.46,37.57,0.0,NGC5985,LTG,,,,
20.26,290.0,3.75,35.16,210.49,46.49,34.32,0.0,NGC5985,LTG,,,,
20.98,288.0,3.04,37.01,208.75,45.68,31.09,0.0,NGC5985,LTG,,,,
21.69,290.0,6.4,38.65,206.74,44.93,28.12,0.0,NGC5985,LTG,,,,
22.52,294.0,4.19,40.5,204.38,44.09,25.48,0.0,NGC5985,LTG,,,,
23.23,297.0,4.12,41.91,202.43,43.41,23.71,0.0,NGC5985,LTG,,,,
24.06,293.0,5.15,43.22,200.72,42.66,22.0,0.0,NGC5985,LTG,,,,
24.77,291.0,6.21,44.2,199.42,42.04,20.53,0.0,NGC5985,LTG,,,,
25.95,297.0,4.0,45.18,197.86,41.07,18.46,0.0,NGC5985,LTG,,,,
28.92,292.0,4.0,43.33,193.43,38.91,10.08,0.0,NGC5985,LTG,,,,
31.76,288.0,4.0,45.72,184.74,37.13,6.27,0.0,NGC5985,LTG,,,,
34.72,285.0,4.0,47.57,180.34,35.51,3.62,0.0,NGC5985,LTG,,,,
0.34,35.5,2.1,-2.27,41.97,0.0,934.63,0.0,NGC6015,LTG,,,,
0.67,62.4,4.2,-3.73,62.26,0.0,735.05,0.0,NGC6015,LTG,,,,
1.0,90.7,3.8,-5.02,80.4,0.0,565.71,0.0,NGC6015,LTG,,,,
1.32,104.0,2.0,-6.13,86.74,0.0,426.63,0.0,NGC6015,LTG,,,,
1.65,105.0,2.4,-7.07,92.13,0.0,379.56,0.0,NGC6015,LTG,,,,
1.98,108.0,2.0,-7.85,97.94,0.0,356.73,0.0,NGC6015,LTG,,,,
2.31,116.0,2.3,-8.46,104.95,0.0,324.56,0.0,NGC6015,LTG,,,,
2.63,130.0,3.3,-8.8,112.27,0.0,313.54,0.0,NGC6015,LTG,,,,
2.96,141.0,2.2,-8.85,120.94,0.0,291.35,0.0,NGC6015,LTG,,,,
3.28,146.0,1.6,-8.55,129.34,0.0,267.64,0.0,NGC6015,LTG,,,,
3.61,150.0,1.4,-7.82,137.29,0.0,237.08,0.0,NGC6015,LTG,,,,
3.94,152.0,1.1,-6.39,143.65,0.0,203.58,0.0,NGC6015,LTG,,,,
4.27,155.0,1.3,-3.64,148.22,0.0,167.76,0.0,NGC6015,LTG,,,,
4.6,152.0,1.8,4.74,149.97,0.0,135.4,0.0,NGC6015,LTG,,,,
4.94,150.0,2.4,8.31,149.81,0.0,108.33,0.0,NGC6015,LTG,,,,
5.3,147.0,5.5,11.17,147.82,0.0,88.44,0.0,NGC6015,LTG,,,,
5.63,145.0,3.8,13.71,145.9,0.0,80.36,0.0,NGC6015,LTG,,,,
5.96,152.0,4.1,15.93,145.72,0.0,73.42,0.0,NGC6015,LTG,,,,
6.27,149.0,1.4,18.03,145.22,0.0,63.15,0.0,NGC6015,LTG,,,,
8.24,149.0,4.0,27.98,136.77,0.0,23.82,0.0,NGC6015,LTG,,,,
10.3,146.0,4.0,36.61,123.8,0.0,11.23,0.0,NGC6015,LTG,,,,
11.13,149.0,3.2,39.92,119.88,0.0,8.66,0.0,NGC6015,LTG,,,,
11.95,152.0,2.8,43.13,116.47,0.0,5.98,0.0,NGC6015,LTG,,,,
12.72,153.0,2.4,45.67,112.55,0.0,3.85,0.0,NGC6015,LTG,,,,
13.58,156.0,2.2,47.33,108.33,0.0,2.84,0.0,NGC6015,LTG,,,,
14.43,158.0,2.8,48.11,104.74,0.0,2.01,0.0,NGC6015,LTG,,,,
15.29,158.0,3.1,48.44,101.4,0.0,1.41,0.0,NGC6015,LTG,,,,
16.02,159.0,3.8,48.44,98.71,0.0,0.96,0.0,NGC6015,LTG,,,,
16.88,161.0,3.6,48.11,95.6,0.0,0.61,0.0,NGC6015,LTG,,,,
17.73,163.0,4.0,47.66,92.8,0.0,0.44,0.0,NGC6015,LTG,,,,
18.59,162.0,4.8,47.0,90.22,0.0,0.3,0.0,NGC6015,LTG,,,,
19.32,164.0,5.7,46.67,88.2,0.0,0.22,0.0,NGC6015,LTG,,,,
20.18,165.0,7.0,46.56,85.97,0.0,0.15,0.0,NGC6015,LTG,,,,
21.04,166.0,6.3,46.12,83.92,0.0,0.1,0.0,NGC6015,LTG,,,,
21.89,163.0,7.0,45.56,82.02,0.0,0.07,0.0,NGC6015,LTG,,,,
22.63,159.0,8.5,45.34,80.48,0.0,0.05,0.0,NGC6015,LTG,,,,
23.48,155.0,9.1,45.12,78.82,0.0,0.04,0.0,NGC6015,LTG,,,,
24.34,154.0,8.0,44.68,77.25,0.0,0.03,0.0,NGC6015,LTG,,,,
25.19,149.0,5.4,44.57,75.79,0.0,0.02,0.0,NGC6015,LTG,,,,
25.93,153.0,3.1,46.56,74.58,0.0,0.01,0.0,NGC6015,LTG,,,,
26.78,156.0,3.0,42.58,73.28,0.0,0.01,0.0,NGC6015,LTG,,,,
27.64,151.0,9.4,40.7,72.03,0.0,0.01,0.0,NGC6015,LTG,,,,
28.37,158.0,7.7,39.26,71.03,0.0,0.0,0.0,NGC6015,LTG,,,,
29.23,152.0,3.4,38.26,69.88,0.0,0.0,0.0,NGC6015,LTG,,,,
1.33,175.0,13.6,0.0,53.18,236.8,581.62,2991.9,NGC6195,LTG,,,,
2.34,237.0,3.65,0.0,84.9,258.48,514.34,1233.0,NGC6195,LTG,,,,
3.33,247.0,3.81,0.0,110.89,258.69,455.95,695.85,NGC6195,LTG,,,,
4.34,242.0,3.56,0.0,133.39,255.32,403.21,384.39,NGC6195,LTG,,,,
5.35,240.0,4.2,0.11,152.34,247.96,356.56,251.03,NGC6195,LTG,,,,
6.34,233.0,4.59,0.0,168.35,242.98,316.08,149.16,NGC6195,LTG,,,,
7.34,233.0,4.63,0.0,182.51,235.83,279.86,69.12,NGC6195,LTG,,,,
8.32,247.0,6.41,1.96,192.78,226.67,230.3,32.44,NGC6195,LTG,,,,
9.34,248.0,7.64,15.34,198.8,216.7,211.43,14.68,NGC6195,LTG,,,,
10.38,242.0,9.05,25.14,207.14,206.98,188.77,6.55,NGC6195,LTG,,,,
11.36,252.0,12.5,33.65,211.69,198.54,161.01,3.07,NGC6195,LTG,,,,
12.34,245.0,8.72,41.56,213.57,190.81,145.9,1.44,NGC6195,LTG,,,,
13.32,247.0,4.44,48.79,217.57,183.83,140.98,0.68,NGC6195,LTG,,,,
14.3,238.0,9.29,54.63,223.69,177.48,132.1,0.32,NGC6195,LTG,,,,
15.47,249.0,9.98,60.46,231.69,170.69,115.4,0.13,NGC6195,LTG,,,,
16.35,250.0,6.15,63.83,234.56,166.06,99.41,0.06,NGC6195,LTG,,,,
17.92,253.0,6.96,68.08,238.09,158.63,84.92,0.02,NGC6195,LTG,,,,
19.1,258.0,15.4,69.27,241.54,153.66,72.44,0.01,NGC6195,LTG,,,,
