r_kpc,v_obs,v_obs_err,v_gas,v_disk,v_bulge,sb_disk,sb_bulge,galaxy,source_type,dist,inc,lum,type
2.96,37.6,3.05,23.28,26.01,0.0,5.12,0.0,DDO161,LTG,,,,
3.43,40.6,3.68,24.59,25.36,0.0,3.64,0.0,DDO161,LTG,,,,
3.9,42.7,3.25,25.62,25.01,0.0,2.55,0.0,DDO161,LTG,,,,
4.37,45.5,2.99,26.35,24.48,0.0,1.74,0.0,DDO161,LTG,,,,
4.86,48.9,1.96,27.08,23.7,0.0,1.09,0.0,DDO161,LTG,,,,
5.34,51.5,1.53,27.81,22.69,0.0,0.64,0.0,DDO161,LTG,,,,
5.81,53.0,1.86,28.4,21.59,0.0,0.46,0.0,DDO161,LTG,,,,
6.28,55.0,1.48,28.98,20.86,0.0,0.36,0.0,DDO161,LTG,,,,
6.75,57.6,0.99,29.57,20.11,0.0,0.24,0.0,DDO161,LTG,,,,
7.22,59.7,1.19,30.3,19.38,0.0,0.16,0.0,DDO161,LTG,,,,
7.69,60.5,1.26,31.18,18.7,0.0,0.11,0.0,DDO161,LTG,,,,
8.16,61.8,1.33,32.06,18.06,0.0,0.07,0.0,DDO161,LTG,,,,
8.64,62.9,1.35,32.64,17.47,0.0,0.05,0.0,DDO161,LTG,,,,
9.11,63.0,2.09,33.23,16.94,0.0,0.03,0.0,DDO161,LTG,,,,
9.58,64.5,2.38,33.38,16.44,0.0,0.02,0.0,DDO161,LTG,,,,
10.05,65.6,1.08,33.38,15.98,0.0,0.02,0.0,DDO161,LTG,,,,
10.52,67.5,3.22,32.79,15.57,0.0,0.01,0.0,DDO161,LTG,,,,
10.99,66.8,2.37,32.06,15.18,0.0,0.01,0.0,DDO161,LTG,,,,
11.46,66.8,0.95,31.18,14.81,0.0,0.0,0.0,DDO161,LTG,,,,
11.94,66.6,0.96,30.3,14.47,0.0,0.0,0.0,DDO161,LTG,,,,
12.41,66.8,0.99,29.42,14.16,0.0,0.0,0.0,DDO161,LTG,,,,
12.9,66.3,0.74,28.69,13.86,0.0,0.0,0.0,DDO161,LTG,,,,
13.37,66.1,1.31,27.81,13.59,0.0,0.0,0.0,DDO161,LTG,,,,
0.41,15.0,4.1,10.41,8.28,0.0,20.43,0.0,DDO168,LTG,,,,
0.82,23.4,1.3,18.08,12.66,0.0,14.59,0.0,DDO168,LTG,,,,
1.24,29.2,1.5,20.09,15.11,0.0,8.79,0.0,DDO168,LTG,,,,
1.64,36.2,1.1,20.2,15.99,0.0,5.9,0.0,DDO168,LTG,,,,
2.06,44.0,1.1,22.0,16.89,0.0,4.09,0.0,DDO168,LTG,,,,
2.47,52.1,1.2,22.63,17.03,0.0,2.87,0.0,DDO168,LTG,,,,
2.89,52.9,1.7,22.95,16.99,0.0,2.09,0.0,DDO168,LTG,,,,
3.3,54.8,2.2,22.74,17.19,0.0,1.56,0.0,DDO168,LTG,,,,
3.71,55.0,2.5,22.74,17.16,0.0,0.82,0.0,DDO168,LTG,,,,
4.12,52.0,2.7,22.74,16.37,0.0,0.0,0.0,DDO168,LTG,,,,
1.87,27.7,3.0,8.68,18.19,0.0,9.38,0.0,DDO170,LTG,,,,
3.36,42.4,1.5,15.07,19.75,0.0,3.58,0.0,DDO170,LTG,,,,
4.86,52.5,1.0,20.59,19.94,0.0,2.02,0.0,DDO170,LTG,,,,
6.35,55.6,1.0,24.61,19.17,0.0,0.91,0.0,DDO170,LTG,,,,
7.85,58.6,1.1,26.94,18.71,0.0,0.47,0.0,DDO170,LTG,,,,
9.34,59.0,1.2,27.6,17.41,0.0,0.18,0.0,DDO170,LTG,,,,
10.83,60.0,1.3,26.77,16.05,0.0,0.09,0.0,DDO170,LTG,,,,
12.33,62.2,1.0,24.9,15.01,0.0,0.0,0.0,DDO170,LTG,,,,
