pl_name,pl_masse,pl_orbsmax
"WASP-3 b",559.36000000,
"HAT-P-38 b",84.85700000,0.0523000000
"WASP-1 b",292.00000000,
"WASP-4 b",393.13900000,0.0231200000
"WASP-5 b",498.33600000,0.0270200000
"WASP-7 b",305.11680000,0.0617000000
"HAT-P-40 b",195.45700000,0.0608000000
"HAT-P-41 b",254.25300000,0.0426000000
"WASP-13 b",151.59900000,0.0536200000
"WASP-19 b",371.21000000,0.0165500000
"WASP-26 b",326.71500000,0.0398500000
"WASP-49 b",120.13500000,0.0379000000
"WASP-62 b",181.15500000,0.0567000000
"WASP-63 b",120.77000000,0.0574000000
"Kepler-18 b",140.39700000,
"TOI-7041 b",114.41822652,
"WASP-10 b",1020.23430000,0.0378000000
"WASP-14 b",2294.73260000,0.0358000000
"WASP-18 b",3241.86600000,0.0203000000
"WASP-26 b",329.90754000,0.0399700000
"WASP-28 b",287.95398000,0.0446500000
"WASP-29 b",77.86835000,0.0456600000
"WASP-2 b",293.99275000,0.0314000000
"WASP-32 b",1109.22670000,0.0390400000
"WASP-34 b",185.29489000,0.0521000000
"WASP-35 b",222.79883000,0.0431300000
"WASP-36 b",729.73768000,0.0264300000
"WASP-37 b",546.66760000,0.0447000000
"WASP-39 b",87.40325000,0.0485900000
"WASP-3 b",600.69870000,0.0318200000
"WASP-43 b",651.55150000,0.0152800000
"WASP-46 b",603.87700000,0.0233400000
"WASP-48 b",327.68273000,0.0344900000
"WASP-4 b",371.86110000,0.0228700000
"WASP-50 b",464.03180000,0.0294500000
"WASP-5 b",505.34970000,0.0273900000
"WASP-6 b",153.51189000,0.0421700000
"WASP-7 b",344.20989000,0.0618800000
"XO-1 b",290.17879000,0.0493000000
"XO-2 N b",189.10885000,0.0366500000
"XO-4 b",512.34196000,0.0552400000
"WASP-78 b",259.66711000,0.0348800000
"WASP-79 b",267.93069000,0.0521000000
"KELT-2 A b",485.32641000,0.0549700000
"HAT-P-40 b",184.65923000,0.0607600000
"HAT-P-41 b",252.67485000,0.0425800000
"WASP-49 b",126.81417000,0.0379000000
"WASP-74 b",262.52758000,0.0344300000
"XO-2 N b",179.89178000,0.0368000000
"HD 202772 A b",323.23311000,0.0520800000
"HAT-P-20 b",2310.62410000,0.0361700000
"HAT-P-2 b",2765.12100000,0.0688000000
"HAT-P-34 b",1058.37390000,0.0677400000
"HD 80606 b",1308.18828000,0.4565000000
"WASP-38 b",841.61384000,0.0758400000
"WASP-8 b",677.61356000,0.0801000000
"XO-3 b",3718.61100000,0.0453900000
"CoRoT-1 b",390.93090000,0.0275200000
"CoRoT-2 b",1048.83900000,0.0281000000
"HAT-P-12 b",66.23577200,0.0383800000
"HAT-P-13 b",280.64389000,0.0427000000
"HAT-P-18 b",63.56600000,0.0559600000
"HAT-P-19 b",90.26372000,0.0466400000
"HAT-P-1 b",166.86075000,0.0553000000
"HAT-P-22 b",690.32676000,0.0414200000
"HAT-P-23 b",626.12510000,0.0232000000
"HAT-P-30 b",237.10118000,0.0419000000
"HAT-P-32 b",238.37250000,0.0342700000
"HAT-P-33 b",209.76780000,0.0499500000
"HAT-P-3 b",193.55847000,0.0389900000
"HAT-P-4 b",206.90733000,0.0444900000
"HAT-P-5 b",324.18660000,0.0407300000
"HAT-P-6 b",351.51998000,0.0523900000
"HAT-P-8 b",430.34182000,0.0449600000
"Kepler-5 b",675.70658000,0.0507100000
"HAT-P-7 b",574.00098000,0.0381300000
"Kepler-6 b",205.63601000,0.0444800000
"Kepler-17 b",785.04010000,0.0268000000
"TrES-2 b",385.20996000,0.0355700000
"TrES-2 b",398.24099000,
"CoRoT-2 b",1052.01730000,
"HAT-P-12 b",67.06213000,
"WASP-12 b",448.14030000,
"WASP-52 b",146.20180000,
"WASP-103 b",473.56670000,0.0198500000
"WASP-87 b",692.86940000,0.0294600000
"HAT-P-32 b",216.12440000,0.0339700000
"WASP-12 b",465.62095000,0.0232000000
"WASP-50 b",466.82870400,0.0293000000
"WASP-33 b",665.21819000,0.0239000000
"GJ 143 b",30.63000000,0.1932000000
"WASP-46 b",607.05530000,0.0233500000
"CoRoT-2 b",1051.97300000,0.0281000000
"HAT-P-18 b",62.29468000,0.0559000000
"HAT-P-32 b",273.33380000,
"WASP-80 b",178.62046000,0.0347900000
"KOI-13 b",2070.66245000,
"CoRoT-1 b",327.35000000,
"WASP-14 b",2412.32970000,0.0370000000
"WASP-11 b",156.37236000,0.0437500000
"WASP-29 b",77.55052000,0.0456500000
"Kepler-5 b",670.93913000,0.0538000000
"HAT-P-7 b",566.05523000,0.0355000000
"Kepler-6 b",212.31044000,0.0485200000
"KOI-13 b",2949.46240000,0.0364100000
"TrES-2 b",380.44251000,0.0367000000
"WASP-19 b",354.06262000,0.0161600000
"WASP-19 b",370.27195000,0.0165300000
"WASP-14 b",2466.36080000,0.0371000000
"WASP-6 b",158.91500000,
"HAT-P-12 b",66.74430000,
"HAT-P-1 b",168.44990000,
"HD 189733 b",362.32620000,
"HD 209458 b",219.30270000,
