cs,z_c,s8,dwarf
30,3.0,0.9890992607578433,-0.11169265607684536
40,3.0,0.9806718696294029,-0.1620022810332154
50,3.0,0.9699018814483841,0.005852528878883857
60,3.0,0.9568377361554357,0.12229148420906685
80,3.0,0.9240715756553464,-0.06980028273652562
30,2.0,0.9902656047925563,-0.10007836937839297
40,2.0,0.9827328921220869,-0.22605383695918288
50,2.0,0.97309727211165,-0.07901346277435091
60,2.0,0.9613954165378703,0.12027086301131719
80,2.0,0.9319785737381001,0.03521124434592571
30,1.5,0.9916642242120774,-0.04727186511897827
40,1.5,0.9852078587977281,-0.2630457837205089
50,1.5,0.9769414485071916,-0.1999384375643997
60,1.5,0.9668907960611578,0.01704780334507739
80,1.5,0.9415675900209911,0.1829358937933157
30,1.0,0.9941625031889277,0.1372203202988133
40,1.0,0.9896348590906373,-0.184813407035727
50,1.0,0.9838298105733815,-0.3206688369411141
60,1.0,0.97675946116808,-0.2552718740768822
80,1.0,0.9588843960050217,0.13805565988658763
30,0.7,0.9961929258646702,0.36702488786479565
40,0.7,0.9932371265344906,0.04388235760306344
50,0.7,0.9894435653719382,-0.2077079523840794
60,0.7,0.9848172926470786,-0.33547966622426223
80,0.7,0.9730923385397868,-0.20476018963947543
30,0.5,0.9975607735912723,0.5628384890590985
40,0.5,0.9956657406055114,0.2986535031288878
50,0.5,0.9932320228622605,0.041012846363116834
60,0.5,0.9902616816815032,-0.17078117157414419
80,0.5,0.9827216422193699,-0.35604229715646574
30,0.2,0.9991285326547787,0.830193657100538
40,0.2,0.9984509987073614,0.7088899552499711
50,0.2,0.9975802358017791,0.5659741572538883
60,0.2,0.9965165078998137,0.40997560965136126
80,0.2,0.9938115052156865,0.09530583169068949
