LID,m_LID,U-B20,B-V20,V-r20,n_Nobs,Nobs,Vmag,ref
1.0010287,,,0.55,0.42,,3,3.62,9007
1.00103095,,,0.75,0.63,,4,6.44,9007
1.00107328,,,1.16,0.83,,5,,9003
1.00109358,,,0.59,0.48,,7,4.28,9007
1.00111631,,,1.37,1.2,,2,8.51,9007
1.00112033,,,0.9,0.64,,4,,9003
1.00112869,,1.61,1.85,1.32,,2,,9004
1.00113226,,,0.92,0.63,,3,,9003
1.0011471,,,0.57,0.45,,3,4.27,9007
1.00115617,,,0.7,0.52,,2,4.74,9007
1.0012137,,,0.59,0.45,,2,2.69,9007
1.00122563,,,0.86,0.76,,0,,9002
1.00122563,,,0.88,0.76,,11,,9003
1.00123299,,-0.12,-0.07,-0.05,,1,,9001
1.0012666,,0.01,0.48,0.39,,1,,9001
1.00127665,,1.42,1.27,0.92,,1,,9001
1.00127762,,0.1,0.18,0.13,,1,,9001
1.00129312,,,1.02,0.7,,3,,9003
1.00130109,,-0.05,-0.02,-0.02,,2,,9001
1.00130109,,,-0.02,-0.02,,14,,9002
1.00130952,,,0.98,0.7,,3,,9003
1.00131156,,,0.74,0.59,,4,4.73,9007
1.00131511,,,0.79,0.66,,3,5.99,9007
1.00131976,,,1.42,1.42,,4,8.07,9007
1.00131977,,,1.05,0.87,,4,5.7,9007
1.00135722,,,0.95,0.67,,3,,9003
1.00135742,,-0.37,-0.12,-0.1,,5,,9001
1.00135742,,,-0.12,-0.08,,8,,9002
1.00136512,,,1.0,0.71,,3,,9003
1.00137391,,0.04,0.34,0.25,,1,,9001
1.00137759,,1.22,1.18,0.85,,2,,9001
1.00137759,,,1.19,0.85,,14,,9002
1.00139006,,-0.04,0.0,-0.03,,1,,9001
1.00139195,,,0.92,0.65,,0,,9003
1.00139195,,0.65,0.92,0.66,,9,,9004
1.00140159,,0.03,0.06,0.02,,1,,9001
1.00140573,,1.25,1.16,0.8,,5,,9001
1.00140573,,,1.15,0.79,,9,,9002
1.00141004,,0.12,0.6,0.49,,2,,9001
1.00141004,,,0.59,0.47,,0,,9002
1.00141004,,,0.6,0.47,,20,4.42,9007
1.00142373,,0.0,0.55,0.47,,1,,9001
1.0014286,,-0.02,0.47,0.4,,1,,9001
1.0014309,,0.65,0.93,0.66,,9,10.08,9005
1.00143107,,1.26,1.22,0.85,,9,,9001
1.00143107,,,1.22,0.87,,13,,9002
1.00144284,,0.11,0.57,0.43,,1,,9001
1.00144579,,,0.73,0.61,,3,6.68,9007
1.00146254,,,0.09,0.06,,4,,9002
1.00147379,,,1.37,1.29,,3,8.6,9007
1.00147394,,-0.56,-0.15,-0.12,,7,,9001
1.00147394,,,-0.15,-0.11,,17,,9002
1.00147473,,,0.35,0.26,,4,,9002
1.00147547,,0.16,0.26,0.2,,1,,9001
1.00149661,,,0.81,0.61,,3,5.74,9007
1.0015068,,0.22,0.65,0.48,,1,,9001
1.0015068,,,0.63,0.49,,3,2.85,9007
1.00151288,,,1.33,1.19,,3,8.09,9007
1.00151877,,0.44,0.83,0.66,,1,,9001
1.00152792,,0.07,0.64,0.53,,1,,9001
1.00154363,,,1.14,0.98,,5,7.7,9007
